Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jan Oblak,si SVN,GK,31.0,36.0,763,948,80.5,19982,13324,139,139,100.0,407,410,99.3,211,392,53.8,0,0.0,0.0,0.0,0,7,0,0,0,Matches
Julián Álvarez,ar ARG,FW,24.0,27.9,717,966,74.2,10651,2652,404,486,83.1,214,267,80.1,53,114,46.5,4,5.3,5.3,-1.3,41,45,38,5,92,Matches
Antoine Griezmann,fr FRA,"FW,MF",33.0,27.4,1094,1463,74.8,17074,4671,618,717,86.2,319,443,72.0,111,190,58.4,7,7.1,6.5,-0.1,48,105,47,11,143,Matches
Marcos Llorente,es ESP,"DF,MF",29.0,27.9,1337,1563,85.5,20093,5694,746,804,92.8,459,527,87.1,80,123,65.0,4,4.3,3.1,-0.3,28,90,26,14,111,Matches
Pablo Barrios,es ESP,MF,21.0,25.9,1299,1511,86.0,20821,5648,685,749,91.5,496,547,90.7,88,139,63.3,4,2.4,2.0,1.6,26,148,24,5,142,Matches
Giuliano Simeone,ar ARG,MF,21.0,21.4,600,795,75.5,7159,2076,431,501,86.0,123,174,70.7,11,33,33.3,6,5.2,4.7,0.8,24,30,27,10,49,Matches
Robin Le Normand,es ESP,DF,27.0,23.9,1174,1298,90.4,20104,6230,467,496,94.2,623,653,95.4,62,116,53.4,0,0.5,1.0,-0.5,3,41,2,0,55,Matches
Rodrigo De Paul,ar ARG,MF,30.0,23.4,1449,1773,81.7,24390,7515,734,807,91.0,515,618,83.3,162,261,62.1,5,5.6,5.8,-0.6,42,180,58,13,231,Matches
Clément Lenglet,fr FRA,DF,29.0,21.9,1193,1364,87.5,23967,9766,390,416,93.8,645,686,94.0,151,241,62.7,1,1.1,0.7,-0.1,5,74,0,0,79,Matches
Javi Galán,es ESP,DF,29.0,19.8,852,1028,82.9,12612,3739,510,550,92.7,264,329,80.2,54,87,62.1,3,3.9,3.1,-0.9,15,44,22,14,54,Matches
Samuel Lino,br BRA,"MF,DF",24.0,17.2,652,821,79.4,9905,2363,372,418,89.0,203,252,80.6,50,76,65.8,4,2.9,2.2,1.1,22,41,24,6,73,Matches
José María Giménez,uy URU,DF,29.0,22.2,1250,1362,91.8,25411,9603,366,388,94.3,707,738,95.8,162,214,75.7,1,0.2,0.3,0.8,2,61,0,0,64,Matches
Koke,es ESP,MF,32.0,21.4,1444,1640,88.0,22797,7027,763,824,92.6,527,577,91.3,103,158,65.2,1,1.4,2.2,-0.4,16,134,22,6,132,Matches
Conor Gallagher,eng ENG,MF,24.0,18.1,714,840,85.0,9884,2176,438,477,91.8,219,255,85.9,26,45,57.8,3,1.2,1.1,1.8,12,47,14,1,64,Matches
Nahuel Molina,ar ARG,DF,26.0,17.7,945,1182,79.9,14192,5083,538,593,90.7,327,406,80.5,50,108,46.3,3,1.5,1.9,1.5,13,43,19,5,61,Matches
Alexander Sørloth,no NOR,FW,28.0,17.4,229,359,63.8,2905,601,142,213,66.7,63,95,66.3,5,7,71.4,2,1.6,0.7,0.4,13,19,10,1,31,Matches
Reinildo Mandava,mz MOZ,DF,30.0,10.5,515,612,84.2,7852,2969,284,302,94.0,204,247,82.6,20,45,44.4,0,0.1,0.2,-0.1,2,24,2,0,34,Matches
César Azpilicueta,es ESP,DF,34.0,9.7,581,671,86.6,9034,3451,300,320,93.8,240,269,89.2,28,63,44.4,0,0.1,0.4,-0.1,3,46,4,1,66,Matches
Axel Witsel,be BEL,DF,35.0,9.5,494,545,90.6,8980,3351,181,198,91.4,277,300,92.3,33,40,82.5,1,0.5,0.7,0.5,2,17,0,0,21,Matches
Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.7,210,269,78.1,2838,854,131,150,87.3,60,69,87.0,8,27,29.6,1,0.8,0.8,0.2,15,17,12,3,24,Matches
Ángel Correa,ar ARG,"FW,MF",29.0,8.9,206,280,73.6,2697,745,130,157,82.8,50,68,73.5,9,19,47.4,1,2.1,2.2,-1.1,14,19,10,1,25,Matches
Juan Musso,ar ARG,GK,30.0,2.0,51,60,85.0,972,521,17,17,100.0,29,29,100.0,5,13,38.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Thomas Lemar,fr FRA,MF,28.0,0.9,57,68,83.8,893,323,28,30,93.3,22,25,88.0,4,8,50.0,0,0.2,0.2,-0.2,2,1,4,0,8,Matches
Adrian Niño,es ESP,FW,20.0,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.4,38.0,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,51,47.9,45.3,3.1,348,1233,365,96,1559,
Opponent Total,,,26.8,38.0,16246,19538,83.2,291315,95937,7097,7859,90.3,7307,8119,90.0,1542,2749,56.1,17,23.9,29.8,-6.9,286,1462,282,84,1543,
