Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Jan Oblak,si SVN,GK,31.0,36.0,948,608,339,62,0,1,0,0,0,0,0,0,763,1,0,Matches
Julián Álvarez,ar ARG,FW,24.0,27.9,966,879,85,8,14,12,69,6,50,21,15,0,717,2,31,Matches
Antoine Griezmann,fr FRA,"FW,MF",33.0,27.4,1463,1313,145,26,12,9,138,13,81,28,29,0,1094,5,39,Matches
Marcos Llorente,es ESP,"DF,MF",29.0,27.9,1563,1371,183,13,1,2,62,170,0,0,0,0,1337,9,34,Matches
Pablo Barrios,es ESP,MF,21.0,25.9,1511,1478,30,23,5,11,26,5,0,0,0,0,1299,3,28,Matches
Giuliano Simeone,ar ARG,MF,21.0,21.4,795,765,29,0,2,0,49,28,1,0,0,0,600,1,40,Matches
Robin Le Normand,es ESP,DF,27.0,23.9,1298,1263,34,26,0,5,1,4,0,0,0,0,1174,1,3,Matches
Rodrigo De Paul,ar ARG,MF,30.0,23.4,1773,1650,111,79,27,14,59,18,12,2,7,0,1449,12,28,Matches
Clément Lenglet,fr FRA,DF,29.0,21.9,1364,1318,45,35,0,13,4,3,0,0,0,0,1193,1,13,Matches
Javi Galán,es ESP,DF,29.0,19.8,1028,838,186,19,1,2,57,167,0,0,0,0,852,4,24,Matches
Samuel Lino,br BRA,"MF,DF",24.0,17.2,821,792,28,3,1,3,41,23,2,0,0,0,652,1,31,Matches
José María Giménez,uy URU,DF,29.0,22.2,1362,1283,78,54,1,18,0,5,0,0,0,0,1250,1,4,Matches
Koke,es ESP,MF,32.0,21.4,1640,1565,67,48,3,6,22,7,12,5,2,0,1444,8,16,Matches
Conor Gallagher,eng ENG,MF,24.0,18.1,840,818,16,6,3,1,13,8,1,1,0,0,714,6,18,Matches
Nahuel Molina,ar ARG,DF,26.0,17.7,1182,998,178,15,2,6,55,154,9,3,6,0,945,6,37,Matches
Alexander Sørloth,no NOR,FW,28.0,17.4,359,341,12,0,1,0,5,0,0,0,0,0,229,6,5,Matches
Reinildo Mandava,mz MOZ,DF,30.0,10.5,612,517,95,11,0,1,8,84,0,0,0,0,515,0,7,Matches
César Azpilicueta,es ESP,DF,34.0,9.7,671,580,91,8,1,3,5,83,0,0,0,0,581,0,4,Matches
Axel Witsel,be BEL,DF,35.0,9.5,545,525,19,15,0,2,0,1,0,0,0,0,494,1,1,Matches
Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.7,269,244,25,3,1,0,34,8,13,6,5,0,210,0,10,Matches
Ángel Correa,ar ARG,"FW,MF",29.0,8.9,280,266,11,0,1,2,24,1,7,1,1,0,206,3,14,Matches
Juan Musso,ar ARG,GK,30.0,2.0,60,41,18,5,0,1,0,0,0,0,0,0,51,1,0,Matches
Thomas Lemar,fr FRA,MF,28.0,0.9,68,61,7,4,0,0,3,1,2,0,0,0,57,0,1,Matches
Adrian Niño,es ESP,FW,20.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,38.0,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,
Opponent Total,,,26.8,38.0,19538,17845,1656,460,33,124,656,664,144,41,56,0,16246,37,304,
