Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jan Oblak,si SVN,GK,31.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Julián Álvarez,ar ARG,FW,24.0,27.9,17,70,36,51.4,2.51,1.29,0.19,0.36,18.3,5,4,4,14.1,11.0,0.16,2.9,2.0,Matches
Antoine Griezmann,fr FRA,"FW,MF",33.0,27.4,8,48,17,35.4,1.75,0.62,0.15,0.41,18.5,5,1,2,7.4,5.9,0.13,0.6,1.1,Matches
Marcos Llorente,es ESP,"DF,MF",29.0,27.9,2,16,5,31.3,0.57,0.18,0.13,0.4,19.2,0,0,0,0.8,0.8,0.05,1.2,1.2,Matches
Pablo Barrios,es ESP,MF,21.0,25.9,1,29,8,27.6,1.12,0.31,0.03,0.13,23.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
Giuliano Simeone,ar ARG,MF,21.0,21.4,2,22,7,31.8,1.03,0.33,0.09,0.29,14.5,0,0,0,2.2,2.2,0.1,-0.2,-0.2,Matches
Robin Le Normand,es ESP,DF,27.0,23.9,1,11,3,27.3,0.46,0.13,0.09,0.33,8.6,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
Rodrigo De Paul,ar ARG,MF,30.0,23.4,3,19,4,21.1,0.81,0.17,0.16,0.75,24.3,0,0,0,1.3,1.3,0.07,1.7,1.7,Matches
Clément Lenglet,fr FRA,DF,29.0,21.9,2,10,4,40.0,0.46,0.18,0.2,0.5,14.9,1,0,0,2.4,2.4,0.24,-0.4,-0.4,Matches
Javi Galán,es ESP,DF,29.0,19.8,0,9,0,0.0,0.45,0.0,0.0,,24.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Samuel Lino,br BRA,"MF,DF",24.0,17.2,3,45,18,40.0,2.61,1.04,0.07,0.17,16.3,0,0,0,6.0,6.0,0.13,-3.0,-3.0,Matches
José María Giménez,uy URU,DF,29.0,22.2,0,5,1,20.0,0.23,0.05,0.0,0.0,8.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Koke,es ESP,MF,32.0,21.4,1,11,4,36.4,0.51,0.19,0.09,0.25,22.6,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
Conor Gallagher,eng ENG,MF,24.0,18.1,3,22,4,18.2,1.21,0.22,0.14,0.75,19.7,0,0,0,2.8,2.8,0.13,0.2,0.2,Matches
Nahuel Molina,ar ARG,DF,26.0,17.7,0,9,1,11.1,0.51,0.06,0.0,0.0,19.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Alexander Sørloth,no NOR,FW,28.0,17.4,20,78,40,51.3,4.48,2.3,0.24,0.48,12.0,0,1,1,16.8,16.0,0.21,3.2,3.0,Matches
Reinildo Mandava,mz MOZ,DF,30.0,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
César Azpilicueta,es ESP,DF,34.0,9.7,1,5,2,40.0,0.51,0.21,0.2,0.5,17.8,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
Axel Witsel,be BEL,DF,35.0,9.5,0,1,0,0.0,0.11,0.0,0.0,,10.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.7,0,14,4,28.6,2.44,0.7,0.0,0.0,17.7,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Ángel Correa,ar ARG,"FW,MF",29.0,8.9,4,34,14,41.2,3.8,1.57,0.12,0.29,13.9,0,0,0,4.5,4.5,0.13,-0.5,-0.5,Matches
Juan Musso,ar ARG,GK,30.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thomas Lemar,fr FRA,MF,28.0,0.9,0,2,1,50.0,2.12,1.06,0.0,0.0,23.4,1,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
Adrian Niño,es ESP,FW,20.0,0.1,0,2,0,0.0,15.0,0.0,0.0,,13.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Squad Total,,,28.4,38.0,68,463,174,37.6,12.18,4.58,0.13,0.36,17.0,13,6,7,64.6,59.3,0.13,3.4,2.7,
Opponent Total,,,26.8,38.0,28,387,111,28.7,10.18,2.92,0.06,0.21,18.6,14,5,5,33.4,29.5,0.08,-5.4,-6.5,
