Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nahuel Molina,ar ARG,DF,24.0,33,33,2867.0,31.9,4.0,2.0,6.0,4.0,0.0,0.0,7.0,1.0,2.6,2.6,3.9,6.5,73.0,112.0,249.0,0.13,0.06,0.19,0.13,0.19,0.08,0.12,0.2,0.08,0.2,Matches
Antoine Griezmann,fr FRA,"FW,MF",31.0,38,31,2859.0,31.8,15.0,16.0,31.0,15.0,0.0,0.0,2.0,0.0,12.3,12.3,13.8,26.1,99.0,171.0,202.0,0.47,0.5,0.98,0.47,0.98,0.39,0.44,0.82,0.39,0.82,Matches
Koke,es ESP,MF,30.0,33,30,2545.0,28.3,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.7,2.4,15.0,175.0,37.0,0.0,0.11,0.11,0.0,0.11,0.03,0.06,0.09,0.03,0.09,Matches
Jan Oblak,si SVN,GK,29.0,28,28,2492.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
José María Giménez,uy URU,DF,27.0,28,26,2423.0,26.9,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,2.0,2.0,0.6,2.6,9.0,63.0,3.0,0.07,0.04,0.11,0.07,0.11,0.07,0.02,0.1,0.07,0.1,Matches
Yannick Carrasco,be BEL,"DF,MF",28.0,35,26,2317.0,25.7,7.0,3.0,10.0,6.0,1.0,1.0,2.0,0.0,8.0,7.2,4.1,11.2,146.0,84.0,264.0,0.27,0.12,0.39,0.23,0.35,0.31,0.16,0.47,0.28,0.44,Matches
Axel Witsel,be BEL,"DF,MF",33.0,33,25,2258.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,0.6,1.2,6.0,82.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches
Mario Hermoso,es ESP,DF,27.0,26,24,2110.0,23.4,3.0,2.0,5.0,3.0,0.0,0.0,7.0,2.0,2.1,2.1,1.4,3.5,23.0,115.0,17.0,0.13,0.09,0.21,0.13,0.21,0.09,0.06,0.15,0.09,0.15,Matches
Rodrigo De Paul,ar ARG,MF,28.0,30,24,1923.0,21.4,2.0,7.0,9.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,5.5,7.1,55.0,182.0,68.0,0.09,0.33,0.42,0.09,0.42,0.07,0.26,0.33,0.07,0.33,Matches
Álvaro Morata,es ESP,FW,29.0,36,23,1900.0,21.1,13.0,2.0,15.0,13.0,0.0,0.0,4.0,0.0,11.9,11.9,2.0,13.8,33.0,17.0,102.0,0.62,0.09,0.71,0.62,0.71,0.56,0.09,0.66,0.56,0.66,Matches
Stefan Savić,me MNE,DF,31.0,22,22,1943.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.2,0.2,0.0,0.2,20.0,74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Reinildo Mandava,mz MOZ,DF,28.0,22,22,1857.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.5,0.9,28.0,70.0,41.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches
Marcos Llorente,es ESP,"MF,DF",27.0,22,21,1703.0,18.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,2.1,2.1,3.6,5.7,64.0,88.0,139.0,0.05,0.11,0.16,0.05,0.16,0.11,0.19,0.3,0.11,0.3,Matches
Thomas Lemar,fr FRA,MF,26.0,27,17,1252.0,13.9,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.9,2.9,36.0,80.0,79.0,0.07,0.22,0.29,0.07,0.29,0.07,0.14,0.21,0.07,0.21,Matches
Ángel Correa,ar ARG,"FW,MF",27.0,35,13,1455.0,16.2,9.0,1.0,10.0,9.0,0.0,0.0,3.0,1.0,7.1,7.1,3.5,10.7,44.0,58.0,142.0,0.56,0.06,0.62,0.56,0.62,0.44,0.22,0.66,0.44,0.66,Matches
Saúl Ñíguez,es ESP,"MF,DF",27.0,31,11,1100.0,12.2,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,2.4,2.4,0.7,3.0,12.0,34.0,47.0,0.25,0.08,0.33,0.25,0.33,0.2,0.05,0.25,0.2,0.25,Matches
Geoffrey Kondogbia,cf CTA,MF,29.0,20,10,1006.0,11.2,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.9,1.6,6.0,42.0,5.0,0.0,0.18,0.18,0.0,0.18,0.07,0.08,0.14,0.07,0.14,Matches
Ivo Grbić,hr CRO,GK,26.0,12,10,922.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Félix,pt POR,"FW,MF",22.0,14,7,650.0,7.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,1.4,4.0,17.0,27.0,42.0,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56,Matches
Pablo Barrios,es ESP,MF,19.0,21,6,724.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.7,1.2,16.0,51.0,27.0,0.0,0.12,0.12,0.0,0.12,0.07,0.08,0.15,0.07,0.15,Matches
Memphis,nl NED,FW,28.0,8,3,270.0,3.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,0.5,3.4,4.0,8.0,22.0,1.33,0.0,1.33,1.33,1.33,0.99,0.16,1.14,0.99,1.14,Matches
Matheus Cunha,br BRA,"FW,MF",23.0,11,2,377.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,0.8,2.2,6.0,7.0,19.0,0.0,0.48,0.48,0.0,0.48,0.34,0.2,0.53,0.34,0.53,Matches
Sergio Reguilón,es ESP,DF,25.0,11,2,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.4,0.6,16.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18,Matches
Felipe,br BRA,DF,33.0,3,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Carlos Martín,es ESP,"FW,MF",20.0,4,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
Matt Doherty,ie IRL,DF,30.0,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Gomis,es ESP,GK,19.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Bri,es ESP,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Adrián Corral,es ESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sergio Diez Roldan,es ESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Aitor Gismera,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alejandro Iturbe,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Salim El Jebari,ma MAR,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ilias Kostis,gr GRE,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Renan Lodi,br BRA,"DF,MF",24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sergio Mestre,es ESP,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alberto Moreno,es ESP,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Moreno,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Abdellah Raihani,ma MAR,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.5,38,418,3420.0,38.0,68.0,51.0,119.0,67.0,1.0,1.0,92.0,8.0,61.9,61.1,48.0,109.1,730.0,1571.0,1557.0,1.79,1.34,3.13,1.76,3.11,1.63,1.26,2.89,1.61,2.87,
Opponent Total,,,27.0,38,418,3420.0,38.0,33.0,22.0,55.0,29.0,4.0,5.0,93.0,6.0,41.1,37.2,31.3,68.5,729.0,1634.0,1617.0,0.87,0.58,1.45,0.76,1.34,1.08,0.82,1.9,0.98,1.8,
