Player,Age,Current club,Market value,Nat.,Season,Contract
"['Jan Oblak', 'Goalkeeper']",28,Atlético Madrid,€70.00m,Slovenia,2020,"Jul 16, 2014"
"['Ivo Grbic', 'Goalkeeper']",25,Atlético Madrid,€3.50m,Croatia,2020,"Aug 20, 2020"
"['Miguel San Román', 'Goalkeeper']",23,Atlético Madrid,€700k,Spain,2020,
"['José María Giménez', 'Centre-Back']",26,Atlético Madrid,€60.00m,Uruguay,2020,"Apr 25, 2013"
"['Mario Hermoso', 'Centre-Back']",26,Atlético Madrid,€35.00m,Spain,2020,"Jul 18, 2019"
"['Stefan Savic', 'Centre-Back']",30,Atlético Madrid,€25.00m,Montenegro,2020,"Jul 20, 2015"
"['Felipe', 'Centre-Back']",32,Atlético Madrid,€12.00m,Brazil,2020,"Jul 1, 2019"
"['Nehuén Pérez', 'Centre-Back']",21,Atlético Madrid,€4.00m,Argentina,2020,"Jul 3, 2018"
"['Álvaro García', 'Centre-Back']",21,Atlético Madrid,€200k,Spain,2020,
"['Adrián Corral', 'Centre-Back']",18,Atlético Madrid,€200k,Spain,2020,
"['Renan Lodi', 'Left-Back']",23,Atlético Madrid,€25.00m,Brazil,2020,"Jul 7, 2019"
"['Manu Sánchez', 'Left-Back']",20,Atlético Madrid,€8.00m,Spain,2020,"Jul 1, 2020"
"['Juan Manuel Sanabria', 'Left-Back']",21,Atlético Madrid,€800k,Uruguay,2020,"Jul 1, 2021"
"['Kieran Trippier', 'Right-Back']",30,Atlético Madrid,€20.00m,England,2020,"Jul 17, 2019"
"['Sime Vrsaljko', 'Right-Back']",29,Atlético Madrid,€5.00m,Croatia,2020,"Jul 5, 2016"
"['Ricard Sánchez', 'Right-Back']",21,Atlético Madrid,€1.50m,Spain,2020,
"['Thomas Partey', 'Defensive Midfield']",28,Atlético Madrid,€40.00m,Ghana,2020,"Jul 1, 2015"
"['Lucas Torreira', 'Defensive Midfield']",25,Atlético Madrid,€20.00m,Uruguay,2020,"Oct 5, 2020"
"['Geoffrey Kondogbia', 'Defensive Midfield']",28,Atlético Madrid,€15.00m,Central African Republic,2020,"Nov 3, 2020"
"['Koke', 'Central Midfield']",29,Atlético Madrid,€60.00m,Spain,2020,"Jan 1, 2011"
"['Saúl Ñíguez', 'Central Midfield']",26,Atlético Madrid,€40.00m,Spain,2020,"Jul 1, 2013"
"['Héctor Herrera', 'Central Midfield']",31,Atlético Madrid,€7.00m,Mexico,2020,"Jul 3, 2019"
"['Toni Moya', 'Central Midfield']",23,Atlético Madrid,€400k,Spain,2020,
"['Josep Calavera', 'Central Midfield']",21,Atlético Madrid,€250k,Spain,2020,
"['Óscar Castro', 'Central Midfield']",20,Atlético Madrid,€50k,Spain,2020,
"['Marcos Llorente', 'Right Midfield']",26,Atlético Madrid,€80.00m,Spain,2020,"Jul 1, 2019"
"['Thomas Lemar', 'Attacking Midfield']",25,Atlético Madrid,€25.00m,France,2020,"Jul 1, 2018"
"['Mario Soriano', 'Attacking Midfield']",19,Atlético Madrid,€500k,Spain,2020,
"['Yannick Carrasco', 'Left Winger']",27,Atlético Madrid,€40.00m,Belgium,2020,"Sep 8, 2020"
"['Vitolo', 'Left Winger']",31,Atlético Madrid,€4.00m,Spain,2020,"Jul 12, 2017"
"['Víctor Mollejo', 'Left Winger']",20,Atlético Madrid,€3.00m,Spain,2020,"Jan 1, 2019"
"['Ángel Correa', 'Right Winger']",26,Atlético Madrid,€40.00m,Argentina,2020,"Jan 1, 2015"
"['Germán Valera', 'Right Winger']",19,Atlético Madrid,€2.50m,Spain,2020,"Jul 1, 2023"
