Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Pedri,es ESP,MF,21.0,32.0,2404,2749,87.4,40804,10163,1159,1233,94.0,955,1071,89.2,233,323,72.1,5,7.4,9.0,-2.4,70,331,79,4,360,Matches
Raphinha,br BRA,"FW,MF",27.0,31.5,1064,1497,71.1,17773,4933,557,661,84.3,358,474,75.5,113,249,45.4,9,12.7,10.1,-3.7,91,87,67,18,135,Matches
Robert Lewandowski,pl POL,FW,35.0,29.6,383,522,73.4,4856,900,244,297,82.2,91,119,76.5,13,27,48.1,2,2.3,1.5,-0.3,19,31,9,0,48,Matches
Lamine Yamal,es ESP,FW,17.0,31.7,1161,1553,74.8,16208,4559,727,843,86.2,327,448,73.0,56,125,44.8,13,13.9,11.6,-0.9,64,78,95,16,160,Matches
Pau Cubarsí,es ESP,DF,17.0,29.1,2434,2604,93.5,45654,16006,826,867,95.3,1387,1438,96.5,195,251,77.7,3,1.6,1.0,1.4,9,210,4,1,191,Matches
Jules Koundé,fr FRA,DF,25.0,28.9,1856,2140,86.7,28736,8279,946,1020,92.7,788,901,87.5,73,120,60.8,3,3.9,3.8,-0.9,32,154,29,8,165,Matches
Iñigo Martínez,es ESP,DF,33.0,27.7,2217,2435,91.0,41890,14576,820,866,94.7,1168,1229,95.0,208,288,72.2,4,2.6,1.8,1.4,16,259,9,1,260,Matches
Alejandro Balde,es ESP,DF,20.0,25.4,1306,1484,88.0,19158,3986,734,785,93.5,495,547,90.5,43,71,60.6,4,3.4,2.8,0.6,26,51,39,11,93,Matches
Marc Casado,es ESP,MF,20.0,17.9,1221,1367,89.3,18725,4279,654,706,92.6,472,500,94.4,62,94,66.0,3,1.4,1.8,1.6,9,138,6,0,107,Matches
Iñaki Peña,es ESP,GK,25.0,15.5,562,630,89.2,12479,7084,97,98,99.0,384,387,99.2,79,143,55.2,0,0.0,0.0,0.0,0,0,0,0,3,Matches
Wojciech Szczęsny,pl POL,GK,34.0,15.0,402,454,88.5,9086,5717,81,81,100.0,251,254,98.8,68,115,59.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Eric García,es ESP,"DF,MF",23.0,17.4,1234,1340,92.1,20485,7124,542,582,93.1,595,624,95.4,64,82,78.0,3,0.8,1.6,2.2,7,142,14,3,109,Matches
Gavi,es ESP,"MF,FW",19.0,12.1,733,814,90.0,10848,2687,401,422,95.0,254,283,89.8,35,44,79.5,1,1.6,1.5,-0.6,14,92,11,1,77,Matches
Dani Olmo,es ESP,"MF,FW",26.0,13.5,520,641,81.1,7634,2216,306,342,89.5,152,183,83.1,33,47,70.2,3,3.0,3.7,0.0,26,49,29,1,81,Matches
Fermin López,es ESP,"MF,FW",21.0,13.9,552,675,81.8,8398,2128,313,350,89.4,174,210,82.9,37,63,58.7,5,3.9,4.3,1.1,29,65,20,6,79,Matches
Ferrán Torres,es ESP,"FW,MF",24.0,12.3,267,360,74.2,3409,773,164,192,85.4,71,91,78.0,11,30,36.7,6,3.1,2.6,2.9,19,17,18,2,35,Matches
Gerard Martín,es ESP,DF,22.0,11.5,656,789,83.1,9965,2760,349,385,90.6,268,304,88.2,23,50,46.0,3,1.1,1.7,1.9,12,27,16,4,40,Matches
Ronald Araújo,uy URU,DF,25.0,8.4,666,725,91.9,12408,3957,218,234,93.2,388,406,95.6,50,70,71.4,1,0.4,0.2,0.6,4,51,3,0,49,Matches
Frenkie de Jong,nl NED,MF,27.0,12.7,1084,1148,94.4,16878,4702,575,588,97.8,404,422,95.7,68,78,87.2,2,2.0,2.0,0.0,21,140,12,0,120,Matches
Marc-André ter Stegen,de GER,GK,32.0,7.5,233,251,92.8,5847,4091,26,26,100.0,151,153,98.7,56,72,77.8,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Héctor Fort,es ESP,DF,17.0,6.5,448,497,90.1,6222,1464,258,272,94.9,144,161,89.4,15,18,83.3,0,0.9,1.3,-0.9,10,27,3,0,26,Matches
Pablo Torre,es ESP,"MF,FW",21.0,3.4,180,220,81.8,2702,678,96,108,88.9,65,73,89.0,11,21,52.4,1,0.8,1.3,0.2,8,13,4,1,17,Matches
