Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Pedri,es ESP,MF,21.0,32.0,2749,2605,140,74,27,16,58,15,41,22,1,0,2404,4,43,Matches
Raphinha,br BRA,"FW,MF",27.0,31.5,1497,1260,225,49,11,15,215,19,140,48,41,0,1064,12,36,Matches
Robert Lewandowski,pl POL,FW,35.0,29.6,522,503,15,1,3,6,5,0,0,0,0,0,383,4,22,Matches
Lamine Yamal,es ESP,FW,17.0,31.7,1553,1497,48,5,33,4,108,23,20,5,0,0,1161,8,57,Matches
Pau Cubarsí,es ESP,DF,17.0,29.1,2604,2516,84,67,4,7,2,7,0,0,0,0,2434,4,6,Matches
Jules Koundé,fr FRA,DF,25.0,28.9,2140,1803,332,66,6,13,63,266,0,0,0,0,1856,5,25,Matches
Iñigo Martínez,es ESP,DF,33.0,27.7,2435,2316,116,94,3,34,8,7,0,0,0,0,2217,3,15,Matches
Alejandro Balde,es ESP,DF,20.0,25.4,1484,1287,193,32,3,2,67,161,0,0,0,0,1306,4,28,Matches
Marc Casado,es ESP,MF,20.0,17.9,1367,1330,37,34,4,7,9,3,0,0,0,0,1221,0,17,Matches
Iñaki Peña,es ESP,GK,25.0,15.5,630,517,113,29,0,0,0,0,0,0,0,0,562,0,0,Matches
Wojciech Szczęsny,pl POL,GK,34.0,15.0,454,377,75,21,0,1,0,0,0,0,0,0,402,2,0,Matches
Eric García,es ESP,"DF,MF",23.0,17.4,1340,1269,69,24,4,3,7,44,0,0,0,0,1234,2,12,Matches
Gavi,es ESP,"MF,FW",19.0,12.1,814,792,21,13,1,5,9,5,1,0,0,0,733,1,7,Matches
Dani Olmo,es ESP,"MF,FW",26.0,13.5,641,611,28,10,11,6,21,0,11,6,2,0,520,2,18,Matches
Fermin López,es ESP,"MF,FW",21.0,13.9,675,624,48,6,8,5,47,4,28,12,2,1,552,3,12,Matches
Ferrán Torres,es ESP,"FW,MF",24.0,12.3,360,329,28,5,2,2,17,1,9,2,0,0,267,3,14,Matches
Gerard Martín,es ESP,DF,22.0,11.5,789,682,106,11,1,1,36,95,0,0,0,0,656,1,23,Matches
Ronald Araújo,uy URU,DF,25.0,8.4,725,697,27,20,0,1,0,6,0,0,0,0,666,1,0,Matches
Frenkie de Jong,nl NED,MF,27.0,12.7,1148,1120,26,24,4,2,6,2,0,0,0,0,1084,2,11,Matches
Marc-André ter Stegen,de GER,GK,32.0,7.5,251,213,38,11,0,0,0,0,0,0,0,0,233,0,0,Matches
Héctor Fort,es ESP,DF,17.0,6.5,497,440,56,4,0,2,12,52,0,0,0,0,448,1,12,Matches
Pablo Torre,es ESP,"MF,FW",21.0,3.4,220,198,21,5,3,0,13,0,14,9,1,0,180,1,4,Matches
Marc Bernal,es ESP,MF,17.0,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2,Matches
Ansu Fati,es ESP,FW,21.0,2.6,125,119,4,3,2,0,0,0,1,0,0,0,104,2,3,Matches
Pau Victor,es ESP,FW,22.0,3.5,121,117,4,1,0,0,3,1,0,0,0,0,98,0,2,Matches
Andreas Christensen,dk DEN,DF,28.0,2.8,220,218,2,2,0,0,0,0,0,0,0,0,202,0,2,Matches
Sergi Dominguez,es ESP,DF,19.0,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0,Matches
Daniel Rodriguez,es ESP,FW,18.0,0.4,20,20,0,0,0,0,3,0,0,0,0,0,15,0,0,Matches
Squad Total,,,24.7,38.0,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,
Opponent Total,,,26.8,38.0,11890,10010,1699,417,62,135,482,636,149,62,57,1,8511,181,317,
