Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Marc-André ter Stegen,de GER,GK,30.0,37.2,1457,1076,1436,22,0,0,1457,0,0,,0,,963,4886,3425,0,0,0,1,1,851,0,Matches
Robert Lewandowski,pl POL,FW,33.0,31.6,1156,17,41,432,695,210,1155,59,30,50.8,26,44.1,778,3740,1348,51,38,25,94,50,997,248,Matches
Gavi,es ESP,"MF,FW",17.0,28.1,1510,27,148,797,579,71,1510,63,27,42.9,26,41.3,1002,5346,2505,49,69,8,56,33,1134,153,Matches
Alejandro Balde,es ESP,DF,18.0,27.5,1939,40,419,874,672,78,1939,97,50,51.5,36,37.1,1270,7245,4093,95,69,34,41,24,1347,234,Matches
Frenkie de Jong,nl NED,MF,25.0,28.2,2526,45,391,1553,607,47,2526,60,35,58.3,20,33.3,1797,11014,6407,92,94,9,24,22,2036,83,Matches
Jules Koundé,fr FRA,DF,23.0,27.0,2234,117,675,1215,362,45,2234,28,15,53.6,9,32.1,1476,7377,4586,58,52,5,23,18,1610,61,Matches
Sergio Busquets,es ESP,MF,34.0,26.0,2171,62,386,1427,373,14,2171,16,11,68.8,3,18.8,1278,5018,2593,26,32,1,19,12,1551,32,Matches
Raphinha,br BRA,FW,25.0,23.0,1598,17,84,548,980,131,1598,106,45,42.5,52,49.1,999,5614,2797,97,67,53,55,24,1147,339,Matches
Pedri,es ESP,MF,19.0,22.0,1653,13,161,954,557,59,1653,61,36,59.0,22,36.1,1203,6990,3387,67,81,14,32,31,1336,99,Matches
Andreas Christensen,dk DEN,DF,26.0,19.6,1652,127,645,962,50,13,1652,2,0,0.0,2,100.0,1170,5841,3232,18,15,0,10,1,1257,5,Matches
Ronald Araújo,uy URU,DF,23.0,20.0,1437,109,487,882,77,29,1437,14,10,71.4,3,21.4,957,5938,3727,29,13,1,9,6,1022,11,Matches
Ousmane Dembélé,fr FRA,FW,25.0,15.7,1041,2,30,311,719,103,1041,114,52,45.6,50,43.9,755,6024,3328,124,75,56,27,18,841,209,Matches
Eric García,es ESP,"DF,MF",21.0,15.7,1398,97,539,781,84,5,1398,4,2,50.0,2,50.0,918,4539,2686,24,22,0,10,2,1049,6,Matches
Sergi Roberto,es ESP,"DF,MF",30.0,14.5,1051,30,179,565,312,31,1051,13,5,38.5,4,30.8,657,2895,1780,48,32,7,9,3,781,72,Matches
Jordi Alba,es ESP,DF,33.0,15.8,1558,34,300,764,506,39,1558,8,4,50.0,4,50.0,957,3818,2082,42,27,6,7,7,1122,157,Matches
Ferrán Torres,es ESP,"FW,MF",22.0,15.5,756,10,67,256,441,87,755,68,30,44.1,26,38.2,490,2752,1199,43,34,23,48,23,599,180,Matches
Ansu Fati,es ESP,FW,19.0,15.5,806,10,64,278,470,128,806,47,23,48.9,21,44.7,557,2983,1399,47,28,31,35,30,640,178,Matches
Marcos Alonso,es ESP,DF,31.0,13.0,1114,98,402,624,94,11,1114,2,2,100.0,0,0.0,727,4516,2674,26,11,0,8,1,816,13,Matches
Franck Kessié,ci CIV,MF,25.0,11.0,575,25,110,336,133,25,575,18,9,50.0,6,33.3,349,1736,677,14,12,2,23,10,427,43,Matches
Gerard Piqué,es ESP,DF,35.0,4.3,424,38,126,290,9,5,424,1,1,100.0,0,0.0,284,1789,1197,3,2,0,2,1,320,1,Matches
Memphis,nl NED,FW,28.0,1.3,84,0,5,25,55,13,84,7,3,42.9,3,42.9,50,233,91,2,2,3,7,4,69,19,Matches
Pablo Torre,es ESP,"FW,MF",19.0,1.6,114,3,12,49,55,1,114,7,3,42.9,2,28.6,69,313,162,4,6,0,5,4,87,16,Matches
Héctor Bellerín,es ESP,DF,27.0,1.6,107,1,17,50,41,5,107,4,3,75.0,1,25.0,54,271,159,2,3,1,1,0,66,6,Matches
Iñaki Peña,es ESP,GK,23.0,0.8,27,21,27,0,0,0,27,0,0,,0,,19,93,35,0,0,0,0,0,14,0,Matches
Ángel Alarcón,es ESP,"FW,MF",18.0,0.3,12,1,2,2,8,1,12,1,0,0.0,0,0.0,7,32,19,0,0,0,0,1,9,2,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33.0,0.1,4,0,1,2,1,1,4,0,0,,0,,2,8,1,0,0,0,0,0,2,0,Matches
Lamine Yamal,es ESP,FW,15.0,0.1,12,0,0,1,11,1,12,2,0,0.0,2,100.0,9,23,9,0,1,0,0,0,10,2,Matches
Aleix Garrido,es ESP,FW,18.0,0.1,7,0,4,0,3,1,7,1,0,0.0,1,100.0,4,30,18,0,0,0,0,0,3,0,Matches
Chadi Riad,ma MAR,MF,19.0,0.0,1,0,1,0,0,0,1,0,0,,0,,1,8,0,0,0,0,0,0,1,0,Matches
Squad Total,,,25.9,38.0,28424,2020,6759,14000,7894,1154,28422,803,396,49.3,321,40.0,18802,101072,55616,961,785,279,546,326,21144,2169,
Opponent Total,,,27.4,38.0,17707,2714,6971,7319,3601,547,17704,567,271,47.8,227,40.0,9553,51042,23763,475,342,130,517,295,10227,952,
