Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Pedri,es ESP,MF,21.0,32.0,4,25,11,44.0,0.78,0.34,0.16,0.36,19.6,0,0,0,2.2,2.2,0.09,1.8,1.8,Matches
Raphinha,br BRA,"FW,MF",27.0,31.5,18,112,40,35.7,3.55,1.27,0.14,0.4,19.1,18,2,2,19.2,17.6,0.16,-1.2,-1.6,Matches
Robert Lewandowski,pl POL,FW,35.0,29.6,27,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5,3,4,27.1,24.0,0.22,-0.1,0.0,Matches
Lamine Yamal,es ESP,FW,17.0,31.7,9,144,46,31.9,4.54,1.45,0.06,0.2,19.4,0,0,0,9.8,9.8,0.07,-0.8,-0.8,Matches
Pau Cubarsí,es ESP,DF,17.0,29.1,0,8,0,0.0,0.28,0.0,0.0,,8.9,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
Jules Koundé,fr FRA,DF,25.0,28.9,2,18,6,33.3,0.62,0.21,0.11,0.33,14.1,0,0,0,1.8,1.8,0.11,0.2,0.2,Matches
Iñigo Martínez,es ESP,DF,33.0,27.7,0,13,2,15.4,0.47,0.07,0.0,0.0,13.5,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Alejandro Balde,es ESP,DF,20.0,25.4,0,12,3,25.0,0.47,0.12,0.0,0.0,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Marc Casado,es ESP,MF,20.0,17.9,1,14,1,7.1,0.78,0.06,0.07,1.0,22.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Iñaki Peña,es ESP,GK,25.0,15.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wojciech Szczęsny,pl POL,GK,34.0,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eric García,es ESP,"DF,MF",23.0,17.4,2,14,8,57.1,0.8,0.46,0.14,0.25,10.7,0,0,0,2.3,2.3,0.17,-0.3,-0.3,Matches
Gavi,es ESP,"MF,FW",19.0,12.1,1,11,1,9.1,0.91,0.08,0.09,1.0,15.3,0,0,0,0.9,0.9,0.08,0.1,0.1,Matches
Dani Olmo,es ESP,"MF,FW",26.0,13.5,10,40,15,37.5,2.97,1.11,0.2,0.53,18.1,1,2,2,6.5,4.9,0.12,3.5,3.1,Matches
Fermin López,es ESP,"MF,FW",21.0,13.9,6,41,15,36.6,2.95,1.08,0.15,0.4,18.0,0,0,0,5.6,5.6,0.14,0.4,0.4,Matches
Ferrán Torres,es ESP,"FW,MF",24.0,12.3,10,48,22,45.8,3.91,1.79,0.21,0.45,14.6,2,0,0,8.0,8.0,0.17,2.0,2.0,Matches
Gerard Martín,es ESP,DF,22.0,11.5,1,7,2,28.6,0.61,0.17,0.14,0.5,16.6,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Ronald Araújo,uy URU,DF,25.0,8.4,1,4,2,50.0,0.48,0.24,0.25,0.5,11.8,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches
Frenkie de Jong,nl NED,MF,27.0,12.7,2,5,3,60.0,0.39,0.24,0.4,0.67,17.0,0,0,0,0.7,0.7,0.13,1.3,1.3,Matches
Marc-André ter Stegen,de GER,GK,32.0,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Héctor Fort,es ESP,DF,17.0,6.5,0,6,0,0.0,0.92,0.0,0.0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Pablo Torre,es ESP,"MF,FW",21.0,3.4,3,6,4,66.7,1.74,1.16,0.5,0.75,23.5,1,0,0,0.4,0.4,0.06,2.6,2.6,Matches
Marc Bernal,es ESP,MF,17.0,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ansu Fati,es ESP,FW,21.0,2.6,0,12,5,41.7,4.64,1.93,0.0,0.0,17.1,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
Pau Victor,es ESP,FW,22.0,3.5,2,14,8,57.1,3.95,2.26,0.14,0.25,15.2,0,0,0,3.0,3.0,0.22,-1.0,-1.0,Matches
Andreas Christensen,dk DEN,DF,28.0,2.8,0,1,0,0.0,0.35,0.0,0.0,,12.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Sergi Dominguez,es ESP,DF,19.0,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Rodriguez,es ESP,FW,18.0,0.4,0,2,0,0.0,4.86,0.0,0.0,,22.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Squad Total,,,24.7,38.0,99,670,240,35.8,17.63,6.32,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,7.5,6.8,
Opponent Total,,,26.8,38.0,39,290,104,35.9,7.63,2.74,0.12,0.34,17.5,7,4,4,41.9,38.8,0.13,-2.9,-3.8,
