Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pedri,es ESP,MF,21.0,37,35,2879.0,32.0,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,2.2,2.2,7.4,9.6,92.0,360.0,136.0,0.13,0.16,0.28,0.13,0.28,0.07,0.23,0.3,0.07,0.3,Matches
Raphinha,br BRA,"FW,MF",27.0,36,32,2839.0,31.5,18.0,9.0,27.0,16.0,2.0,2.0,4.0,0.0,19.2,17.6,12.7,30.3,94.0,135.0,349.0,0.57,0.29,0.86,0.51,0.79,0.61,0.4,1.01,0.56,0.96,Matches
Robert Lewandowski,pl POL,FW,35.0,34,32,2667.0,29.6,27.0,2.0,29.0,24.0,3.0,4.0,1.0,0.0,27.1,24.0,2.3,26.3,27.0,48.0,164.0,0.91,0.07,0.98,0.81,0.88,0.92,0.08,0.99,0.81,0.89,Matches
Lamine Yamal,es ESP,FW,17.0,35,31,2856.0,31.7,9.0,13.0,22.0,9.0,0.0,0.0,3.0,0.0,9.8,9.8,13.9,23.8,181.0,160.0,433.0,0.28,0.41,0.69,0.28,0.69,0.31,0.44,0.75,0.31,0.75,Matches
Pau Cubarsí,es ESP,DF,17.0,35,29,2618.0,29.1,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.6,2.5,26.0,191.0,6.0,0.0,0.1,0.1,0.0,0.1,0.03,0.06,0.08,0.03,0.08,Matches
Jules Koundé,fr FRA,DF,25.0,32,29,2605.0,28.9,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.8,1.8,3.9,5.7,44.0,165.0,190.0,0.07,0.1,0.17,0.07,0.17,0.06,0.13,0.2,0.06,0.2,Matches
Iñigo Martínez,es ESP,DF,33.0,28,28,2490.0,27.7,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,2.6,3.1,70.0,260.0,11.0,0.0,0.14,0.14,0.0,0.14,0.02,0.1,0.11,0.02,0.11,Matches
Alejandro Balde,es ESP,DF,20.0,32,26,2284.0,25.4,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,3.4,3.9,107.0,93.0,246.0,0.0,0.16,0.16,0.0,0.16,0.02,0.13,0.15,0.02,0.15,Matches
Marc Casado,es ESP,MF,20.0,23,20,1611.0,17.9,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,1.1,1.1,1.4,2.4,12.0,107.0,24.0,0.06,0.17,0.22,0.06,0.22,0.06,0.08,0.13,0.06,0.13,Matches
