Player,Age,Current club,Market value,Nat.,Season,Contract
"['Marc-André ter Stegen', 'Goalkeeper']",29,FC Barcelona,€60.00m,Germany,2020,"Jul 1, 2014"
"['Neto', 'Goalkeeper']",31,FC Barcelona,€6.00m,Brazil,2020,"Jul 1, 2019"
"['Iñaki Peña', 'Goalkeeper']",22,FC Barcelona,€3.00m,Spain,2020,"Jan 30, 2022"
"['Arnau Tenas', 'Goalkeeper']",20,FC Barcelona,€1.50m,Spain,2020,
"['Ronald Araujo', 'Centre-Back']",22,FC Barcelona,€25.00m,Uruguay,2020,"Oct 5, 2020"
"['Clément Lenglet', 'Centre-Back']",26,FC Barcelona,€25.00m,France,2020,"Jul 12, 2018"
"['Gerard Piqué', 'Centre-Back']",34,FC Barcelona,€10.00m,Spain,2020,"Jul 1, 2008"
"['Samuel Umtiti', 'Centre-Back']",27,FC Barcelona,€8.00m,France,2020,"Jul 14, 2016"
"['Santiago Ramos Mingo', 'Centre-Back']",19,FC Barcelona,€500k,Argentina,2020,
"['Jordi Alba', 'Left-Back']",32,FC Barcelona,€20.00m,Spain,2020,"Jul 1, 2012"
"['Junior Firpo', 'Left-Back']",24,FC Barcelona,€8.00m,Dominican Republic,2020,"Aug 4, 2019"
"['Sergiño Dest', 'Right-Back']",20,FC Barcelona,€30.00m,United States,2020,"Oct 1, 2020"
"['Óscar Mingueza', 'Right-Back']",22,FC Barcelona,€15.00m,Spain,2020,"Nov 1, 2020"
"['Sergio Busquets', 'Defensive Midfield']",32,FC Barcelona,€9.00m,Spain,2020,"Jul 1, 2008"
"['Matheus Fernandes', 'Defensive Midfield']",23,FC Barcelona,€1.50m,Brazil,2020,"Jan 30, 2020"
"['Frenkie de Jong', 'Central Midfield']",24,FC Barcelona,€90.00m,Netherlands,2020,"Jul 1, 2019"
"['Pedri', 'Central Midfield']",18,FC Barcelona,€70.00m,Spain,2020,"Sep 2, 2019"
"['Ilaix Moriba', 'Central Midfield']",18,FC Barcelona,€25.00m,Guinea,2020,"Jul 1, 2021"
"['Miralem Pjanić', 'Central Midfield']",31,FC Barcelona,€20.00m,Bosnia-Herzegovina,2020,"Sep 1, 2020"
"['Riqui Puig', 'Central Midfield']",21,FC Barcelona,€18.00m,Spain,2020,"Jul 1, 2020"
"['Sergi Roberto', 'Central Midfield']",29,FC Barcelona,€18.00m,Spain,2020,"Jul 1, 2013"
"['Carles Aleñá', 'Central Midfield']",23,FC Barcelona,€15.00m,Spain,2020,"Dec 4, 2018"
"['Philippe Coutinho', 'Attacking Midfield']",29,FC Barcelona,€30.00m,Brazil,2020,"Jan 8, 2018"
"['Rafinha', 'Attacking Midfield']",28,FC Barcelona,€15.00m,Brazil,2020,"Jul 1, 2013"
"['Ansu Fati', 'Left Winger']",18,FC Barcelona,€60.00m,Spain,2020,"Sep 23, 2020"
"['Konrad de la Fuente', 'Left Winger']",19,FC Barcelona,€4.00m,United States,2020,
"['Lionel Messi', 'Right Winger']",34,FC Barcelona,€80.00m,Argentina,2020,"Jul 1, 2005"
"['Ousmane Dembélé', 'Right Winger']",24,FC Barcelona,€50.00m,France,2020,"Aug 25, 2017"
"['Francisco Trincão', 'Right Winger']",21,FC Barcelona,€22.00m,Portugal,2020,"Aug 3, 2020"
"['Álex Collado', 'Right Winger']",22,FC Barcelona,€5.00m,Spain,2020,"Jul 1, 2021"
"['Antoine Griezmann', 'Centre-Forward']",30,FC Barcelona,€60.00m,France,2020,"Jul 14, 2019"
"['Martin Braithwaite', 'Centre-Forward']",30,FC Barcelona,€9.00m,Denmark,2020,"Feb 20, 2020"
"['Marc-André ter Stegen', 'Goalkeeper']",30,FC Barcelona,€30.00m,Germany,2021,"Jul 1, 2014"
"['Iñaki Peña', 'Goalkeeper']",23,FC Barcelona,€4.20m,Spain,2021,"Jan 30, 2022"
"['Neto', 'Goalkeeper']",32,FC Barcelona,€3.00m,Brazil,2021,"Jul 1, 2019"
"['Arnau Tenas', 'Goalkeeper']",21,FC Barcelona,€1.50m,Spain,2021,
"['Lazar Carević', 'Goalkeeper']",23,FC Barcelona,€200k,Montenegro,2021,
"['Ronald Araujo', 'Centre-Back']",23,FC Barcelona,€50.00m,Uruguay,2021,"Oct 5, 2020"
"['Eric García', 'Centre-Back']",21,FC Barcelona,€18.00m,Spain,2021,"Jul 1, 2021"
"['Clément Lenglet', 'Centre-Back']",27,FC Barcelona,€12.00m,France,2021,"Jul 12, 2018"
"['Gerard Piqué', 'Centre-Back']",35,FC Barcelona,€5.00m,Spain,2021,"Jul 1, 2008"
"['Samuel Umtiti', 'Centre-Back']",28,FC Barcelona,€2.00m,France,2021,"Jul 14, 2016"
"['Arnau Comas', 'Centre-Back']",22,FC Barcelona,€1.00m,Spain,2021,
"['Mika Mármol', 'Centre-Back']",20,FC Barcelona,€800k,Spain,2021,
"['Jordi Alba', 'Left-Back']",33,FC Barcelona,€9.00m,Spain,2021,"Jul 1, 2012"
"['Alejandro Balde', 'Left-Back']",18,FC Barcelona,€4.00m,Spain,2021,"Jul 1, 2022"
"['Emerson Royal', 'Right-Back']",23,FC Barcelona,€25.00m,Brazil,2021,"Jul 1, 2021"
"['Sergiño Dest', 'Right-Back']",21,FC Barcelona,€18.00m,United States,2021,"Oct 1, 2020"
"['Óscar Mingueza', 'Right-Back']",23,FC Barcelona,€6.00m,Spain,2021,"Nov 1, 2020"
