Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Diego Llorente,es ESP,DF,30.0,28.0,36,20,23,12,1,25,38,65.8,13,29,20,9,43,79,154,1,Matches
Johnny Cardoso,us USA,MF,22.0,23.8,55,31,12,35,8,20,52,38.5,32,27,12,15,48,103,64,1,Matches
Natan,br BRA,DF,23.0,24.2,35,24,24,9,2,26,30,86.7,4,24,14,10,28,63,123,2,Matches
Marc Bartra,es ESP,DF,33.0,23.3,33,19,20,13,0,15,26,57.7,11,41,25,16,33,66,148,0,Matches
Abde Ezzalzouli,ma MAR,"FW,MF",22.0,22.0,37,25,17,16,4,15,27,55.6,12,22,3,19,7,44,19,0,Matches
Romain Perraud,fr FRA,DF,26.0,22.2,36,22,15,16,5,21,46,45.7,25,18,4,14,22,58,71,1,Matches
Sergi Altimira,es ESP,MF,22.0,21.9,61,37,17,38,6,36,60,60.0,24,28,1,27,24,85,43,3,Matches
Pablo Fornals,es ESP,"MF,FW",28.0,20.3,21,13,12,6,3,10,30,33.3,20,24,4,20,23,44,15,1,Matches
Youssouf Sabaly,sn SEN,DF,31.0,17.6,40,25,21,15,4,24,32,75.0,8,21,4,17,13,53,40,0,Matches
Adrián,es ESP,GK,37.0,19.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3,Matches
Isco,es ESP,MF,32.0,17.2,20,13,3,13,4,7,28,25.0,21,10,0,10,11,31,7,0,Matches
Giovani Lo Celso,ar ARG,"MF,FW",28.0,16.2,34,22,8,17,9,17,25,68.0,8,14,2,12,5,39,3,1,Matches
Antony,br BRA,FW,24.0,15.1,25,11,6,9,10,8,22,36.4,14,12,1,11,10,35,9,1,Matches
Rui Silva,pt POR,GK,30.0,15.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0,Matches
Ricardo Rodríguez,ch SUI,DF,31.0,14.2,28,15,16,5,7,17,26,65.4,9,10,1,9,8,36,51,0,Matches
Jesus Rodríguez,es ESP,FW,18.0,12.3,16,14,6,6,4,5,18,27.8,13,16,0,16,6,22,3,0,Matches
Vitor Roque,br BRA,FW,19.0,13.7,11,6,1,6,4,1,5,20.0,4,5,0,5,7,18,4,0,Matches
Cucho,co COL,FW,25.0,12.7,15,10,2,5,8,6,11,54.5,5,13,1,12,7,22,4,0,Matches
Aitor Ruibal,es ESP,"DF,FW",28.0,14.6,32,23,22,4,6,25,47,53.2,22,20,5,15,14,46,40,1,Matches
Marc Roca,es ESP,MF,27.0,10.1,20,14,10,9,1,9,17,52.9,8,17,5,12,14,34,14,2,Matches
Cédric Bakambu,cd COD,FW,33.0,7.9,6,4,0,5,1,3,7,42.9,4,13,2,11,0,6,5,0,Matches
Ezequiel Ávila,ar ARG,FW,30.0,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0,Matches
Héctor Bellerín,es ESP,DF,29.0,6.4,13,7,7,4,2,10,17,58.8,7,5,3,2,6,19,21,0,Matches
William Carvalho,pt POR,MF,32.0,5.4,9,6,3,6,0,4,6,66.7,2,6,2,4,3,12,6,0,Matches
Fran Vieites,es ESP,GK,25.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Ángel Ortíz,es ESP,DF,20.0,3.9,12,8,8,3,1,8,17,47.1,9,6,0,6,5,17,7,0,Matches
Iker Losada,es ESP,"MF,FW",22.0,3.7,10,7,2,4,4,5,10,50.0,5,2,0,2,3,13,2,0,Matches
Assane Diao,sn SEN,FW,18.0,3.1,5,3,1,3,1,4,9,44.4,5,3,0,3,0,5,3,0,Matches
Juanmi,es ESP,"FW,MF",31.0,2.7,7,4,3,3,1,4,6,66.7,2,4,0,4,1,8,4,0,Matches
Nabil Fekir,fr FRA,MF,31.0,2.0,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0,Matches
Carlos Guirao,es ESP,MF,21.0,1.2,5,3,1,4,0,4,6,66.7,2,1,1,0,3,8,2,0,Matches
Mateo Flores,es ESP,MF,20.0,1.7,3,1,3,0,0,1,1,100.0,0,1,0,1,2,5,3,0,Matches
Rodri,es ESP,FW,24.0,1.3,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,1,1,Matches
Nobel Mendy,fr FRA,DF,19.0,1.2,0,0,0,0,0,0,0,,0,2,0,2,4,4,10,1,Matches
Sergio Arribas,es ESP,DF,21.0,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0,Matches
Pablo Garcia,es ESP,FW,17.0,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Squad Total,,,27.5,38.0,645,397,271,273,101,342,644,53.1,302,406,113,293,356,1001,910,19,
Opponent Total,,,27.0,38.0,722,459,362,285,75,344,656,52.4,312,458,132,326,332,1054,866,19,
