Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Diego Llorente,es ESP,DF,30.0,28.0,1383,1595,86.7,27425,8921,407,446,91.3,819,872,93.9,147,249,59.0,0,0.3,0.4,-0.3,6,68,3,0,81,Matches
Johnny Cardoso,us USA,MF,22.0,23.8,950,1109,85.7,14556,3689,511,565,90.4,349,391,89.3,53,78,67.9,1,0.9,0.8,0.1,9,63,4,0,71,Matches
Natan,br BRA,DF,23.0,24.2,1122,1265,88.7,21511,7065,383,406,94.3,623,677,92.0,104,164,63.4,1,0.6,0.8,0.4,5,52,3,1,52,Matches
Marc Bartra,es ESP,DF,33.0,23.3,945,1163,81.3,19271,6573,314,337,93.2,493,546,90.3,126,249,50.6,1,0.2,0.3,0.8,4,64,5,1,68,Matches
Abde Ezzalzouli,ma MAR,"FW,MF",22.0,22.0,542,757,71.6,6695,1928,373,454,82.2,131,191,68.6,11,37,29.7,2,2.0,2.1,0.0,27,42,19,2,68,Matches
Romain Perraud,fr FRA,DF,26.0,22.2,921,1157,79.6,12710,4374,570,625,91.2,276,347,79.5,32,88,36.4,2,1.6,1.4,0.4,16,61,16,11,62,Matches
Sergi Altimira,es ESP,MF,22.0,21.9,1123,1258,89.3,18063,4176,560,608,92.1,443,480,92.3,82,101,81.2,1,1.7,1.2,-0.7,22,91,13,0,99,Matches
Pablo Fornals,es ESP,"MF,FW",28.0,20.3,887,1109,80.0,14428,4985,452,512,88.3,333,417,79.9,72,112,64.3,0,3.3,2.9,-3.3,36,93,33,8,146,Matches
Youssouf Sabaly,sn SEN,DF,31.0,17.6,862,994,86.7,11913,4253,530,562,94.3,284,334,85.0,23,47,48.9,1,0.8,0.9,0.2,11,49,7,5,62,Matches
