Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Guido Rodríguez,ar ARG,MF,28.0,31.9,1688,1596,86,84,3,20,9,2,0,0,0,0,1464,6,14,Matches
William Carvalho,pt POR,MF,30.0,27.1,1745,1696,43,42,13,19,5,1,0,0,0,0,1510,6,20,Matches
Germán Pezzella,ar ARG,DF,31.0,27.9,1312,1253,55,52,1,8,2,3,0,0,0,0,1129,4,7,Matches
Borja Iglesias,es ESP,FW,29.0,26.3,522,467,54,1,5,4,0,4,0,0,0,0,397,1,24,Matches
Sergio Canales,es ESP,"FW,MF",31.0,26.7,1474,1324,134,51,13,14,135,7,72,24,36,1,1116,16,53,Matches
Rui Silva,pt POR,GK,28.0,26.0,886,562,320,106,1,1,0,0,0,0,0,0,593,4,0,Matches
Luiz Felipe,it ITA,DF,25.0,19.6,884,843,39,36,0,9,2,3,0,0,0,0,753,2,11,Matches
Luiz Henrique,br BRA,FW,21.0,20.1,561,549,11,2,1,3,31,9,0,0,0,0,415,1,31,Matches
Youssouf Sabaly,sn SEN,DF,29.0,18.7,949,769,176,19,0,1,17,157,0,0,0,0,780,4,25,Matches
Rodri,es ESP,"FW,MF",22.0,17.8,858,832,19,9,6,5,47,8,2,1,0,0,732,7,22,Matches
Édgar González,es ESP,DF,25.0,19.7,892,867,22,22,0,2,0,0,0,0,0,0,792,3,7,Matches
Ayoze Pérez,es ESP,"FW,MF",29.0,15.4,391,372,14,2,2,0,7,5,0,0,0,0,308,5,15,Matches
Juan Miranda,es ESP,DF,22.0,16.4,830,658,171,26,2,3,73,130,15,2,8,0,588,1,29,Matches
Andrés Guardado,mx MEX,MF,35.0,15.3,870,806,63,45,3,14,9,11,7,1,5,0,739,1,14,Matches
Aitor Ruibal,es ESP,"DF,FW",26.0,16.2,841,691,148,18,1,10,31,130,0,0,0,0,647,2,22,Matches
Álex Moreno,es ESP,DF,29.0,15.0,695,541,153,13,0,5,28,140,0,0,0,0,525,1,25,Matches
Claudio Bravo,cl CHI,GK,39.0,12.0,392,241,148,47,0,2,0,0,0,0,0,0,232,3,0,Matches
Nabil Fekir,fr FRA,MF,29.0,10.7,484,416,66,27,2,3,48,4,33,13,16,0,378,2,7,Matches
Juanmi,es ESP,FW,29.0,10.3,245,240,5,0,3,3,0,5,0,0,0,0,207,0,6,Matches
Abner,br BRA,DF,22.0,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15,Matches
Willian José,br BRA,FW,30.0,8.1,266,249,17,0,1,2,4,0,0,0,0,0,206,0,9,Matches
Martín Montoya,es ESP,DF,31.0,5.0,244,199,45,6,0,2,10,39,0,0,0,0,190,0,5,Matches
Víctor Ruiz,es ESP,DF,33.0,6.2,251,241,9,9,0,2,0,0,0,0,0,0,213,1,0,Matches
Paul Akouokou,ci CIV,"MF,DF",24.0,5.0,174,168,4,2,1,2,0,2,0,0,0,0,160,2,3,Matches
Joaquín,es ESP,"MF,FW",41.0,5.5,324,291,33,11,4,1,31,5,17,4,9,0,258,0,9,Matches
Juan Cruz,es ESP,FW,22.0,2.0,39,38,1,1,0,0,6,0,0,0,0,0,25,0,2,Matches
Felix Garreta,es ESP,DF,18.0,1.0,40,38,1,1,0,0,0,0,0,0,0,0,34,1,0,Matches
Roberto González,es ESP,"FW,MF",21.0,0.6,29,22,7,1,0,0,5,0,6,1,2,0,25,0,1,Matches
Loren Morón,es ESP,FW,28.0,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Fran Delgado,es ESP,DF,21.0,0.1,8,7,1,0,0,0,1,1,0,0,0,0,7,0,0,Matches
Squad Total,,,28.6,38.0,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,
Opponent Total,,,27.3,38.0,17964,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370,
