Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Guido Rodríguez,ar ARG,MF,28.0,31.9,2064,118,607,1248,229,18,2064,35,22,62.9,8,22.9,1033,3909,1738,11,14,3,17,21,1301,18,Matches
William Carvalho,pt POR,MF,30.0,27.1,1979,40,303,1323,370,37,1979,52,29,55.8,17,32.7,1276,5717,2667,46,43,7,23,27,1591,52,Matches
Germán Pezzella,ar ARG,DF,31.0,27.9,1606,186,883,691,44,19,1606,7,4,57.1,2,28.6,874,3664,1817,8,9,1,12,1,1012,3,Matches
Borja Iglesias,es ESP,FW,29.0,26.3,776,18,39,357,387,118,770,32,12,37.5,14,43.8,467,2132,691,20,14,20,81,38,638,147,Matches
Sergio Canales,es ESP,"FW,MF",31.0,26.7,1677,13,180,745,781,54,1676,54,28,51.9,19,35.2,1051,6475,3161,82,69,5,55,41,1275,150,Matches
Rui Silva,pt POR,GK,28.0,26.0,937,783,933,5,0,0,937,1,1,100.0,0,0.0,462,2369,1283,0,0,0,0,0,360,0,Matches
Luiz Felipe,it ITA,DF,25.0,19.6,1130,182,601,507,23,7,1130,9,5,55.6,4,44.4,586,2625,1212,1,1,0,9,0,664,0,Matches
Luiz Henrique,br BRA,FW,21.0,20.1,880,17,160,369,375,60,880,125,56,44.8,50,40.0,565,4025,1666,61,41,24,58,59,596,137,Matches
Youssouf Sabaly,sn SEN,DF,29.0,18.7,1179,83,388,521,284,16,1179,39,19,48.7,13,33.3,619,3101,1754,41,36,3,25,25,671,64,Matches
Rodri,es ESP,"FW,MF",22.0,17.8,1016,6,120,473,438,53,1016,71,29,40.8,31,43.7,739,4148,1862,57,36,19,35,20,826,104,Matches
Édgar González,es ESP,DF,25.0,19.7,1106,171,637,448,28,17,1106,5,2,40.0,0,0.0,601,2393,1154,7,5,1,6,1,704,2,Matches
Ayoze Pérez,es ESP,"FW,MF",29.0,15.4,613,7,83,254,289,75,613,77,42,54.5,30,39.0,390,2600,1367,51,35,19,39,26,431,102,Matches
Juan Miranda,es ESP,DF,22.0,16.4,1014,67,298,418,306,33,1014,18,9,50.0,7,38.9,478,2263,1187,26,22,0,17,8,560,87,Matches
Andrés Guardado,mx MEX,MF,35.0,15.3,1022,34,277,610,151,6,1022,10,5,50.0,4,40.0,590,2806,1360,14,16,0,18,6,659,13,Matches
Aitor Ruibal,es ESP,"DF,FW",26.0,16.2,1061,44,338,468,277,24,1061,67,35,52.2,31,46.3,559,2957,1830,39,27,8,24,13,597,70,Matches
Álex Moreno,es ESP,DF,29.0,15.0,883,59,291,365,237,36,883,40,14,35.0,21,52.5,401,2628,1496,49,36,12,28,6,465,76,Matches
Claudio Bravo,cl CHI,GK,39.0,12.0,414,333,412,3,0,0,414,0,0,,0,,208,1175,724,0,0,0,0,0,144,0,Matches
