Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Diego Llorente,es ESP,DF,30.0,28.0,2,11,4,36.4,0.39,0.14,0.18,0.5,11.3,0,0,0,1.5,1.5,0.14,0.5,0.5,Matches
Johnny Cardoso,us USA,MF,22.0,23.8,3,19,7,36.8,0.8,0.29,0.16,0.43,14.9,0,0,0,2.0,2.0,0.11,1.0,1.0,Matches
Natan,br BRA,DF,23.0,24.2,1,9,4,44.4,0.37,0.17,0.11,0.25,13.9,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
Marc Bartra,es ESP,DF,33.0,23.3,2,18,5,27.8,0.77,0.21,0.11,0.4,20.8,1,0,0,1.2,1.2,0.07,0.8,0.8,Matches
Abde Ezzalzouli,ma MAR,"FW,MF",22.0,22.0,2,61,25,41.0,2.77,1.13,0.03,0.08,15.6,1,0,1,8.0,7.2,0.12,-6.0,-5.2,Matches
Romain Perraud,fr FRA,DF,26.0,22.2,2,20,5,25.0,0.9,0.22,0.1,0.4,21.7,0,0,0,0.6,0.6,0.03,1.4,1.4,Matches
Sergi Altimira,es ESP,MF,22.0,21.9,0,21,4,19.0,0.96,0.18,0.0,0.0,21.2,0,0,0,1.7,1.6,0.08,-1.7,-1.6,Matches
Pablo Fornals,es ESP,"MF,FW",28.0,20.3,2,23,4,17.4,1.13,0.2,0.09,0.5,21.7,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches
Youssouf Sabaly,sn SEN,DF,31.0,17.6,0,5,0,0.0,0.28,0.0,0.0,,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Adrián,es ESP,GK,37.0,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Isco,es ESP,MF,32.0,17.2,9,38,9,23.7,2.21,0.52,0.11,0.44,22.0,4,5,6,8.6,3.9,0.1,0.4,0.1,Matches
