Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Diego Llorente,es ESP,DF,30.0,30,29,2519.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.5,1.5,0.3,1.8,7.0,81.0,3.0,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
Johnny Cardoso,us USA,MF,22.0,28,24,2144.0,23.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,0.9,3.0,19.0,71.0,28.0,0.13,0.04,0.17,0.13,0.17,0.09,0.04,0.12,0.09,0.12,Matches
Natan,br BRA,DF,23.0,31,23,2175.0,24.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.3,0.3,0.6,1.0,12.0,52.0,6.0,0.04,0.04,0.08,0.04,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Marc Bartra,es ESP,DF,33.0,25,23,2099.0,23.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.2,1.4,7.0,68.0,1.0,0.09,0.04,0.13,0.09,0.13,0.05,0.01,0.06,0.05,0.06,Matches
Abde Ezzalzouli,ma MAR,"FW,MF",22.0,32,23,1984.0,22.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,8.0,7.2,2.0,9.3,117.0,68.0,215.0,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42,Matches
Romain Perraud,fr FRA,DF,26.0,28,22,2002.0,22.2,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,0.6,0.6,1.6,2.1,51.0,62.0,106.0,0.09,0.09,0.18,0.09,0.18,0.02,0.07,0.1,0.02,0.1,Matches
Sergi Altimira,es ESP,MF,22.0,32,22,1972.0,21.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.6,1.7,3.3,25.0,99.0,30.0,0.0,0.05,0.05,0.0,0.05,0.08,0.08,0.16,0.07,0.15,Matches
Pablo Fornals,es ESP,"MF,FW",28.0,26,22,1827.0,20.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,3.3,5.1,32.0,146.0,85.0,0.1,0.0,0.1,0.1,0.1,0.09,0.16,0.25,0.09,0.25,Matches
Youssouf Sabaly,sn SEN,DF,31.0,22,20,1581.0,17.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,25.0,62.0,63.0,0.0,0.06,0.06,0.0,0.06,0.01,0.05,0.06,0.01,0.06,Matches
