Player,Age,Current club,Market value,Nat.,Season,Contract
"['Joel Robles', 'Goalkeeper']",31,Real Betis,€4.00m,Spain,2020,"Jul 1, 2018"
"['Dani Martín', 'Goalkeeper']",22,Real Betis,€3.00m,Spain,2020,"Jul 18, 2019"
"['Claudio Bravo', 'Goalkeeper']",38,Real Betis,€1.00m,Chile,2020,"Aug 30, 2020"
"['Dani Rebollo', 'Goalkeeper']",21,Real Betis,€100k,Spain,2020,
"['Carlos Marín', 'Goalkeeper']",24,Real Betis,€100k,Spain,2020,
"['Marc Bartra', 'Centre-Back']",30,Real Betis,€10.00m,Spain,2020,"Jul 24, 2023"
"['Aïssa Mandi', 'Centre-Back']",29,Real Betis,€8.00m,Algeria,2020,"Jul 1, 2016"
"['Sidnei', 'Centre-Back']",31,Real Betis,€2.50m,Brazil,2020,"Aug 2, 2018"
"['Víctor Ruiz', 'Centre-Back']",32,Real Betis,€2.20m,Spain,2020,"Aug 31, 2020"
"['Geovanni Barba', 'Centre-Back']",20,Real Betis,€50k,Spain,2020,
"['Juan Miranda', 'Left-Back']",21,Real Betis,€7.00m,Spain,2020,"Jul 1, 2021"
"['Álex Moreno', 'Left-Back']",28,Real Betis,€6.00m,Spain,2020,"Aug 21, 2019"
"['José Calderón', 'Left-Back']",21,Real Betis,€50k,Spain,2020,
"['Emerson Royal', 'Right-Back']",22,Real Betis,€25.00m,Brazil,2020,"Feb 1, 2019"
"['Martín Montoya', 'Right-Back']",30,Real Betis,€2.00m,Spain,2020,"Aug 25, 2020"
"['Aitor Ruibal', 'Right-Back']",25,Real Betis,€2.00m,Spain,2020,"Jul 1, 2019"
"['Fran Delgado', 'Right-Back']",19,Real Betis,€400k,Spain,2020,
"['Guido Rodríguez', 'Defensive Midfield']",27,Real Betis,€22.00m,Argentina,2020,"Jan 14, 2020"
"['William Carvalho', 'Defensive Midfield']",29,Real Betis,€15.00m,Portugal,2020,"Jul 13, 2018"
"['Paul Akouokou', 'Defensive Midfield']",23,Real Betis,€1.50m,Cote d'Ivoire,2020,"Sep 10, 2020"
"['Víctor Camarasa', 'Central Midfield']",27,Real Betis,€1.50m,Spain,2020,"Jul 1, 2017"
"['Andrés Guardado', 'Central Midfield']",34,Real Betis,€1.50m,Mexico,2020,"Jul 7, 2017"
"['Nabil Fekir', 'Attacking Midfield']",27,Real Betis,€25.00m,France,2020,"Jul 23, 2019"
"['Sergio Canales', 'Attacking Midfield']",30,Real Betis,€20.00m,Spain,2020,"Jul 3, 2018"
"['Yassin Fekir', 'Attacking Midfield']",24,Real Betis,€300k,France,2020,"Feb 1, 2021"
"['Cristian Tello', 'Left Winger']",29,Real Betis,€7.50m,Spain,2020,"Jul 1, 2017"
"['Juanmi', 'Left Winger']",28,Real Betis,€2.50m,Spain,2020,"Jul 1, 2019"
"['Diego Lainez', 'Right Winger']",21,Real Betis,€8.00m,Mexico,2020,"Jan 10, 2019"
"['Joaquín', 'Right Winger']",39,Real Betis,€1.50m,Spain,2020,"Aug 31, 2015"
"['Rodri Sánchez', 'Right Winger']",21,Real Betis,€1.50m,Spain,2020,"Jul 1, 2021"
"['Borja Iglesias', 'Centre-Forward']",28,Real Betis,€10.00m,Spain,2020,"Aug 14, 2019"
"['Loren Morón', 'Centre-Forward']",27,Real Betis,€9.00m,Spain,2020,"Jan 30, 2018"
"['Antonio Sanabria', 'Centre-Forward']",25,Real Betis,€7.50m,Paraguay,2020,"Jul 15, 2016"
"['Rui Silva', 'Goalkeeper']",28,Real Betis,€15.00m,Portugal,2021,"Jul 1, 2021"
"['Joel Robles', 'Goalkeeper']",32,Real Betis,€1.50m,Spain,2021,"Jul 1, 2018"
"['Claudio Bravo', 'Goalkeeper']",39,Real Betis,€1.00m,Chile,2021,"Aug 30, 2020"
"['Dani Rebollo', 'Goalkeeper']",22,Real Betis,€100k,Spain,2021,
"['Edgar González', 'Centre-Back']",25,Real Betis,€6.00m,Spain,2021,"Jul 21, 2020"
"['Marc Bartra', 'Centre-Back']",31,Real Betis,€6.00m,Spain,2021,"Jul 24, 2023"
"['Germán Pezzella', 'Centre-Back']",31,Real Betis,€5.00m,Argentina,2021,"Aug 19, 2021"
"['Sidnei', 'Centre-Back']",32,Real Betis,€2.00m,Brazil,2021,"Aug 2, 2018"
"['Víctor Ruiz', 'Centre-Back']",33,Real Betis,€1.50m,Spain,2021,"Aug 31, 2020"
"['Kike Hermoso', 'Centre-Back']",22,Real Betis,€200k,Spain,2021,
"['Álex Moreno', 'Left-Back']",29,Real Betis,€18.00m,Spain,2021,"Aug 21, 2019"
"['Juan Miranda', 'Left-Back']",22,Real Betis,€5.00m,Spain,2021,"Jul 1, 2021"
"['Marc Baró', 'Left-Back']",22,Real Betis,€200k,Spain,2021,
"['José Calderón', 'Left-Back']",22,Real Betis,€200k,Spain,2021,
"['Héctor Bellerín', 'Right-Back']",27,Real Betis,€20.00m,Spain,2021,"Jul 18, 2023"
"['Youssouf Sabaly', 'Right-Back']",29,Real Betis,€3.00m,Senegal,2021,"Jul 1, 2021"
"['Aitor Ruibal', 'Right-Back']",26,Real Betis,€3.00m,Spain,2021,"Jul 1, 2019"
"['Martín Montoya', 'Right-Back']",31,Real Betis,€1.50m,Spain,2021,"Aug 25, 2020"
"['Fran Delgado', 'Right-Back']",20,Real Betis,€400k,Spain,2021,
"['Guido Rodríguez', 'Defensive Midfield']",28,Real Betis,€25.00m,Argentina,2021,"Jan 14, 2020"
"['William Carvalho', 'Defensive Midfield']",30,Real Betis,€16.00m,Portugal,2021,"Jul 13, 2018"
"['Paul Akouokou', 'Defensive Midfield']",24,Real Betis,€4.00m,Cote d'Ivoire,2021,"Sep 10, 2020"
"['Andrés Guardado', 'Central Midfield']",35,Real Betis,€1.50m,Mexico,2021,"Jul 7, 2017"
"['Víctor Camarasa', 'Central Midfield']",28,Real Betis,€1.00m,Spain,2021,"Jul 1, 2017"
"['Antonio Marchena', 'Central Midfield']",19,Real Betis,€100k,Spain,2021,
"['Nabil Fekir', 'Attacking Midfield']",28,Real Betis,€40.00m,France,2021,"Jul 23, 2019"
"['Sergio Canales', 'Attacking Midfield']",31,Real Betis,€20.00m,Spain,2021,"Jul 3, 2018"
"['Yassin Fekir', 'Attacking Midfield']",25,Real Betis,€300k,France,2021,"Feb 1, 2021"
"['Juanmi', 'Left Winger']",29,Real Betis,€15.00m,Spain,2021,"Jul 1, 2019"
