Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Federico Valverde,uy URU,"MF,DF",26.0,33.7,50,30,22,23,5,29,43,67.4,14,38,8,30,55,105,52,1,Matches
Kylian Mbappé,fr FRA,FW,25.0,32.3,8,5,1,3,4,1,5,20.0,4,3,0,3,1,9,1,1,Matches
Aurélien Tchouaméni,fr FRA,"DF,MF",24.0,29.9,47,23,25,19,3,21,41,51.2,20,34,25,9,46,93,92,1,Matches
Thibaut Courtois,be BEL,GK,32.0,30.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,1,Matches
Jude Bellingham,eng ENG,MF,21.0,27.6,61,33,20,27,14,28,42,66.7,14,37,2,35,28,89,23,1,Matches
Antonio Rüdiger,de GER,DF,31.0,25.5,20,13,14,6,0,11,15,73.3,4,22,14,8,9,29,96,1,Matches
Lucas Vázquez,es ESP,DF,33.0,24.3,58,34,33,17,8,27,48,56.3,21,24,6,18,17,75,35,1,Matches
Vinicius Júnior,br BRA,FW,24.0,25.0,21,10,7,4,10,5,18,27.8,13,9,0,9,3,24,1,2,Matches
Fran Garcia,es ESP,DF,24.0,24.1,51,36,29,16,6,28,51,54.9,23,27,5,22,28,79,67,1,Matches
Rodrygo,br BRA,"FW,MF",23.0,21.4,21,14,14,5,2,7,23,30.4,16,18,1,17,11,32,9,0,Matches
Raúl Asencio,es ESP,DF,21.0,18.6,22,16,18,4,0,10,13,76.9,3,11,6,5,16,38,88,2,Matches
Luka Modrić,hr CRO,MF,38.0,20.3,31,20,16,13,2,14,32,43.8,18,17,5,12,27,58,17,0,Matches
Brahim Díaz,ma MAR,"FW,MF",24.0,15.4,25,19,9,13,3,7,19,36.8,12,16,1,15,4,29,2,1,Matches
Dani Ceballos,es ESP,MF,27.0,13.5,41,21,17,18,6,20,40,50.0,20,16,4,12,14,55,10,2,Matches
Arda Güler,tr TUR,"MF,FW",19.0,13.9,30,16,11,8,11,9,22,40.9,13,18,0,18,7,37,8,0,Matches
Ferland Mendy,fr FRA,DF,29.0,11.2,17,14,7,6,4,9,12,75.0,3,11,4,7,9,26,8,1,Matches
Eduardo Camavinga,fr FRA,"MF,DF",21.0,12.2,42,26,23,16,3,19,33,57.6,14,24,8,16,18,60,23,0,Matches
Éder Militão,br BRA,DF,26.0,10.4,19,17,14,5,0,7,12,58.3,5,13,8,5,12,31,35,0,Matches
Andriy Lunin,ua UKR,GK,25.0,7.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0,Matches
Dani Carvajal,es ESP,DF,32.0,6.8,12,8,7,3,2,9,12,75.0,3,8,3,5,10,22,19,1,Matches
David Alaba,at AUT,DF,32.0,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,Matches
Endrick,br BRA,FW,18.0,4.0,1,1,1,0,0,1,3,33.3,2,0,0,0,4,5,1,0,Matches
Jacobo Ramón,es ESP,DF,19.0,2.3,7,3,4,3,0,2,2,100.0,0,1,0,1,3,10,8,2,Matches
Jesús Vallejo,es ESP,DF,27.0,1.5,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,Matches
Fran,es ESP,GK,19.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Gonzalo García,es ESP,"FW,DF",20.0,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Víctor Muñoz,es ESP,"FW,DF",21.0,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Chema,es ESP,MF,19.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Lorenzo Aguado,es ESP,DF,21.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Daniel Yáñez,es ESP,FW,17.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,38.0,586,359,294,209,83,264,486,54.3,222,353,105,248,331,917,633,19,
Opponent Total,,,26.7,38.0,674,408,401,183,90,384,796,48.2,412,454,171,283,333,1007,824,24,
