Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Vinicius Júnior,br BRA,FW,22.0,31.4,161,5.13,103,2,27,11,17,1,21,0.67,12,0,4,4,0,1,Matches
Thibaut Courtois,be BEL,GK,30.0,31.0,5,0.16,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Éder Militão,br BRA,DF,24.0,30.0,22,0.73,19,2,0,0,1,0,4,0.13,3,0,0,0,1,0,Matches
Federico Valverde,uy URU,"MF,FW",24.0,27.8,81,2.91,77,0,2,1,1,0,14,0.5,13,0,1,0,0,0,Matches
Antonio Rüdiger,de GER,DF,29.0,26.8,18,0.67,16,0,0,1,1,0,1,0.04,0,0,0,1,0,0,Matches
Rodrygo,br BRA,"FW,MF",21.0,26.4,133,5.03,78,5,25,9,15,1,21,0.79,12,0,6,0,3,0,Matches
Toni Kroos,de GER,MF,32.0,23.9,103,4.3,64,33,0,3,2,1,6,0.25,5,1,0,0,0,0,Matches
Aurélien Tchouaméni,fr FRA,MF,22.0,23.5,63,2.67,53,1,2,3,3,1,12,0.51,11,0,0,0,1,0,Matches
Karim Benzema,fr FRA,FW,34.0,22.6,102,4.5,86,1,6,7,2,0,7,0.31,5,0,1,1,0,0,Matches
Eduardo Camavinga,fr FRA,"MF,DF",19.0,22.3,72,3.23,55,0,5,3,9,0,5,0.22,3,0,0,1,1,0,Matches
David Alaba,at AUT,DF,30.0,20.4,27,1.32,23,3,0,1,0,0,4,0.2,3,0,0,1,0,0,Matches
Dani Carvajal,es ESP,DF,30.0,19.8,40,2.02,37,0,0,1,1,1,1,0.05,1,0,0,0,0,0,Matches
Luka Modrić,hr CRO,MF,36.0,19.4,85,4.39,75,6,2,1,1,0,9,0.46,6,2,0,0,1,0,Matches
Dani Ceballos,es ESP,MF,25.0,17.4,81,4.66,60,8,5,2,5,1,9,0.52,8,0,0,0,1,0,Matches
Nacho,es ESP,DF,32.0,18.2,32,1.76,24,0,5,3,0,0,2,0.11,1,0,1,0,0,0,Matches
Ferland Mendy,fr FRA,DF,27.0,15.0,28,1.87,25,1,1,0,0,1,2,0.13,2,0,0,0,0,0,Matches
Marco Asensio,es ESP,"FW,MF",26.0,16.0,76,4.74,47,16,6,4,3,0,12,0.75,7,2,2,0,1,0,Matches
Lucas Vázquez,es ESP,DF,31.0,12.7,41,3.22,32,2,2,1,3,1,2,0.16,1,0,0,0,1,0,Matches
Andriy Lunin,ua UKR,GK,23.0,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eden Hazard,be BEL,FW,31.0,2.2,16,7.35,12,1,0,1,2,0,1,0.46,1,0,0,0,0,0,Matches
Mariano,do DOM,FW,28.0,1.7,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álvaro Rodríguez,uy URU,FW,18.0,0.9,1,1.13,1,0,0,0,0,0,1,1.13,1,0,0,0,0,0,Matches
Álvaro Odriozola,es ESP,DF,26.0,0.4,3,6.92,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jesús Vallejo,es ESP,DF,25.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergio Arribas,es ESP,"MF,FW",20.0,0.2,3,14.21,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Casemiro,br BRA,MF,30.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.4,38.0,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1,
Opponent Total,,,27.3,38.0,720,18.95,516,69,49,44,27,15,50,1.32,32,3,2,10,3,0,
