Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Federico Valverde,uy URU,"MF,DF",26.0,33.7,2010,2237,89.9,34974,10229,973,1037,93.8,789,841,93.8,198,262,75.6,4,3.1,3.2,0.9,39,232,31,2,226,Matches
Kylian Mbappé,fr FRA,FW,25.0,32.3,949,1145,82.9,13622,2382,575,652,88.2,250,292,85.6,62,78,79.5,3,7.7,6.6,-4.7,51,75,52,3,140,Matches
Aurélien Tchouaméni,fr FRA,"DF,MF",24.0,29.9,1869,2025,92.3,32598,10694,787,827,95.2,925,979,94.5,134,177,75.7,0,0.6,0.9,-0.6,5,176,9,1,154,Matches
Thibaut Courtois,be BEL,GK,32.0,30.0,848,1020,83.1,20000,12835,163,164,99.4,526,530,99.2,158,324,48.8,0,0.1,0.0,-0.1,1,4,0,0,0,Matches
Jude Bellingham,eng ENG,MF,21.0,27.6,1333,1548,86.1,21413,4654,715,785,91.1,476,541,88.0,112,142,78.9,8,3.9,4.5,4.1,42,130,31,0,199,Matches
Antonio Rüdiger,de GER,DF,31.0,25.5,1706,1858,91.8,32076,10610,644,666,96.7,875,919,95.2,168,239,70.3,0,0.5,0.9,-0.5,7,117,6,1,94,Matches
Lucas Vázquez,es ESP,DF,33.0,24.3,1415,1624,87.1,21508,5227,764,823,92.8,547,622,87.9,68,107,63.6,5,4.7,3.9,0.3,33,65,29,2,99,Matches
Vinicius Júnior,br BRA,FW,24.0,25.0,673,901,74.7,10433,2523,383,462,82.9,196,250,78.4,62,96,64.6,8,8.0,7.0,0.0,58,53,36,6,85,Matches
Fran Garcia,es ESP,DF,24.0,24.1,1344,1551,86.7,19116,5223,836,895,93.4,389,453,85.9,67,110,60.9,2,1.8,2.3,0.2,24,87,23,9,119,Matches
Rodrygo,br BRA,"FW,MF",23.0,21.4,939,1093,85.9,12276,3000,619,652,94.9,234,272,86.0,35,85,41.2,5,3.0,4.2,2.0,49,66,26,2,108,Matches
Raúl Asencio,es ESP,DF,21.0,18.6,927,988,93.8,15881,5389,414,429,96.5,443,460,96.3,57,82,69.5,1,0.6,0.4,0.4,6,47,3,0,27,Matches
Luka Modrić,hr CRO,MF,38.0,20.3,1724,1969,87.6,29739,9647,830,887,93.6,654,718,91.1,186,281,66.2,6,7.0,6.3,-1.0,66,225,34,2,208,Matches
