Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Federico Valverde,uy URU,"MF,DF",26.0,33.7,2237,2145,81,37,3,50,26,38,3,3,0,0,2010,11,23,Matches
Kylian Mbappé,fr FRA,FW,25.0,32.3,1145,1074,66,3,6,19,35,11,6,0,0,0,949,5,33,Matches
Aurélien Tchouaméni,fr FRA,"DF,MF",24.0,29.9,2025,1936,86,57,0,9,12,6,0,0,0,0,1869,3,10,Matches
Thibaut Courtois,be BEL,GK,32.0,30.0,1020,841,178,30,0,2,0,0,0,0,0,0,848,1,0,Matches
Jude Bellingham,eng ENG,MF,21.0,27.6,1548,1490,48,21,22,19,18,11,1,0,0,0,1333,10,27,Matches
Antonio Rüdiger,de GER,DF,31.0,25.5,1858,1780,72,48,3,18,4,9,0,0,0,0,1706,6,5,Matches
Lucas Vázquez,es ESP,DF,33.0,24.3,1624,1415,204,37,1,7,63,151,16,4,7,0,1415,5,27,Matches
Vinicius Júnior,br BRA,FW,24.0,25.0,901,862,29,9,15,16,56,10,8,0,0,0,673,10,45,Matches
Fran Garcia,es ESP,DF,24.0,24.1,1551,1350,199,30,1,5,66,169,0,0,0,0,1344,2,38,Matches
Rodrygo,br BRA,"FW,MF",23.0,21.4,1093,986,102,23,1,3,81,17,57,24,22,0,939,5,15,Matches
Raúl Asencio,es ESP,DF,21.0,18.6,988,926,61,33,1,8,0,8,0,0,0,0,927,1,2,Matches
Luka Modrić,hr CRO,MF,38.0,20.3,1969,1778,188,82,11,24,112,8,98,48,25,1,1724,3,15,Matches
Brahim Díaz,ma MAR,"FW,MF",24.0,15.4,660,635,19,10,8,1,8,8,0,0,0,0,573,6,13,Matches
Dani Ceballos,es ESP,MF,27.0,13.5,1361,1306,52,30,4,7,14,14,7,4,2,0,1284,3,13,Matches
Arda Güler,tr TUR,"MF,FW",19.0,13.9,886,805,80,18,10,8,57,13,47,30,7,0,763,1,13,Matches
Ferland Mendy,fr FRA,DF,29.0,11.2,671,581,88,19,0,2,1,69,0,0,0,0,630,2,8,Matches
Eduardo Camavinga,fr FRA,"MF,DF",21.0,12.2,793,746,42,17,4,4,2,25,0,0,0,0,700,5,11,Matches
Éder Militão,br BRA,DF,26.0,10.4,712,676,34,19,0,15,2,2,0,0,0,0,636,2,3,Matches
Andriy Lunin,ua UKR,GK,25.0,7.0,202,147,53,8,0,1,0,0,0,0,0,0,174,2,1,Matches
Dani Carvajal,es ESP,DF,32.0,6.8,463,409,53,7,0,0,14,46,0,0,0,0,399,1,9,Matches
David Alaba,at AUT,DF,32.0,3.5,228,214,13,4,0,2,3,2,0,0,0,0,206,1,2,Matches
Endrick,br BRA,FW,18.0,4.0,75,69,6,0,0,1,2,2,0,0,0,0,59,0,0,Matches
Jacobo Ramón,es ESP,DF,19.0,2.3,90,85,5,5,0,0,0,0,0,0,0,0,84,0,2,Matches
Jesús Vallejo,es ESP,DF,27.0,1.5,67,66,1,1,0,0,0,0,0,0,0,0,60,0,0,Matches
Fran,es ESP,GK,19.0,1.0,20,15,5,1,0,0,0,0,0,0,0,0,19,0,0,Matches
Gonzalo García,es ESP,"FW,DF",20.0,0.6,20,20,0,0,0,0,0,0,0,0,0,0,19,0,0,Matches
Víctor Muñoz,es ESP,"FW,DF",21.0,0.4,12,12,0,0,0,0,2,0,0,0,0,0,11,0,1,Matches
Chema,es ESP,MF,19.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Lorenzo Aguado,es ESP,DF,21.0,0.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
Daniel Yáñez,es ESP,FW,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,38.0,24221,22370,1766,549,90,221,578,620,243,113,63,1,21356,85,316,
Opponent Total,,,26.7,38.0,15895,14331,1521,397,40,120,554,533,161,78,49,0,12981,43,293,
