Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Vinicius Júnior,br BRA,FW,22.0,31.4,10,77,36,46.8,2.45,1.15,0.13,0.28,16.2,0,0,0,10.5,10.5,0.14,-0.5,-0.5,Matches
Thibaut Courtois,be BEL,GK,30.0,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Éder Militão,br BRA,DF,24.0,30.0,5,22,8,36.4,0.73,0.27,0.23,0.63,13.8,0,0,0,2.4,2.4,0.11,2.6,2.6,Matches
Federico Valverde,uy URU,"MF,FW",24.0,27.8,7,63,21,33.3,2.27,0.76,0.11,0.33,22.7,2,0,0,4.3,4.3,0.07,2.7,2.7,Matches
Antonio Rüdiger,de GER,DF,29.0,26.8,1,22,4,18.2,0.82,0.15,0.05,0.25,14.8,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Rodrygo,br BRA,"FW,MF",21.0,26.4,9,97,31,32.0,3.67,1.17,0.08,0.26,16.6,8,1,1,13.7,12.9,0.13,-4.7,-4.9,Matches
Toni Kroos,de GER,MF,32.0,23.9,2,31,11,35.5,1.29,0.46,0.06,0.18,25.4,5,0,0,1.4,1.4,0.05,0.6,0.6,Matches
Aurélien Tchouaméni,fr FRA,MF,22.0,23.5,0,38,6,15.8,1.61,0.25,0.0,0.0,22.1,0,0,0,1.8,1.8,0.05,-1.8,-1.8,Matches
Karim Benzema,fr FRA,FW,34.0,22.6,19,99,36,36.4,4.37,1.59,0.12,0.33,15.9,6,7,8,21.5,14.9,0.15,-2.5,-2.9,Matches
Eduardo Camavinga,fr FRA,"MF,DF",19.0,22.3,0,18,3,16.7,0.81,0.13,0.0,0.0,23.2,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
David Alaba,at AUT,DF,30.0,20.4,1,14,3,21.4,0.69,0.15,0.07,0.33,19.8,5,0,0,0.8,0.8,0.06,0.2,0.2,Matches
Dani Carvajal,es ESP,DF,30.0,19.8,0,12,0,0.0,0.61,0.0,0.0,,17.5,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Luka Modrić,hr CRO,MF,36.0,19.4,4,29,5,17.2,1.5,0.26,0.1,0.6,20.2,1,1,1,4.2,3.4,0.12,-0.2,-0.4,Matches
Dani Ceballos,es ESP,MF,25.0,17.4,0,18,5,27.8,1.04,0.29,0.0,0.0,21.0,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
Nacho,es ESP,DF,32.0,18.2,1,9,4,44.4,0.49,0.22,0.11,0.25,14.5,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Ferland Mendy,fr FRA,DF,27.0,15.0,0,1,0,0.0,0.07,0.0,0.0,,7.3,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
Marco Asensio,es ESP,"FW,MF",26.0,16.0,9,58,24,41.4,3.62,1.5,0.16,0.38,21.5,5,0,1,6.3,5.5,0.1,2.7,3.5,Matches
Lucas Vázquez,es ESP,DF,31.0,12.7,4,14,7,50.0,1.1,0.55,0.29,0.57,18.5,0,0,0,1.9,1.9,0.14,2.1,2.1,Matches
Andriy Lunin,ua UKR,GK,23.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eden Hazard,be BEL,FW,31.0,2.2,0,2,0,0.0,0.92,0.0,0.0,,21.6,0,0,1,1.0,0.2,0.09,-1.0,-0.2,Matches
Mariano,do DOM,FW,28.0,1.7,0,5,0,0.0,2.87,0.0,0.0,,10.3,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Álvaro Rodríguez,uy URU,FW,18.0,0.9,1,2,1,50.0,2.28,1.14,0.5,1.0,8.0,0,0,0,0.2,0.2,0.12,0.8,0.8,Matches
Álvaro Odriozola,es ESP,DF,26.0,0.4,0,1,0,0.0,2.31,0.0,0.0,,13.7,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
Jesús Vallejo,es ESP,DF,25.0,0.2,0,1,1,100.0,4.09,4.09,0.0,0.0,5.7,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Sergio Arribas,es ESP,"MF,FW",20.0,0.2,0,1,0,0.0,4.74,0.0,0.0,,16.3,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Casemiro,br BRA,MF,30.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.4,38.0,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1,
Opponent Total,,,27.3,38.0,35,417,131,31.4,10.97,3.45,0.07,0.24,18.7,11,4,5,38.9,35.0,0.09,-3.9,-4.0,
