Player,Age,Current club,Market value,Nat.,Season,Contract
"['Thibaut Courtois', 'Goalkeeper']",29,Real Madrid CF,€60.00m,Belgium,2020,"Aug 9, 2018"
"['Andriy Lunin', 'Goalkeeper']",22,Real Madrid CF,€3.00m,Ukraine,2020,"Jul 1, 2018"
"['Diego Altube', 'Goalkeeper']",21,Real Madrid CF,€500k,Spain,2020,
"['Luis López', 'Goalkeeper']",20,Real Madrid CF,€150k,Spain,2020,
"['Lucas Cañizares', 'Goalkeeper']",19,Real Madrid CF,€0,Spain,2020,
"['Raphaël Varane', 'Centre-Back']",28,Real Madrid CF,€70.00m,France,2020,"Jul 1, 2011"
"['Éder Militão', 'Centre-Back']",23,Real Madrid CF,€40.00m,Brazil,2020,"Jul 1, 2019"
"['Sergio Ramos', 'Centre-Back']",35,Real Madrid CF,€10.00m,Spain,2020,"Aug 31, 2005"
"['Nacho Fernández', 'Centre-Back']",31,Real Madrid CF,€10.00m,Spain,2020,"Sep 1, 2012"
"['Víctor Chust', 'Centre-Back']",21,Real Madrid CF,€400k,Spain,2020,"Jul 1, 2021"
"['Pablo Ramón', 'Centre-Back']",20,Real Madrid CF,€50k,Spain,2020,
"['Ferland Mendy', 'Left-Back']",26,Real Madrid CF,€50.00m,France,2020,"Jul 1, 2019"
"['Marcelo', 'Left-Back']",33,Real Madrid CF,€7.50m,Brazil,2020,"Jan 1, 2007"
"['Miguel Gutiérrez', 'Left-Back']",19,Real Madrid CF,€5.00m,Spain,2020,"Jul 1, 2022"
"['Daniel Carvajal', 'Right-Back']",29,Real Madrid CF,€30.00m,Spain,2020,"Jul 1, 2013"
"['Lucas Vázquez', 'Right-Back']",29,Real Madrid CF,€15.00m,Spain,2020,"Jul 2, 2015"
"['Álvaro Odriozola', 'Right-Back']",25,Real Madrid CF,€10.00m,Spain,2020,"Jul 5, 2018"
"['Marvin Park', 'Right-Back']",20,Real Madrid CF,€500k,Spain,2020,
"['Sergio Santos', 'Right-Back']",20,Real Madrid CF,€200k,Spain,2020,
"['Casemiro', 'Defensive Midfield']",29,Real Madrid CF,€70.00m,Brazil,2020,"Jul 2, 2015"
"['Antonio Blanco', 'Defensive Midfield']",20,Real Madrid CF,€5.00m,Spain,2020,"Jul 1, 2022"
"['Federico Valverde', 'Central Midfield']",22,Real Madrid CF,€65.00m,Uruguay,2020,"Jul 1, 2018"
"['Toni Kroos', 'Central Midfield']",31,Real Madrid CF,€40.00m,Germany,2020,"Jul 17, 2014"
"['Luka Modrić', 'Central Midfield']",35,Real Madrid CF,€10.00m,Croatia,2020,"Aug 27, 2012"
"['Martin Ødegaard', 'Attacking Midfield']",22,Real Madrid CF,€40.00m,Norway,2020,"Jan 8, 2017"
"['Marco Asensio', 'Attacking Midfield']",25,Real Madrid CF,€35.00m,Spain,2020,"Jul 1, 2015"
"['Isco', 'Attacking Midfield']",29,Real Madrid CF,€18.00m,Spain,2020,"Jul 1, 2013"
"['Sergio Arribas', 'Attacking Midfield']",19,Real Madrid CF,€3.00m,Spain,2020,
"['Eden Hazard', 'Left Winger']",30,Real Madrid CF,€40.00m,Belgium,2020,"Jul 1, 2019"
"['Vinicius Junior', 'Left Winger']",20,Real Madrid CF,€40.00m,Brazil,2020,"Jul 12, 2018"
"['Óscar Aranda', 'Left Winger']",19,Real Madrid CF,€0,Spain,2020,
"['Rodrygo', 'Right Winger']",20,Real Madrid CF,€35.00m,Brazil,2020,"Jul 1, 2019"
"['Karim Benzema', 'Centre-Forward']",33,Real Madrid CF,€25.00m,France,2020,"Jul 9, 2009"
"['Luka Jović', 'Centre-Forward']",23,Real Madrid CF,€20.00m,Serbia,2020,"Jul 2, 2019"
"['Borja Mayoral', 'Centre-Forward']",24,Real Madrid CF,€14.00m,Spain,2020,"Jul 1, 2016"
"['Mariano Díaz', 'Centre-Forward']",27,Real Madrid CF,€10.00m,Dominican Republic,2020,"Aug 29, 2018"
"['Hugo Duro', 'Centre-Forward']",21,Real Madrid CF,€5.00m,Spain,2020,
"['Thibaut Courtois', 'Goalkeeper']",30,Real Madrid CF,€60.00m,Belgium,2021,"Aug 9, 2018"
"['Andriy Lunin', 'Goalkeeper']",23,Real Madrid CF,€2.50m,Ukraine,2021,"Jul 1, 2018"
"['Luis López', 'Goalkeeper']",21,Real Madrid CF,€300k,Spain,2021,
"['Toni Fuidias', 'Goalkeeper']",21,Real Madrid CF,€300k,Spain,2021,
"['Diego Piñeiro', 'Goalkeeper']",18,Real Madrid CF,€0,Spain,2021,
"['Éder Militão', 'Centre-Back']",24,Real Madrid CF,€60.00m,Brazil,2021,"Jul 1, 2019"
"['David Alaba', 'Centre-Back']",30,Real Madrid CF,€55.00m,Austria,2021,"Jul 1, 2021"
"['Nacho Fernández', 'Centre-Back']",32,Real Madrid CF,€7.00m,Spain,2021,"Sep 1, 2012"
"['Jesús Vallejo', 'Centre-Back']",25,Real Madrid CF,€3.00m,Spain,2021,"Jul 31, 2015"
"['Mario Gila', 'Centre-Back']",21,Real Madrid CF,€500k,Spain,2021,
"['Rafa Marín', 'Centre-Back']",20,Real Madrid CF,€400k,Spain,2021,"Jul 1, 2023"
"['Ferland Mendy', 'Left-Back']",27,Real Madrid CF,€40.00m,France,2021,"Jul 1, 2019"
"['Miguel Gutiérrez', 'Left-Back']",20,Real Madrid CF,€6.00m,Spain,2021,"Jul 1, 2022"
"['Marcelo', 'Left-Back']",34,Real Madrid CF,€3.00m,Brazil,2021,"Jan 1, 2007"
"['Daniel Carvajal', 'Right-Back']",30,Real Madrid CF,€18.00m,Spain,2021,"Jul 1, 2013"
"['Lucas Vázquez', 'Right-Back']",30,Real Madrid CF,€12.00m,Spain,2021,"Jul 2, 2015"
"['Álvaro Odriozola', 'Right-Back']",26,Real Madrid CF,€12.00m,Spain,2021,"Jul 5, 2018"
"['Sergio Santos', 'Right-Back']",21,Real Madrid CF,€250k,Spain,2021,
"['Casemiro', 'Defensive Midfield']",30,Real Madrid CF,€40.00m,Brazil,2021,"Jul 2, 2015"
"['Antonio Blanco', 'Defensive Midfield']",21,Real Madrid CF,€5.00m,Spain,2021,"Jul 1, 2022"
