Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Álex Remiro,es ESP,GK,29.0,36.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,18,4,Matches
Martín Zubimendi,es ESP,MF,25.0,32.9,73,37,31,29,13,28,44,63.6,16,42,16,26,44,117,79,3,Matches
Sergio Gómez,es ESP,"MF,DF",23.0,30.4,71,39,30,29,12,30,56,53.6,26,44,3,41,19,90,30,2,Matches
Jon Aramburu,ve VEN,DF,22.0,27.3,102,70,61,30,11,66,100,66.0,34,40,8,32,30,132,98,0,Matches
Mikel Oyarzabal,es ESP,FW,27.0,25.0,25,16,9,10,6,10,23,43.5,13,17,1,16,4,29,15,0,Matches
Takefusa Kubo,jp JPN,"MF,FW",23.0,26.4,31,20,11,11,9,16,40,40.0,24,38,1,37,17,48,13,1,Matches
Igor Zubeldia,es ESP,DF,27.0,25.2,34,22,21,10,3,14,26,53.8,12,32,18,14,31,65,100,2,Matches
Javi López,es ESP,DF,22.0,21.5,40,23,23,12,5,23,37,62.2,14,21,7,14,11,51,59,2,Matches
Luka Sučić,hr CRO,MF,21.0,19.9,25,18,8,12,5,10,26,38.5,16,30,2,28,15,40,16,1,Matches
Nayef Aguerd,ma MAR,DF,28.0,19.6,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,91,0,Matches
Brais Méndez,es ESP,MF,27.0,17.0,24,13,6,14,4,9,24,37.5,15,14,1,13,7,31,16,1,Matches
Aritz Elustondo,es ESP,DF,30.0,16.2,20,11,15,3,2,11,19,57.9,8,17,12,5,11,31,96,0,Matches
Ander Barrenetxea,es ESP,"MF,FW",22.0,14.0,26,19,7,14,5,6,23,26.1,17,15,0,15,11,37,16,1,Matches
Pablo Marín,es ESP,MF,21.0,13.8,25,17,6,13,6,10,19,52.6,9,12,3,9,5,30,14,0,Matches
Aihen Muñoz,es ESP,DF,26.0,12.2,24,12,14,8,2,14,28,50.0,14,11,6,5,14,38,47,0,Matches
Sheraldo Becker,sr SUR,"FW,MF",29.0,11.1,3,2,0,3,0,0,2,0.0,2,4,0,4,1,4,10,0,Matches
Beñat Turrientes,es ESP,MF,22.0,10.5,15,6,4,10,1,4,15,26.7,11,15,3,12,5,20,14,1,Matches
Orri Steinn Óskarsson,is ISL,FW,19.0,10.5,6,6,2,1,3,2,8,25.0,6,10,1,9,2,8,11,0,Matches
Jon Pacheco,es ESP,DF,23.0,9.5,15,9,12,3,0,10,12,83.3,2,8,6,2,9,24,49,2,Matches
Hamari Traoré,ml MLI,DF,32.0,7.8,19,12,10,7,2,15,22,68.2,7,6,2,4,9,28,21,0,Matches
Olasagasti,es ESP,MF,23.0,9.5,21,10,7,9,5,8,18,44.4,10,8,2,6,15,36,10,0,Matches
Jon Martin,es ESP,DF,18.0,10.0,11,9,7,3,1,6,9,66.7,3,13,9,4,7,18,80,1,Matches
Umar Sadiq,ng NGA,FW,27.0,2.5,2,1,1,1,0,1,2,50.0,1,3,1,2,1,3,2,0,Matches
Unai Marrero,es ESP,GK,22.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Arkaitz Mariezkurrena,es ESP,"FW,MF",19.0,2.7,1,0,1,0,0,0,4,0.0,4,4,1,3,1,2,4,0,Matches
Arsen Zakharyan,ru RUS,"MF,FW",21.0,0.8,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,0,0,Matches
Urko González,es ESP,MF,23.0,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
Álvaro Odriozola,es ESP,DF,28.0,0.5,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Daniel Díaz,es ESP,MF,18.0,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
Luken Beitia,es ESP,DF,20.0,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
Jon Magunazelaia,es ESP,MF,23.0,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Squad Total,,,25.2,38.0,649,401,309,244,96,308,579,53.2,271,428,120,308,283,932,913,21,
Opponent Total,,,26.8,38.0,604,377,306,219,79,307,602,51.0,295,401,99,302,292,896,1003,14,
