Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Álex Remiro,es ESP,GK,29.0,36.0,6,0.17,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Martín Zubimendi,es ESP,MF,25.0,32.9,46,1.4,38,0,4,1,1,2,6,0.18,5,0,0,0,1,0,Matches
Sergio Gómez,es ESP,"MF,DF",23.0,30.4,102,3.35,51,44,1,3,2,1,10,0.33,7,3,0,0,0,0,Matches
Jon Aramburu,ve VEN,DF,22.0,27.3,33,1.21,26,3,1,0,1,2,2,0.07,2,0,0,0,0,0,Matches
Mikel Oyarzabal,es ESP,FW,27.0,25.0,38,1.52,27,0,1,4,6,0,5,0.2,3,0,0,0,2,0,Matches
Takefusa Kubo,jp JPN,"MF,FW",23.0,26.4,114,4.33,72,11,16,2,9,4,8,0.3,2,0,5,0,1,0,Matches
Igor Zubeldia,es ESP,DF,27.0,25.2,17,0.67,16,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
Javi López,es ESP,DF,22.0,21.5,20,0.93,16,1,1,0,2,0,2,0.09,1,0,0,0,1,0,Matches
Luka Sučić,hr CRO,MF,21.0,19.9,55,2.76,44,0,3,5,2,1,5,0.25,5,0,0,0,0,0,Matches
Nayef Aguerd,ma MAR,DF,28.0,19.6,16,0.82,13,1,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
Brais Méndez,es ESP,MF,27.0,17.0,43,2.53,32,7,1,1,2,0,2,0.12,1,1,0,0,0,0,Matches
Aritz Elustondo,es ESP,DF,30.0,16.2,11,0.68,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Ander Barrenetxea,es ESP,"MF,FW",22.0,14.0,42,2.99,31,1,2,5,1,2,6,0.43,4,0,0,2,0,0,Matches
Pablo Marín,es ESP,MF,21.0,13.8,26,1.89,22,0,2,0,2,0,2,0.15,2,0,0,0,0,0,Matches
Aihen Muñoz,es ESP,DF,26.0,12.2,10,0.82,8,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Sheraldo Becker,sr SUR,"FW,MF",29.0,11.1,21,1.9,17,0,2,1,1,0,1,0.09,1,0,0,0,0,0,Matches
Beñat Turrientes,es ESP,MF,22.0,10.5,12,1.15,10,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Orri Steinn Óskarsson,is ISL,FW,19.0,10.5,10,0.95,8,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Jon Pacheco,es ESP,DF,23.0,9.5,4,0.42,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hamari Traoré,ml MLI,DF,32.0,7.8,13,1.67,11,1,1,0,0,0,2,0.26,1,1,0,0,0,0,Matches
Olasagasti,es ESP,MF,23.0,9.5,16,1.68,14,0,0,1,1,0,2,0.21,2,0,0,0,0,0,Matches
Jon Martin,es ESP,DF,18.0,10.0,8,0.8,6,0,0,2,0,0,1,0.1,1,0,0,0,0,0,Matches
Umar Sadiq,ng NGA,FW,27.0,2.5,3,1.19,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Unai Marrero,es ESP,GK,22.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arkaitz Mariezkurrena,es ESP,"FW,MF",19.0,2.7,7,2.61,4,0,2,1,0,0,1,0.37,1,0,0,0,0,0,Matches
Arsen Zakharyan,ru RUS,"MF,FW",21.0,0.8,6,7.4,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Urko González,es ESP,MF,23.0,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álvaro Odriozola,es ESP,DF,28.0,0.5,1,2.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Díaz,es ESP,MF,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luken Beitia,es ESP,DF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jon Magunazelaia,es ESP,MF,23.0,0.1,1,12.86,1,0,0,0,0,0,1,12.86,1,0,0,0,0,0,Matches
Squad Total,,,25.2,38.0,682,17.95,493,74,38,34,31,12,59,1.55,42,5,5,2,5,0,
Opponent Total,,,26.8,38.0,743,19.55,532,72,38,43,44,14,76,2.0,56,3,3,10,4,0,
