Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Álex Remiro,es ESP,GK,27.0,38.0,1313,970,336,120,0,3,0,0,0,0,0,0,941,7,0,Matches
Martín Zubimendi,es ESP,MF,23.0,34.5,1812,1748,58,54,6,10,4,2,0,0,0,0,1545,6,23,Matches
Robin Le Normand,es ESP,DF,25.0,31.1,1740,1653,85,61,2,7,1,3,0,0,0,0,1533,2,4,Matches
Igor Zubeldia,es ESP,DF,25.0,28.2,1557,1490,62,44,1,12,3,18,0,0,0,0,1329,5,12,Matches
Takefusa Kubo,jp JPN,"FW,MF",21.0,27.1,875,823,42,5,3,5,72,5,29,10,12,1,621,10,35,Matches
Mikel Merino,es ESP,MF,26.0,27.7,1502,1466,25,21,11,15,25,3,1,0,0,0,1145,11,32,Matches
Brais Méndez,es ESP,MF,25.0,26.7,1312,1138,169,53,7,15,125,6,103,32,49,0,1010,5,25,Matches
Alexander Sørloth,no NOR,FW,26.0,26.5,481,449,29,0,1,1,8,1,0,0,0,0,329,3,18,Matches
David Silva,es ESP,MF,36.0,21.5,1165,1120,37,16,9,5,20,6,3,1,2,0,983,8,17,Matches
Aihen Muñoz,es ESP,DF,24.0,19.5,1027,824,196,16,0,3,54,180,0,0,0,0,781,7,29,Matches
Andoni Gorosabel,es ESP,DF,25.0,19.0,1049,834,213,29,0,2,41,184,0,0,0,0,888,2,20,Matches
Diego Rico,es ESP,DF,29.0,18.3,985,779,202,21,0,7,55,181,0,0,0,0,746,4,21,Matches
Aritz Elustondo,es ESP,DF,28.0,16.1,809,680,125,14,0,1,9,111,0,0,0,0,653,4,9,Matches
Mikel Oyarzabal,es ESP,"FW,MF",25.0,13.5,392,368,22,9,1,2,28,3,7,5,1,0,285,2,18,Matches
Asier Illarramendi,es ESP,MF,32.0,12.0,640,607,29,18,0,3,6,5,3,0,2,0,545,4,10,Matches
Jon Pacheco,es ESP,DF,21.0,13.3,907,859,43,32,1,8,0,4,0,0,0,0,812,5,4,Matches
Ander Barrenetxea,es ESP,"FW,DF",20.0,9.8,376,343,32,5,1,1,13,25,2,0,0,0,288,1,19,Matches
Carlos Fernández,es ESP,FW,26.0,7.0,148,143,5,0,1,0,0,1,0,0,0,0,96,0,1,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",18.0,6.5,165,158,6,0,0,0,30,0,2,1,1,0,108,1,6,Matches
Pablo Marín,es ESP,"MF,FW",19.0,4.0,168,165,2,2,1,1,3,0,0,0,0,0,128,1,6,Matches
Alex Sola,es ESP,DF,23.0,3.9,198,150,48,4,0,0,12,44,0,0,0,0,158,0,5,Matches
Ander Guevara,es ESP,MF,25.0,2.5,179,178,0,0,1,0,0,0,0,0,0,0,161,1,2,Matches
Alexander Isak,se SWE,FW,22.0,1.7,30,25,4,0,0,0,2,0,0,0,0,0,17,1,2,Matches
Roberto Navarro,es ESP,"MF,FW",20.0,3.9,138,119,18,6,0,1,16,0,11,5,3,0,99,1,5,Matches
Beñat Turrientes,es ESP,"MF,FW",20.0,1.2,47,40,7,4,0,2,4,0,3,2,1,0,40,0,0,Matches
Umar Sadiq,ng NGA,FW,25.0,0.9,13,13,0,0,0,1,0,0,0,0,0,0,13,0,0,Matches
Jon Karrikaburu,es ESP,FW,19.0,1.0,18,18,0,0,1,0,1,0,0,0,0,0,11,0,0,Matches
Jon Magunazelaia,es ESP,"MF,FW",21.0,0.7,16,15,1,1,0,0,2,0,0,0,0,0,8,0,1,Matches
Olasagasti,es ESP,"MF,DF",21.0,0.7,48,47,1,1,0,2,0,0,0,0,0,0,39,0,0,Matches
Ander Martin,es ESP,"MF,FW",21.0,0.5,24,22,2,1,0,0,4,0,1,1,0,0,12,0,0,Matches
Squad Total,,,25.9,38.0,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,
Opponent Total,,,27.5,38.0,16093,13951,2051,691,34,147,570,817,154,51,48,1,12130,91,332,
