Player,Age,Current club,Market value,Nat.,Season,Contract
"['Álex Remiro', 'Goalkeeper']",26,Real Sociedad,€20.00m,Spain,2020,"Jul 1, 2019"
"['Miguel Ángel Moyá', 'Goalkeeper']",37,Real Sociedad,€800k,Spain,2020,"Feb 27, 2018"
"['Andoni Zubiaurre', 'Goalkeeper']",24,Real Sociedad,€300k,Spain,2020,"Jul 1, 2022"
"['Gaizka Ayesa', 'Goalkeeper']",20,Real Sociedad,€200k,Spain,2020,
"['Unai Marrero', 'Goalkeeper']",19,Real Sociedad,€0,Spain,2020,"Jul 1, 2023"
"['Robin Le Normand', 'Centre-Back']",24,Real Sociedad,€22.00m,Spain,2020,"Jul 1, 2019"
"['Diego Llorente', 'Centre-Back']",27,Real Sociedad,€20.00m,Spain,2020,"Jul 1, 2017"
"['Igor Zubeldia', 'Centre-Back']",24,Real Sociedad,€20.00m,Spain,2020,"Jul 1, 2017"
"['Aritz Elustondo', 'Centre-Back']",27,Real Sociedad,€15.00m,Spain,2020,"Jan 4, 2016"
"['Modibo Sagnan', 'Centre-Back']",22,Real Sociedad,€3.00m,Mali,2020,"Jul 1, 2019"
"['Jon Pacheco', 'Centre-Back']",20,Real Sociedad,€200k,Spain,2020,"Jul 1, 2022"
"['Jérémy Blasco', 'Centre-Back']",22,Real Sociedad,€150k,France,2020,
"['Aritz Arambarri', 'Centre-Back']",23,Real Sociedad,€150k,Spain,2020,
"['Aihen Muñoz', 'Left-Back']",23,Real Sociedad,€6.00m,Spain,2020,"Jul 1, 2019"
"['Nacho Monreal', 'Left-Back']",35,Real Sociedad,€1.50m,Spain,2020,"Aug 31, 2019"
"['Andoni Gorosabel', 'Right-Back']",24,Real Sociedad,€10.00m,Spain,2020,"Jul 1, 2018"
"['Joseba Zaldua', 'Right-Back']",29,Real Sociedad,€5.00m,Spain,2020,"Jul 1, 2014"
"['Martín Zubimendi', 'Defensive Midfield']",22,Real Sociedad,€20.00m,Spain,2020,"Sep 10, 2020"
"['Asier Illarramendi', 'Defensive Midfield']",31,Real Sociedad,€6.00m,Spain,2020,"Aug 26, 2015"
"['Urko González de Zárate', 'Defensive Midfield']",20,Real Sociedad,€500k,Spain,2020,"Jul 1, 2023"
"['Mikel Merino', 'Central Midfield']",25,Real Sociedad,€40.00m,Spain,2020,"Jul 12, 2018"
"['Ander Guevara', 'Central Midfield']",23,Real Sociedad,€7.50m,Spain,2020,"Jul 1, 2019"
"['Jon Guridi', 'Central Midfield']",26,Real Sociedad,€1.80m,Spain,2020,"Jan 29, 2019"
"['Luca Sangalli', 'Central Midfield']",26,Real Sociedad,€1.50m,Spain,2020,"Aug 14, 2018"
"['Beñat Turrientes', 'Central Midfield']",19,Real Sociedad,€300k,Spain,2020,"Aug 7, 2022"
"['Roberto López', 'Attacking Midfield']",21,Real Sociedad,€8.00m,Spain,2020,"Jul 1, 2022"
"['David Silva', 'Attacking Midfield']",35,Real Sociedad,€5.00m,Spain,2020,"Aug 17, 2020"
"['Ander Barrenetxea', 'Left Winger']",19,Real Sociedad,€15.00m,Spain,2020,"Jul 1, 2019"
"['Martín Merquelanz', 'Left Winger']",26,Real Sociedad,€2.00m,Spain,2020,"Aug 14, 2018"
"['Julen Lobete', 'Left Winger']",20,Real Sociedad,€1.50m,Spain,2020,
"['Portu', 'Right Winger']",29,Real Sociedad,€20.00m,Spain,2020,"Jul 1, 2019"
"['Adnan Januzaj', 'Right Winger']",26,Real Sociedad,€12.00m,Belgium,2020,"Jul 12, 2017"
"['Robert Navarro', 'Right Winger']",19,Real Sociedad,€3.00m,Spain,2020,"Aug 7, 2022"
"['Mikel Oyarzabal', 'Centre-Forward']",24,Real Sociedad,€70.00m,Spain,2020,"Jan 1, 2016"
"['Alexander Isak', 'Centre-Forward']",21,Real Sociedad,€40.00m,Sweden,2020,"Jul 1, 2019"
"['Willian José', 'Centre-Forward']",29,Real Sociedad,€18.00m,Brazil,2020,"Jul 31, 2016"
"['Carlos Fernández', 'Centre-Forward']",25,Real Sociedad,€9.00m,Spain,2020,"Jan 24, 2021"
"['Jon Bautista', 'Centre-Forward']",25,Real Sociedad,€1.20m,Spain,2020,"Feb 1, 2017"
"['Álex Remiro', 'Goalkeeper']",27,Real Sociedad,€22.00m,Spain,2021,"Jul 1, 2019"
"['Mathew Ryan', 'Goalkeeper']",30,Real Sociedad,€5.00m,Australia,2021,"Jul 12, 2021"
"['Gaizka Ayesa', 'Goalkeeper']",21,Real Sociedad,€1.00m,Spain,2021,
"['Unai Marrero', 'Goalkeeper']",20,Real Sociedad,€150k,Spain,2021,"Jul 1, 2023"
"['Robin Le Normand', 'Centre-Back']",25,Real Sociedad,€30.00m,Spain,2021,"Jul 1, 2019"
"['Aritz Elustondo', 'Centre-Back']",28,Real Sociedad,€20.00m,Spain,2021,"Jan 4, 2016"
"['Igor Zubeldia', 'Centre-Back']",25,Real Sociedad,€15.00m,Spain,2021,"Jul 1, 2017"
"['Jon Pacheco', 'Centre-Back']",21,Real Sociedad,€1.00m,Spain,2021,"Jul 1, 2022"
"['Aihen Muñoz', 'Left-Back']",24,Real Sociedad,€6.00m,Spain,2021,"Jul 1, 2019"
"['Diego Rico', 'Left-Back']",29,Real Sociedad,€3.00m,Spain,2021,"Jul 26, 2021"
"['Nacho Monreal', 'Left-Back']",36,Real Sociedad,€1.00m,Spain,2021,"Aug 31, 2019"
"['Jonathan Gómez', 'Left-Back']",18,Real Sociedad,€500k,United States,2021,
"['Cristo Romero', 'Left-Back']",22,Real Sociedad,€300k,Spain,2021,
"['Andoni Gorosabel', 'Right-Back']",25,Real Sociedad,€10.00m,Spain,2021,"Jul 1, 2018"
"['Joseba Zaldua', 'Right-Back']",30,Real Sociedad,€4.00m,Spain,2021,"Jul 1, 2014"
"['Martín Zubimendi', 'Defensive Midfield']",23,Real Sociedad,€30.00m,Spain,2021,"Sep 10, 2020"
"['Asier Illarramendi', 'Defensive Midfield']",32,Real Sociedad,€3.00m,Spain,2021,"Aug 26, 2015"
"['Urko González de Zárate', 'Defensive Midfield']",21,Real Sociedad,€1.00m,Spain,2021,"Jul 1, 2023"
"['Mikel Merino', 'Central Midfield']",26,Real Sociedad,€50.00m,Spain,2021,"Jul 12, 2018"
"['Ander Guevara', 'Central Midfield']",24,Real Sociedad,€5.00m,Spain,2021,"Jul 1, 2019"
"['Beñat Turrientes', 'Central Midfield']",20,Real Sociedad,€3.00m,Spain,2021,"Aug 7, 2022"
"['Jon Guridi', 'Central Midfield']",27,Real Sociedad,€1.20m,Spain,2021,"Jan 29, 2019"
"['Jon Ander Olasagasti', 'Central Midfield']",21,Real Sociedad,€1.00m,Spain,2021,"Jul 1, 2023"
"['Rafinha', 'Attacking Midfield']",29,Real Sociedad,€9.00m,Brazil,2021,"Jan 1, 2022"
"['David Silva', 'Attacking Midfield']",36,Real Sociedad,€4.00m,Spain,2021,"Aug 17, 2020"
"['Ander Barrenetxea', 'Left Winger']",20,Real Sociedad,€9.00m,Spain,2021,"Jul 1, 2019"
"['Julen Lobete', 'Left Winger']",21,Real Sociedad,€3.00m,Spain,2021,
"['Naïs Djouahra', 'Left Winger']",22,Real Sociedad,€1.50m,France,2021,
"['Adnan Januzaj', 'Right Winger']",27,Real Sociedad,€12.00m,Belgium,2021,"Jul 12, 2017"
"['Portu', 'Right Winger']",30,Real Sociedad,€9.00m,Spain,2021,"Jul 1, 2019"
"['Robert Navarro', 'Right Winger']",20,Real Sociedad,€3.00m,Spain,2021,"Aug 7, 2022"
"['Germán Valera', 'Right Winger']",20,Real Sociedad,€1.50m,Spain,2021,
"['Ander Martín', 'Right Winger']",21,Real Sociedad,€500k,Spain,2021,
"['Álex Sola', 'Right Winger']",23,Real Sociedad,€300k,Spain,2021,"Jul 1, 2022"
"['Mikel Oyarzabal', 'Centre-Forward']",25,Real Sociedad,€60.00m,Spain,2021,"Jan 1, 2016"
"['Alexander Isak', 'Centre-Forward']",22,Real Sociedad,€30.00m,Sweden,2021,"Jul 1, 2019"
"['Alexander Sørloth', 'Centre-Forward']",26,Real Sociedad,€10.00m,Norway,2021,"Aug 29, 2022"
"['Carlos Fernández', 'Centre-Forward']",26,Real Sociedad,€5.00m,Spain,2021,"Jan 24, 2021"
"['Jon Karrikaburu', 'Centre-Forward']",19,Real Sociedad,€5.00m,Spain,2021,"Jul 1, 2022"
"['Jon Bautista', 'Centre-Forward']",26,Real Sociedad,€1.00m,Spain,2021,"Feb 1, 2017"
"['Álex Remiro', 'Goalkeeper']",28,Real Sociedad,€25.00m,Spain,2022,"Jul 1, 2019"
"['Andoni Zubiaurre', 'Goalkeeper']",26,Real Sociedad,€300k,Spain,2022,"Jul 1, 2022"
"['Unai Marrero', 'Goalkeeper']",21,Real Sociedad,€250k,Spain,2022,"Jul 1, 2023"
"['Egoitz Arana', 'Goalkeeper']",21,Real Sociedad,€50k,Spain,2022,
"['Robin Le Normand', 'Centre-Back']",26,Real Sociedad,€35.00m,Spain,2022,"Jul 1, 2019"
"['Igor Zubeldia', 'Centre-Back']",26,Real Sociedad,€15.00m,Spain,2022,"Jul 1, 2017"
"['Aritz Elustondo', 'Centre-Back']",29,Real Sociedad,€14.00m,Spain,2022,"Jan 4, 2016"
"['Jon Pacheco', 'Centre-Back']",22,Real Sociedad,€6.00m,Spain,2022,"Jul 1, 2022"
"['Aritz Arambarri', 'Centre-Back']",25,Real Sociedad,€500k,Spain,2022,
"['Aihen Muñoz', 'Left-Back']",25,Real Sociedad,€6.00m,Spain,2022,"Jul 1, 2019"
"['Diego Rico', 'Left-Back']",30,Real Sociedad,€3.00m,Spain,2022,"Jul 26, 2021"
"['Jonathan Gómez', 'Left-Back']",19,Real Sociedad,€500k,United States,2022,
"['Andoni Gorosabel', 'Right-Back']",26,Real Sociedad,€9.00m,Spain,2022,"Jul 1, 2018"
"['Martín Zubimendi', 'Defensive Midfield']",24,Real Sociedad,€40.00m,Spain,2022,"Sep 10, 2020"
"['Asier Illarramendi', 'Defensive Midfield']",33,Real Sociedad,€2.00m,Spain,2022,"Aug 26, 2015"
"['Urko González de Zárate', 'Defensive Midfield']",22,Real Sociedad,€700k,Spain,2022,"Jul 1, 2023"
"['Mikel Merino', 'Central Midfield']",27,Real Sociedad,€50.00m,Spain,2022,"Jul 12, 2018"
"['Ander Guevara', 'Central Midfield']",25,Real Sociedad,€2.50m,Spain,2022,"Jul 1, 2019"
"['Beñat Turrientes', 'Central Midfield']",21,Real Sociedad,€2.00m,Spain,2022,"Aug 7, 2022"
"['Jon Ander Olasagasti', 'Central Midfield']",22,Real Sociedad,€1.00m,Spain,2022,"Jul 1, 2023"
"['Brais Méndez', 'Attacking Midfield']",26,Real Sociedad,€25.00m,Spain,2022,"Jul 6, 2022"
"['David Silva', 'Attacking Midfield']",37,Real Sociedad,€4.00m,Spain,2022,"Aug 17, 2020"
"['Pablo Marín', 'Attacking Midfield']",19,Real Sociedad,€1.00m,Spain,2022,"Jul 1, 2024"
"['Jon Magunazelaia', 'Attacking Midfield']",21,Real Sociedad,€700k,Spain,2022,"Jul 1, 2024"
"['Ander Barrenetxea', 'Left Winger']",21,Real Sociedad,€6.00m,Spain,2022,"Jul 1, 2019"
"['Martín Merquelanz', 'Left Winger']",28,Real Sociedad,€800k,Spain,2022,"Aug 14, 2018"
"['Takefusa Kubo', 'Right Winger']",22,Real Sociedad,€25.00m,Japan,2022,"Jul 19, 2022"
"['Mohamed-Ali Cho', 'Right Winger']",19,Real Sociedad,€12.00m,France,2022,"Jul 1, 2022"
"['Álex Sola', 'Right Winger']",24,Real Sociedad,€3.00m,Spain,2022,"Jul 1, 2022"
"['Robert Navarro', 'Right Winger']",21,Real Sociedad,€3.00m,Spain,2022,"Aug 7, 2022"
"['Ander Martín', 'Right Winger']",22,Real Sociedad,€400k,Spain,2022,
"['Alexander Isak', 'Centre-Forward']",23,Real Sociedad,€70.00m,Sweden,2022,"Jul 1, 2019"
"['Mikel Oyarzabal', 'Centre-Forward']",26,Real Sociedad,€40.00m,Spain,2022,"Jan 1, 2016"
"['Umar Sadiq', 'Centre-Forward']",26,Real Sociedad,€18.00m,Nigeria,2022,"Sep 1, 2022"
"['Alexander Sørloth', 'Centre-Forward']",27,Real Sociedad,€12.00m,Norway,2022,"Aug 29, 2022"
"['Jon Karrikaburu', 'Centre-Forward']",20,Real Sociedad,€5.00m,Spain,2022,"Jul 1, 2022"
"['Carlos Fernández', 'Centre-Forward']",27,Real Sociedad,€3.00m,Spain,2022,"Jan 24, 2021"
