Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Dodi Lukebakio,be BEL,FW,26.0,34.4,119,3.46,65,18,21,5,8,2,9,0.26,6,0,2,0,1,0,Matches
Carmona,es ESP,DF,22.0,32.7,54,1.65,38,6,3,2,3,2,1,0.03,1,0,0,0,0,0,Matches
Loïc Bade,fr FRA,DF,24.0,29.8,23,0.77,20,0,1,2,0,0,2,0.07,2,0,0,0,0,0,Matches
Ørjan Nyland,no NOR,GK,33.0,29.7,11,0.37,10,1,0,0,0,0,2,0.07,1,1,0,0,0,0,Matches
Nemanja Gudelj,rs SRB,"MF,DF",32.0,27.7,34,1.23,19,11,1,0,1,2,2,0.07,0,2,0,0,0,0,Matches
Adrià Pedrosa,es ESP,DF,26.0,25.5,47,1.84,31,8,4,3,1,0,4,0.16,4,0,0,0,0,0,Matches
Isaac Romero,es ESP,FW,24.0,24.0,44,1.84,30,1,5,3,5,0,7,0.29,4,0,1,2,0,0,Matches
Kike Salas,es ESP,DF,22.0,24.9,17,0.68,14,0,0,3,0,0,4,0.16,4,0,0,0,0,0,Matches
Lucien Agoume,fr FRA,MF,22.0,23.5,60,2.55,57,0,1,1,0,1,5,0.21,4,0,0,1,0,0,Matches
Djibril Sow,ch SUI,MF,27.0,22.9,64,2.79,58,0,0,1,3,2,4,0.17,4,0,0,0,0,0,Matches
Juanlu Sánchez,es ESP,"MF,DF",20.0,19.1,40,2.09,36,0,2,2,0,0,5,0.26,5,0,0,0,0,0,Matches
Saúl Ñíguez,es ESP,MF,29.0,17.3,50,2.9,38,0,0,8,1,3,8,0.46,7,0,0,1,0,0,Matches
Albert Sambi Lokonga,be BEL,MF,24.0,16.3,35,2.14,32,0,0,2,0,1,3,0.18,3,0,0,0,0,0,Matches
Peque,es ESP,"MF,FW",21.0,12.6,32,2.54,24,0,0,5,3,0,3,0.24,3,0,0,0,0,0,Matches
Chidera Ejuke,ng NGA,FW,26.0,10.7,45,4.19,28,5,9,0,3,0,2,0.19,2,0,0,0,0,0,Matches
Ruben Vargas,ch SUI,"FW,MF",25.0,7.5,31,4.16,16,5,4,5,1,0,3,0.4,3,0,0,0,0,0,Matches
Álvaro Fernández,es ESP,GK,26.0,8.3,3,0.36,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marcão,br BRA,DF,28.0,6.1,2,0.33,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tanguy Nianzou,fr FRA,DF,22.0,5.8,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kelechi Iheanacho,ng NGA,FW,27.0,4.4,12,2.7,8,0,1,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Suso,es ESP,"FW,MF",30.0,6.7,45,6.68,25,8,8,3,1,0,3,0.45,2,1,0,0,0,0,Matches
Álvaro Pascual,es ESP,FW,22.0,4.5,6,1.32,4,0,0,2,0,0,1,0.22,1,0,0,0,0,0,Matches
Jesús Navas,es ESP,"FW,MF",38.0,4.7,15,3.18,13,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Valentín Barco,ar ARG,"DF,FW",20.0,3.2,10,3.12,5,4,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Stanis Idumbo,be BEL,"FW,MF",19.0,3.2,7,2.21,7,0,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Ramón Martínez,es ESP,DF,21.0,2.9,6,2.07,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Ocampos,ar ARG,FW,30.0,1.9,7,3.6,7,0,0,0,0,0,2,1.03,2,0,0,0,0,0,Matches
Manu Bueno,es ESP,"MF,FW",20.0,1.6,1,0.64,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Akor Adams,ng NGA,FW,24.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gonzalo Montiel,ar ARG,"DF,MF",27.0,1.3,2,1.59,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Iturralde,es ESP,FW,21.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leandro Antonetti,pr PUR,FW,21.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Israel Domínguez,es ESP,FW,21.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateo Mejía,es ESP,FW,21.0,0.1,1,8.18,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Darío Fuentes,es ESP,DF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,38.0,824,21.68,600,69,60,51,31,13,71,1.87,59,4,3,4,1,0,
Opponent Total,,,26.8,38.0,731,19.24,531,69,41,38,42,10,97,2.55,72,4,5,6,10,0,
