Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nemanja Gudelj,rs SRB,"DF,MF",30.0,30.9,1445,1602,90.2,25141,8231,593,639,92.8,737,781,94.4,88,134,65.7,1,0.4,0.6,0.6,5,113,6,2,110,Matches
Óliver Torres,es ESP,"MF,FW",27.0,23.7,862,1104,78.1,14469,3748,462,529,87.3,272,342,79.5,98,150,65.3,1,3.3,3.3,-2.3,37,98,29,8,136,Matches
Yassine Bounou,ma MAR,GK,31.0,23.9,717,949,75.6,18725,13212,155,155,100.0,341,349,97.7,219,440,49.8,0,0.0,0.0,0.0,0,7,0,0,1,Matches
Jesús Navas,es ESP,"DF,FW",36.0,22.0,1000,1332,75.1,17177,4865,492,549,89.6,394,517,76.2,93,177,52.5,0,2.8,3.2,-2.8,26,60,46,14,99,Matches
Marcos Acuña,ar ARG,DF,30.0,21.2,970,1307,74.2,18018,6997,446,499,89.4,380,491,77.4,128,260,49.2,2,4.3,5.7,-2.3,38,71,38,19,102,Matches
Ivan Rakitić,hr CRO,MF,34.0,19.9,997,1241,80.3,17745,4758,490,558,87.8,354,411,86.1,120,203,59.1,3,1.9,2.7,1.1,28,113,23,5,148,Matches
Érik Lamela,ar ARG,"FW,MF",30.0,20.5,588,770,76.4,8118,1522,346,409,84.6,180,224,80.4,26,39,66.7,0,1.4,1.3,-1.4,24,38,21,1,69,Matches
Joan Jordán,es ESP,MF,28.0,17.7,963,1102,87.4,17030,4971,473,511,92.6,357,397,89.9,113,148,76.4,1,0.6,0.8,0.4,8,134,6,0,123,Matches
Fernando,br BRA,"MF,DF",35.0,17.5,768,873,88.0,13835,3514,330,365,90.4,352,376,93.6,73,102,71.6,1,0.7,0.4,0.3,9,52,3,0,67,Matches
