Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Dodi Lukebakio,be BEL,FW,26.0,34.4,1052,945,101,24,7,12,124,8,64,43,12,0,780,6,30,Matches
Carmona,es ESP,DF,22.0,32.7,1798,1432,361,48,1,14,41,313,0,0,0,0,1448,5,37,Matches
Loïc Bade,fr FRA,DF,24.0,29.8,1822,1752,62,48,1,18,8,6,0,0,0,0,1562,8,9,Matches
Ørjan Nyland,no NOR,GK,33.0,29.7,1007,778,224,57,0,0,0,1,0,0,0,0,637,5,0,Matches
Nemanja Gudelj,rs SRB,"MF,DF",32.0,27.7,1371,1260,106,62,1,9,31,0,23,15,3,0,1192,5,6,Matches
Adrià Pedrosa,es ESP,DF,26.0,25.5,1196,940,250,37,1,9,97,203,10,6,3,0,886,6,34,Matches
Isaac Romero,es ESP,FW,24.0,24.0,441,388,48,0,1,1,18,3,0,0,0,0,310,5,17,Matches
Kike Salas,es ESP,DF,22.0,24.9,1412,1280,129,47,1,13,9,69,0,0,0,0,1109,3,16,Matches
Lucien Agoume,fr FRA,MF,22.0,23.5,1236,1190,38,32,6,9,18,6,0,0,0,0,1007,8,16,Matches
Djibril Sow,ch SUI,MF,27.0,22.9,994,970,22,17,0,5,9,1,2,0,0,0,883,2,11,Matches
Juanlu Sánchez,es ESP,"MF,DF",20.0,19.1,697,635,60,2,0,2,40,55,0,0,0,0,568,2,31,Matches
Saúl Ñíguez,es ESP,MF,29.0,17.3,659,644,13,6,3,4,19,3,1,1,0,0,516,2,15,Matches
Albert Sambi Lokonga,be BEL,MF,24.0,16.3,894,867,26,20,5,10,2,5,0,0,0,0,799,1,5,Matches
Peque,es ESP,"MF,FW",21.0,12.6,349,329,20,0,5,0,10,0,4,2,0,0,279,0,13,Matches
Chidera Ejuke,ng NGA,FW,26.0,10.7,445,409,35,0,2,8,22,12,23,11,1,0,363,1,17,Matches
Ruben Vargas,ch SUI,"FW,MF",25.0,7.5,247,219,28,3,0,0,37,9,16,12,2,0,166,0,13,Matches
Álvaro Fernández,es ESP,GK,26.0,8.3,324,258,65,19,0,0,0,0,0,0,0,0,212,1,0,Matches
Marcão,br BRA,DF,28.0,6.1,315,296,18,10,0,0,0,0,0,0,0,0,284,1,4,Matches
Tanguy Nianzou,fr FRA,DF,22.0,5.8,314,300,14,11,0,1,0,0,0,0,0,0,285,0,0,Matches
Kelechi Iheanacho,ng NGA,FW,27.0,4.4,80,76,4,0,0,2,0,1,0,0,0,0,60,0,1,Matches
Suso,es ESP,"FW,MF",30.0,6.7,385,333,49,11,2,5,59,5,30,18,7,1,285,3,11,Matches
Álvaro Pascual,es ESP,FW,22.0,4.5,74,67,6,0,1,0,3,0,0,0,0,0,48,1,6,Matches
Jesús Navas,es ESP,"FW,MF",38.0,4.7,262,237,24,4,0,4,33,19,1,0,0,0,203,1,7,Matches
Valentín Barco,ar ARG,"DF,FW",20.0,3.2,191,141,48,9,2,2,24,30,9,0,5,0,139,2,5,Matches
Stanis Idumbo,be BEL,"FW,MF",19.0,3.2,76,72,3,0,1,0,0,3,0,0,0,0,63,1,3,Matches
Ramón Martínez,es ESP,DF,21.0,2.9,130,120,10,2,0,0,0,8,0,0,0,0,119,0,0,Matches
Lucas Ocampos,ar ARG,FW,30.0,1.9,91,85,5,0,0,2,4,4,1,1,0,0,65,1,4,Matches
Manu Bueno,es ESP,"MF,FW",20.0,1.6,74,72,2,2,0,0,1,0,0,0,0,0,67,0,0,Matches
Akor Adams,ng NGA,FW,24.0,1.5,27,24,3,0,0,0,0,0,0,0,0,0,20,0,0,Matches
Gonzalo Montiel,ar ARG,"DF,MF",27.0,1.3,78,64,14,2,0,0,3,11,1,0,0,0,68,0,1,Matches
Diego Iturralde,es ESP,FW,21.0,0.4,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,Matches
Leandro Antonetti,pr PUR,FW,21.0,0.3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Israel Domínguez,es ESP,FW,21.0,0.2,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches
Mateo Mejía,es ESP,FW,21.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Darío Fuentes,es ESP,DF,21.0,0.1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,38.0,18057,16196,1791,473,40,130,612,778,185,109,33,1,14432,70,314,
Opponent Total,,,26.8,38.0,17994,16003,1929,541,62,132,661,828,165,66,63,1,14301,62,329,
