Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Nemanja Gudelj,rs SRB,"DF,MF",30.0,30.9,3,38,9,23.7,1.23,0.29,0.08,0.33,25.8,3,0,0,1.7,1.7,0.05,1.3,1.3,Matches
Óliver Torres,es ESP,"MF,FW",27.0,23.7,3,22,7,31.8,0.93,0.29,0.14,0.43,17.1,0,0,0,2.6,2.6,0.12,0.4,0.4,Matches
Yassine Bounou,ma MAR,GK,31.0,23.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jesús Navas,es ESP,"DF,FW",36.0,22.0,0,10,3,30.0,0.45,0.14,0.0,0.0,24.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Marcos Acuña,ar ARG,DF,30.0,21.2,3,21,5,23.8,0.99,0.24,0.14,0.6,25.6,1,0,0,1.2,1.2,0.06,1.8,1.8,Matches
Ivan Rakitić,hr CRO,MF,34.0,19.9,1,29,8,27.6,1.46,0.4,0.0,0.0,27.3,5,1,2,3.3,1.7,0.06,-2.3,-1.7,Matches
Érik Lamela,ar ARG,"FW,MF",30.0,20.5,6,47,23,48.9,2.29,1.12,0.13,0.26,15.0,2,0,0,5.3,5.3,0.11,0.7,0.7,Matches
Joan Jordán,es ESP,MF,28.0,17.7,0,13,3,23.1,0.73,0.17,0.0,0.0,21.4,3,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Fernando,br BRA,"MF,DF",35.0,17.5,0,6,0,0.0,0.34,0.0,0.0,,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Youssef En-Nesyri,ma MAR,FW,25.0,18.5,8,60,23,38.3,3.25,1.25,0.13,0.35,11.6,0,0,0,8.1,8.1,0.14,-0.1,-0.1,Matches
Gonzalo Montiel,ar ARG,DF,25.0,16.9,0,8,1,12.5,0.47,0.06,0.0,0.0,13.7,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Loïc Bade,fr FRA,DF,22.0,16.1,1,4,2,50.0,0.25,0.12,0.25,0.5,7.8,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
Tanguy Nianzou,fr FRA,DF,20.0,15.2,1,6,1,16.7,0.4,0.07,0.17,1.0,12.0,0,0,0,0.5,0.5,0.08,0.5,0.5,Matches
Rafa Mir,es ESP,FW,25.0,14.4,6,50,15,30.0,3.47,1.04,0.12,0.4,12.5,0,0,0,7.4,7.4,0.15,-1.4,-1.4,Matches
Alex Telles,br BRA,DF,29.0,15.9,0,12,1,8.3,0.76,0.06,0.0,0.0,22.5,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Karim Rekik,nl NED,DF,27.0,13.1,1,8,1,12.5,0.61,0.08,0.13,1.0,15.6,0,0,0,0.8,0.8,0.1,0.2,0.2,Matches
Pape Gueye,sn SEN,MF,23.0,13.0,1,20,5,25.0,1.54,0.38,0.05,0.2,19.2,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
Marko Dmitrović,rs SRB,GK,30.0,14.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Ocampos,ar ARG,"FW,MF",28.0,12.9,4,27,6,22.2,2.09,0.46,0.04,0.17,16.4,0,3,3,4.5,2.1,0.08,-0.5,-1.1,Matches
Papu Gómez,ar ARG,"FW,MF",34.0,11.8,1,22,7,31.8,1.86,0.59,0.05,0.14,21.4,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Suso,es ESP,"MF,FW",28.0,11.8,2,24,9,37.5,2.03,0.76,0.08,0.22,24.1,2,0,0,1.1,1.1,0.05,0.9,0.9,Matches
Bryan Gil,es ESP,"FW,DF",21.0,10.2,2,17,4,23.5,1.67,0.39,0.12,0.5,13.7,0,0,0,2.9,2.9,0.17,-0.9,-0.9,Matches
Isco,es ESP,"MF,FW",30.0,8.9,0,4,1,25.0,0.45,0.11,0.0,0.0,15.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Carmona,es ESP,DF,20.0,5.9,2,5,2,40.0,0.85,0.34,0.4,1.0,14.3,0,0,0,0.8,0.8,0.17,1.2,1.2,Matches
Marcão,br BRA,DF,26.0,4.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kike Salas,es ESP,DF,20.0,4.1,1,3,1,33.3,0.73,0.24,0.33,1.0,8.7,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
Thomas Delaney,dk DEN,MF,30.0,3.4,0,3,1,33.3,0.87,0.29,0.0,0.0,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Kasper Dolberg,dk DEN,FW,24.0,2.2,0,2,1,50.0,0.91,0.46,0.0,0.0,17.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Manu Bueno,es ESP,MF,18.0,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jesús Corona,mx MEX,FW,29.0,1.2,1,1,1,100.0,0.81,0.81,1.0,1.0,11.8,0,0,0,0.5,0.5,0.46,0.5,0.5,Matches
Adnan Januzaj,be BEL,FW,27.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Diego Iturralde,es ESP,DF,19.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Iván Romero,es ESP,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Carlos Álvarez,es ESP,MF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Ortiz,es ESP,MF,21.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.7,38.0,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6,
Opponent Total,,,27.3,38.0,51,508,158,31.1,13.37,4.16,0.1,0.31,18.5,19,2,3,54.2,51.8,0.11,-3.2,-2.8,
