Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nemanja Gudelj,rs SRB,"DF,MF",30.0,34,31,2779.0,30.9,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.7,1.7,0.4,2.1,29.0,110.0,6.0,0.1,0.03,0.13,0.1,0.13,0.06,0.01,0.07,0.06,0.07,Matches
Óliver Torres,es ESP,"MF,FW",27.0,32,27,2137.0,23.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.6,2.6,3.3,5.9,38.0,136.0,156.0,0.13,0.04,0.17,0.13,0.17,0.11,0.14,0.25,0.11,0.25,Matches
Yassine Bounou,ma MAR,GK,31.0,25,25,2151.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jesús Navas,es ESP,"DF,FW",36.0,32,21,1981.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,2.8,3.1,46.0,99.0,207.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.14,0.01,0.14,Matches
Marcos Acuña,ar ARG,DF,30.0,30,21,1912.0,21.2,3.0,2.0,5.0,3.0,0.0,0.0,10.0,3.0,1.2,1.2,4.3,5.5,49.0,102.0,94.0,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26,Matches
Ivan Rakitić,hr CRO,MF,34.0,31,21,1788.0,19.9,1.0,3.0,4.0,0.0,1.0,2.0,3.0,1.0,3.3,1.7,1.9,3.7,42.0,148.0,84.0,0.05,0.15,0.2,0.0,0.15,0.17,0.1,0.26,0.09,0.18,Matches
Érik Lamela,ar ARG,"FW,MF",30.0,32,20,1844.0,20.5,6.0,0.0,6.0,6.0,0.0,0.0,10.0,1.0,5.3,5.3,1.4,6.7,66.0,69.0,162.0,0.29,0.0,0.29,0.29,0.29,0.26,0.07,0.33,0.26,0.33,Matches
Joan Jordán,es ESP,MF,28.0,23,19,1592.0,17.7,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,0.6,1.5,9.0,123.0,22.0,0.0,0.06,0.06,0.0,0.06,0.05,0.03,0.08,0.05,0.08,Matches
Fernando,br BRA,"MF,DF",35.0,22,19,1577.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches
Youssef En-Nesyri,ma MAR,FW,25.0,31,17,1661.0,18.5,8.0,1.0,9.0,8.0,0.0,0.0,4.0,0.0,8.1,8.1,1.1,9.2,16.0,12.0,71.0,0.43,0.05,0.49,0.43,0.49,0.44,0.06,0.5,0.44,0.5,Matches
Gonzalo Montiel,ar ARG,DF,25.0,28,17,1524.0,16.9,0.0,3.0,3.0,0.0,0.0,0.0,8.0,1.0,0.8,0.8,2.1,2.9,34.0,57.0,87.0,0.0,0.18,0.18,0.0,0.18,0.04,0.13,0.17,0.04,0.17,Matches
Loïc Bade,fr FRA,DF,22.0,19,16,1449.0,16.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,7.0,42.0,2.0,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.02,0.02,0.02,Matches
