Player,Age,Current club,Market value,Nat.,Season,Contract
"['Bono', 'Goalkeeper']",30,Sevilla FC,€18.00m,Morocco,2020,"Sep 4, 2020"
"['Tomáš Vaclík', 'Goalkeeper']",32,Sevilla FC,€4.00m,Czech Republic,2020,"Jul 4, 2018"
"['Javi Díaz', 'Goalkeeper']",24,Sevilla FC,€400k,Spain,2020,"Jul 1, 2019"
"['Alfonso Pastor', 'Goalkeeper']",20,Sevilla FC,€250k,Spain,2020,"Jul 1, 2023"
"['Adrián González', 'Goalkeeper']",21,Sevilla FC,€50k,Spain,2020,
"['Diego Carlos', 'Centre-Back']",28,Sevilla FC,€45.00m,Brazil,2020,"Jul 1, 2019"
"['Sergi Gómez', 'Centre-Back']",29,Sevilla FC,€3.00m,Spain,2020,"Jul 25, 2018"
"['Karim Rekik', 'Centre-Back']",26,Sevilla FC,€3.00m,Netherlands,2020,"Oct 5, 2020"
"['Joris Gnagnon', 'Centre-Back']",24,Sevilla FC,€1.50m,France,2020,"Jul 25, 2018"
"['Kike Ríos', 'Centre-Back']",21,Sevilla FC,€50k,Spain,2020,
"['Marcos Acuña', 'Left-Back']",29,Sevilla FC,€15.00m,Argentina,2020,"Sep 14, 2020"
"['Sergio Escudero', 'Left-Back']",31,Sevilla FC,€2.50m,Spain,2020,"Jul 3, 2015"
"['Javi Vázquez', 'Left-Back']",20,Sevilla FC,€150k,Spain,2020,
"['Pablo Pérez', 'Left-Back']",19,Sevilla FC,€100k,Spain,2020,
"['Jules Koundé', 'Right-Back']",22,Sevilla FC,€60.00m,France,2020,"Jul 3, 2019"
"['Álex Pozo', 'Right-Back']",22,Sevilla FC,€4.00m,Spain,2020,"Jul 1, 2018"
"['Jesús Navas', 'Right-Back']",35,Sevilla FC,€3.00m,Spain,2020,"Aug 1, 2017"
"['Juanlu Sánchez', 'Right-Back']",17,Sevilla FC,€400k,Spain,2020,"Jul 1, 2022"
"['Nemanja Gudelj', 'Defensive Midfield']",29,Sevilla FC,€6.00m,Serbia,2020,"Jul 23, 2019"
