Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Cristhian Mosquera,es ESP,DF,20.0,36.9,1858,2053,90.5,32827,11556,766,812,94.3,947,1009,93.9,126,185,68.1,0,0.0,0.3,0.0,0,118,1,0,123,Matches
Diego López,es ESP,"MF,FW",22.0,30.4,680,943,72.1,10541,2502,373,457,81.6,251,320,78.4,37,61,60.7,5,5.0,4.7,0.0,38,43,34,9,85,Matches
Giorgi Mamardashvili,ge GEO,GK,23.0,34.0,732,1080,67.8,20581,15111,131,131,100.0,393,398,98.7,208,548,38.0,0,0.1,0.1,-0.1,2,11,1,0,0,Matches
César Tárrega,es ESP,DF,22.0,33.6,1428,1692,84.4,27168,9416,477,512,93.2,817,892,91.6,127,247,51.4,0,0.1,0.2,-0.1,3,79,1,0,79,Matches
Luis Rioja,es ESP,"MF,FW",30.0,31.5,821,1212,67.7,13662,3934,427,506,84.4,307,419,73.3,68,181,37.6,3,4.5,5.5,-1.5,35,42,60,25,103,Matches
Javier Guerra,es ESP,MF,21.0,28.7,1023,1314,77.9,17160,5349,519,594,87.4,397,466,85.2,87,160,54.4,3,3.2,3.2,-0.2,23,119,23,4,137,Matches
Enzo Barrenechea,ar ARG,MF,23.0,24.3,1170,1352,86.5,20141,5421,554,607,91.3,490,541,90.6,105,153,68.6,2,0.9,1.1,1.1,15,143,7,0,126,Matches
Dimitri Foulquier,fr FRA,DF,31.0,25.5,1007,1276,78.9,15790,5913,554,592,93.6,396,499,79.4,46,116,39.7,1,1.4,2.0,-0.4,10,77,15,6,97,Matches
Hugo Duro,es ESP,FW,24.0,24.1,296,428,69.2,4100,492,172,223,77.1,96,132,72.7,11,21,52.4,2,1.3,0.5,0.7,14,18,3,0,28,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",24.0,22.0,798,947,84.3,13067,3738,415,444,93.5,277,318,87.1,77,123,62.6,4,3.2,4.9,0.8,43,96,24,5,142,Matches
José Luis Gayà,es ESP,DF,29.0,20.0,775,996,77.8,13655,4068,355,396,89.6,339,404,83.9,73,153,47.7,1,2.6,3.2,-1.6,24,44,31,23,59,Matches
José Luis García Vayá,es ESP,MF,25.0,19.4,970,1237,78.4,18326,6217,418,464,90.1,394,472,83.5,135,247,54.7,2,2.1,2.6,-0.1,32,163,6,3,142,Matches
Jesus Vazquez,es ESP,DF,21.0,10.2,345,447,77.2,4732,1323,216,237,91.1,115,150,76.7,8,27,29.6,0,0.6,0.6,-0.6,3,18,3,2,21,Matches
Yarek Gasiorowski,es ESP,DF,19.0,10.5,387,482,80.3,7508,2627,126,144,87.5,217,247,87.9,42,80,52.5,0,0.1,0.3,-0.1,3,43,3,1,38,Matches
Umar Sadiq,ng NGA,FW,27.0,9.2,125,173,72.3,1721,228,79,103,76.7,38,48,79.2,3,5,60.0,0,0.7,0.4,-0.7,6,4,0,0,7,Matches
Thierry Correia,pt POR,DF,25.0,8.5,330,441,74.8,5750,2179,160,183,87.4,137,172,79.7,31,67,46.3,0,0.3,0.8,-0.3,5,23,12,3,44,Matches
Mouctar Diakhaby,gn GUI,DF,27.0,7.3,282,336,83.9,4919,1857,118,126,93.7,143,157,91.1,19,44,43.2,0,0.0,0.1,0.0,1,7,2,0,14,Matches
Rafa Mir,es ESP,"FW,MF",27.0,8.4,144,200,72.0,2224,401,76,94,80.9,51,63,81.0,11,21,52.4,2,0.7,0.5,1.3,4,15,4,2,20,Matches
Dani Gómez,es ESP,FW,26.0,5.9,62,83,74.7,741,120,44,50,88.0,15,23,65.2,0,0,,0,0.0,0.1,0.0,1,3,2,0,6,Matches
Francisco Perez,es ESP,"FW,MF",21.0,6.3,169,230,73.5,2529,533,108,119,90.8,43,62,69.4,13,24,54.2,0,2.6,1.5,-2.6,7,7,6,2,13,Matches
Hugo Guillamón,es ESP,MF,24.0,4.0,154,188,81.9,2607,748,75,86,87.2,64,75,85.3,13,23,56.5,0,0.0,0.3,0.0,2,11,4,1,15,Matches
Stole Dimitrievski,mk MKD,GK,30.0,4.0,68,133,51.1,2105,1516,6,6,100.0,35,37,94.6,27,90,30.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Sergi Canós,es ESP,"MF,FW",27.0,4.1,92,158,58.2,1502,418,51,63,81.0,33,53,62.3,6,23,26.1,1,0.2,0.2,0.8,4,9,3,3,9,Matches
Ivan Jaime Pajuelo,es ESP,MF,23.0,3.3,80,106,75.5,1220,391,47,53,88.7,28,35,80.0,3,8,37.5,0,0.3,0.3,-0.3,4,5,8,1,15,Matches
Germán Valera,es ESP,MF,22.0,1.6,34,47,72.3,474,50,20,24,83.3,13,14,92.9,1,7,14.3,0,0.0,0.0,0.0,1,3,0,0,2,Matches
Max Aarons,eng ENG,"DF,MF",24.0,1.3,47,66,71.2,705,190,24,30,80.0,21,30,70.0,1,4,25.0,0,0.0,0.0,0.0,1,2,0,0,6,Matches
Maximiliano Caufriez,be BEL,DF,27.0,1.0,11,14,78.6,219,77,3,3,100.0,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Rodrigo Abajas,es ESP,DF,21.0,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Martín Tejón,es ESP,"MF,DF",20.0,0.5,20,26,76.9,328,95,10,12,83.3,8,10,80.0,1,2,50.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches
Iker Córdoba,es ESP,DF,18.0,0.2,9,11,81.8,169,91,3,5,60.0,5,5,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,1,1,1,1,Matches
David Otorbi,es ESP,MF,16.0,0.2,2,4,50.0,27,4,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Alberto Marí,es ESP,FW,23.0,0.1,2,4,50.0,33,7,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Squad Total,,,24.7,38.0,13938,17708,78.7,246799,86682,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,26,30.0,33.4,-4.0,283,1109,254,91,1340,
Opponent Total,,,26.8,38.0,15307,18992,80.6,273196,96683,6744,7559,89.2,6698,7661,87.4,1513,2779,54.4,38,37.2,37.8,0.8,321,1184,291,92,1419,
