Player,Age,Current club,Market value,Nat.,Season,Contract
"['Jasper Cillessen', 'Goalkeeper']",32,Valencia CF,€5.00m,Netherlands,2020,"Jul 1, 2019"
"['Jaume Doménech', 'Goalkeeper']",30,Valencia CF,€4.00m,Spain,2020,"Jul 1, 2015"
"['Cristian Rivero', 'Goalkeeper']",23,Valencia CF,€300k,Spain,2020,"Aug 1, 2020"
"['Unai Etxebarria', 'Goalkeeper']",24,Valencia CF,€150k,Spain,2020,
"['Gabriel Paulista', 'Centre-Back']",30,Valencia CF,€15.00m,Brazil,2020,"Aug 18, 2017"
"['Mouctar Diakhaby', 'Centre-Back']",24,Valencia CF,€10.00m,Guinea,2020,"Jul 1, 2018"
"['Ferro', 'Centre-Back']",24,Valencia CF,€5.00m,Portugal,2020,"Jan 31, 2021"
"['Eliaquim Mangala', 'Centre-Back']",30,Valencia CF,€2.50m,France,2020,"Aug 12, 2019"
"['Cristiano Piccini', 'Centre-Back']",28,Valencia CF,€2.20m,Italy,2020,"Jul 23, 2018"
"['Guillem Molina', 'Centre-Back']",21,Valencia CF,€600k,Spain,2020,
"['Kevin Sibille', 'Centre-Back']",22,Valencia CF,€250k,Argentina,2020,
"['José Gayà', 'Left-Back']",26,Valencia CF,€35.00m,Spain,2020,"Jul 1, 2014"
"['Toni Lato', 'Left-Back']",23,Valencia CF,€2.50m,Spain,2020,"Jul 1, 2017"
"['Álex Centelles', 'Left-Back']",21,Valencia CF,€2.00m,Spain,2020,"Jul 1, 2019"
"['Jesús Vázquez', 'Left-Back']",18,Valencia CF,€250k,Spain,2020,"Jan 1, 2022"
"['Thierry Correia', 'Right-Back']",22,Valencia CF,€6.00m,Portugal,2020,"Sep 2, 2019"
"['Geoffrey Kondogbia', 'Defensive Midfield']",28,Valencia CF,€15.00m,Central African Republic,2020,"Jul 1, 2018"
"['Uroš Račić', 'Defensive Midfield']",23,Valencia CF,€10.00m,Serbia,2020,"Jul 1, 2018"
"['Hugo Guillamón', 'Defensive Midfield']",21,Valencia CF,€7.50m,Spain,2020,"Jul 1, 2020"
"['Christian Oliva', 'Defensive Midfield']",25,Valencia CF,€4.00m,Uruguay,2020,"Feb 1, 2021"
"['Carlos Soler', 'Central Midfield']",24,Valencia CF,€40.00m,Spain,2020,"Jan 1, 2017"
"['Yunus Musah', 'Central Midfield']",18,Valencia CF,€15.00m,United States,2020,"Aug 1, 2020"
"['Daniel Wass', 'Central Midfield']",32,Valencia CF,€7.00m,Denmark,2020,"Jul 10, 2018"
"['Koba Koindredi', 'Central Midfield']",19,Valencia CF,€600k,France,2020,"Jan 31, 2022"
"['Vicente Esquerdo', 'Attacking Midfield']",22,Valencia CF,€1.00m,Spain,2020,
"['Gonçalo Guedes', 'Left Winger']",24,Valencia CF,€25.00m,Portugal,2020,"Aug 27, 2018"
"['Denis Cheryshev', 'Left Winger']",30,Valencia CF,€3.50m,Russia,2020,"Jul 1, 2019"
