Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Sergi Cardona,es ESP,DF,25.0,32.7,71,48,44,20,7,49,79,62.0,30,52,7,45,40,111,122,1,Matches
Alex Baena,es ESP,"MF,FW",23.0,28.8,28,15,6,14,8,10,39,25.6,29,29,2,27,22,50,22,2,Matches
Santi Comesaña,es ESP,MF,27.0,28.4,85,49,44,32,9,42,76,55.3,34,56,22,34,19,104,56,1,Matches
Logan Costa,cv CPV,DF,23.0,28.7,38,21,25,12,1,24,29,82.8,5,25,14,11,21,59,115,2,Matches
Kiko Femenía,es ESP,DF,33.0,24.7,50,34,34,14,2,33,57,57.9,24,21,10,11,40,90,62,3,Matches
Daniel Parejo,es ESP,MF,35.0,25.3,52,40,27,20,5,29,54,53.7,25,24,7,17,24,76,40,1,Matches
Pape Gueye,sn SEN,MF,25.0,24.7,54,26,23,23,8,20,29,69.0,9,31,13,18,27,81,53,2,Matches
Thierno Barry,fr FRA,FW,21.0,25.8,11,8,2,5,4,4,10,40.0,6,15,2,13,0,11,19,0,Matches
Yeremi Pino,es ESP,"MF,FW",21.0,21.5,60,32,20,32,8,32,65,49.2,33,38,3,35,8,68,18,0,Matches
Ayoze Pérez,es ESP,FW,31.0,21.9,27,14,5,18,4,6,24,25.0,18,17,0,17,8,35,15,0,Matches
Diego Conde,es ESP,GK,25.0,21.8,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,9,2,Matches
Juan Foyth,ar ARG,DF,26.0,16.9,25,15,15,6,4,11,16,68.8,5,26,17,9,19,44,119,3,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,23.0,16.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,Matches
Nicolas Pépé,ci CIV,"FW,MF",29.0,16.7,22,9,12,6,4,6,17,35.3,11,12,1,11,5,27,12,0,Matches
Raúl Albiol,es ESP,DF,38.0,13.2,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,Matches
Willy Kambwala,fr FRA,DF,19.0,12.4,17,12,14,2,1,10,12,83.3,2,10,7,3,10,27,56,1,Matches
Pau Navarro,es ESP,DF,19.0,10.2,23,17,15,6,2,19,39,48.7,20,13,6,7,4,27,41,0,Matches
Eric Bailly,ci CIV,DF,30.0,6.9,12,4,6,6,0,3,4,75.0,1,12,6,6,6,18,29,0,Matches
Denis Suárez,es ESP,MF,30.0,6.8,12,8,7,2,3,4,10,40.0,6,4,1,3,3,15,3,0,Matches
Ilias Akhomach,ma MAR,"MF,FW",20.0,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,Matches
Gerard Moreno,es ESP,FW,32.0,8.0,7,4,3,2,2,3,12,25.0,9,0,0,0,2,9,8,0,Matches
Alfonso Pedraza,es ESP,"DF,MF",28.0,5.1,3,2,2,0,1,2,4,50.0,2,3,1,2,6,9,16,0,Matches
Tajon Buchanan,ca CAN,MF,25.0,4.6,10,5,6,4,0,6,9,66.7,3,6,0,6,1,11,1,0,Matches
Arnaut Danjuma,nl NED,FW,27.0,2.2,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,Matches
Juan Bernat,es ESP,"DF,MF",31.0,2.4,9,7,7,1,1,4,5,80.0,1,3,1,2,1,10,4,0,Matches
Ramón Terrats,es ESP,"MF,FW",23.0,1.5,3,3,1,2,0,2,4,50.0,2,3,1,2,2,5,3,0,Matches
Pau Cabanes,es ESP,"MF,FW",19.0,1.8,4,4,0,3,1,3,4,75.0,1,5,0,5,3,7,2,1,Matches
Karl Etta,cm CMR,"MF,FW",20.0,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
Arnau Solà,es ESP,MF,21.0,0.1,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,Matches
Daniel Requena,es ESP,MF,20.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Thiago Ojeda,ar ARG,MF,21.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.7,38.0,649,396,333,236,80,336,628,53.5,292,426,131,295,281,930,922,21,
Opponent Total,,,26.8,38.0,567,349,283,189,95,278,557,49.9,279,399,120,279,297,864,821,22,
