Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Daniel Parejo,es ESP,MF,33.0,36.5,2569,2249,310,178,7,29,144,5,127,57,34,4,2224,10,29,Matches
Pau Torres,es ESP,DF,25.0,33.9,2179,2034,141,79,8,49,4,8,0,0,0,0,1855,4,15,Matches
Yeremi Pino,es ESP,"FW,MF",19.0,27.2,845,818,16,1,5,2,20,5,5,0,0,0,651,11,41,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23.0,26.0,908,873,30,3,9,4,28,15,12,3,0,0,697,5,32,Matches
Raúl Albiol,es ESP,DF,36.0,23.5,1472,1428,42,34,0,15,1,0,0,0,0,0,1303,2,7,Matches
Pepe Reina,es ESP,GK,39.0,22.0,855,678,176,58,0,2,0,0,0,0,0,0,685,1,1,Matches
Juan Foyth,ar ARG,DF,24.0,21.8,1276,1058,211,41,4,14,10,170,0,0,0,0,1116,7,13,Matches
Étienne Capoue,fr FRA,MF,34.0,21.7,1043,1016,27,23,6,6,9,3,0,0,0,0,915,0,15,Matches
Alfonso Pedraza,es ESP,DF,26.0,18.1,832,673,158,8,0,2,76,148,2,1,0,0,641,1,32,Matches
Alex Baena,es ESP,"MF,FW",21.0,21.6,859,831,23,8,21,3,26,2,8,6,0,0,681,5,30,Matches
Nicolas Jackson,sn SEN,FW,21.0,17.8,325,299,25,0,0,0,5,1,0,0,0,0,246,1,10,Matches
Aïssa Mandi,dz ALG,DF,30.0,16.2,911,857,52,24,1,12,2,24,0,0,0,0,826,2,4,Matches
Alberto Moreno,es ESP,DF,30.0,14.4,730,617,107,15,1,4,36,85,7,3,3,0,605,6,13,Matches
Gerónimo Rulli,ar ARG,GK,30.0,14.0,543,419,124,32,0,0,0,0,0,0,0,0,464,0,2,Matches
Gerard Moreno,es ESP,FW,30.0,13.7,483,458,18,0,5,6,8,3,0,0,0,0,353,7,18,Matches
Giovani Lo Celso,ar ARG,"MF,FW",26.0,12.5,694,643,47,8,11,17,31,7,27,17,0,0,578,4,14,Matches
Kiko Femenía,es ESP,DF,31.0,12.6,778,661,114,16,0,1,31,97,1,0,0,0,667,3,14,Matches
José Luis Morales,es ESP,"FW,MF",35.0,13.5,258,237,18,0,2,1,13,4,0,0,0,0,181,3,14,Matches
Ramón Terrats,es ESP,MF,21.0,9.1,425,399,21,5,3,6,16,3,13,7,0,0,356,5,7,Matches
Francis Coquelin,fr FRA,MF,31.0,8.3,311,300,7,7,1,3,5,0,0,0,0,0,265,4,5,Matches
Manu Trigueros,es ESP,MF,30.0,9.2,534,519,14,10,1,1,4,2,2,1,0,0,475,1,7,Matches
Arnaut Danjuma,nl NED,FW,25.0,5.3,95,83,12,1,0,0,6,2,2,0,0,0,70,0,1,Matches
Johan Mojica,co COL,DF,29.0,7.1,395,329,63,8,0,0,40,51,4,1,2,0,318,3,16,Matches
Jorge Cuenca,es ESP,DF,22.0,5.6,384,366,17,9,1,7,1,2,0,0,0,0,334,1,3,Matches
Filip Jørgensen,dk DEN,GK,20.0,2.0,55,41,14,3,0,0,0,0,0,0,0,0,49,0,0,Matches
Manu Morlanes,es ESP,MF,23.0,1.8,46,42,3,3,0,0,0,0,0,0,0,0,36,1,2,Matches
Haissem Hassan,fr FRA,"FW,MF",20.0,0.6,20,20,0,0,0,1,1,0,0,0,0,0,15,0,0,Matches
Mamadou Fall,sn SEN,DF,19.0,0.3,16,11,5,0,0,1,1,5,0,0,0,0,13,0,1,Matches
Fernando Niño,es ESP,"MF,FW",21.0,0.2,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Pascu,es ESP,"DF,FW",19.0,0.1,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Diego Collado,es ESP,FW,21.0,0.1,7,7,0,0,0,0,2,0,0,0,0,0,5,0,1,Matches
Alberto Del Moral,es ESP,MF,22.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,38.0,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,
Opponent Total,,,27.2,38.0,15331,13541,1682,508,50,138,708,596,182,67,69,0,12047,108,304,
