Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Sergi Cardona,es ESP,DF,25.0,32.7,1842,131,711,632,506,63,1842,30,10,33.3,16,53.3,813,3721,2057,52,34,10,24,11,952,198,Matches
Alex Baena,es ESP,"MF,FW",23.0,28.8,1569,23,209,634,762,89,1568,56,21,37.5,27,48.2,895,5493,3201,91,93,15,42,32,1044,154,Matches
Santi Comesaña,es ESP,MF,27.0,28.4,1734,110,453,958,333,64,1734,34,18,52.9,14,41.2,903,4242,2451,39,30,6,35,44,1149,58,Matches
Logan Costa,cv CPV,DF,23.0,28.7,1785,295,965,758,69,12,1785,2,0,0.0,2,100.0,1037,5478,2994,25,16,0,7,0,1209,10,Matches
Kiko Femenía,es ESP,DF,33.0,24.7,1710,95,630,812,280,9,1710,24,17,70.8,6,25.0,902,4937,2602,52,30,0,22,10,1036,44,Matches
Daniel Parejo,es ESP,MF,35.0,25.3,1732,90,451,989,302,12,1730,12,8,66.7,3,25.0,898,3618,1638,19,29,0,17,13,1200,26,Matches
Pape Gueye,sn SEN,MF,25.0,24.7,1456,72,355,807,308,65,1456,33,11,33.3,16,48.5,853,4050,2199,36,28,7,33,19,1030,69,Matches
Thierno Barry,fr FRA,FW,21.0,25.8,624,22,44,246,346,126,623,50,18,36.0,25,50.0,347,2237,1041,44,35,25,86,27,485,124,Matches
Yeremi Pino,es ESP,"MF,FW",21.0,21.5,986,30,169,356,477,104,986,58,25,43.1,25,43.1,565,2781,1416,42,26,21,52,23,668,213,Matches
Ayoze Pérez,es ESP,FW,31.0,21.9,705,7,66,296,355,136,705,78,34,43.6,36,46.2,429,2599,1453,59,31,33,62,34,514,124,Matches
Diego Conde,es ESP,GK,25.0,21.8,696,602,691,5,0,0,696,0,0,,0,,393,1972,1157,0,0,0,1,0,347,0,Matches
