Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Daniel Parejo,es ESP,MF,33.0,36.5,3,26,8,30.8,0.71,0.22,0.04,0.13,27.9,12,2,4,4.7,1.3,0.05,-1.7,-0.3,Matches
Pau Torres,es ESP,DF,25.0,33.9,1,12,5,41.7,0.35,0.15,0.08,0.2,9.5,0,0,0,2.4,2.4,0.2,-1.4,-1.4,Matches
Yeremi Pino,es ESP,"FW,MF",19.0,27.2,4,50,19,38.0,1.84,0.7,0.08,0.21,13.2,0,0,0,8.0,8.0,0.16,-4.0,-4.0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23.0,26.0,6,60,17,28.3,2.31,0.65,0.1,0.35,17.4,0,0,0,6.5,6.5,0.11,-0.5,-0.5,Matches
Raúl Albiol,es ESP,DF,36.0,23.5,0,2,1,50.0,0.08,0.04,0.0,0.0,25.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Pepe Reina,es ESP,GK,39.0,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Foyth,ar ARG,DF,24.0,21.8,1,14,4,28.6,0.64,0.18,0.07,0.25,13.7,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Étienne Capoue,fr FRA,MF,34.0,21.7,3,26,12,46.2,1.2,0.55,0.12,0.25,20.9,1,0,0,2.6,2.6,0.11,0.4,0.4,Matches
Alfonso Pedraza,es ESP,DF,26.0,18.1,0,26,10,38.5,1.43,0.55,0.0,0.0,18.4,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
Alex Baena,es ESP,"MF,FW",21.0,21.6,6,62,22,35.5,2.87,1.02,0.1,0.27,22.6,3,0,0,3.9,3.9,0.06,2.1,2.1,Matches
Nicolas Jackson,sn SEN,FW,21.0,17.8,12,41,23,56.1,2.31,1.3,0.29,0.52,13.4,0,0,0,7.8,7.8,0.19,4.2,4.2,Matches
Aïssa Mandi,dz ALG,DF,30.0,16.2,0,2,2,100.0,0.12,0.12,0.0,0.0,19.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Alberto Moreno,es ESP,DF,30.0,14.4,0,15,3,20.0,1.04,0.21,0.0,0.0,20.7,2,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Gerónimo Rulli,ar ARG,GK,30.0,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gerard Moreno,es ESP,FW,30.0,13.7,7,41,19,46.3,3.0,1.39,0.15,0.32,15.8,0,1,2,9.0,7.5,0.19,-2.0,-1.5,Matches
Giovani Lo Celso,ar ARG,"MF,FW",26.0,12.5,2,30,7,23.3,2.4,0.56,0.07,0.29,19.8,3,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches
Kiko Femenía,es ESP,DF,31.0,12.6,0,2,0,0.0,0.16,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
José Luis Morales,es ESP,"FW,MF",35.0,13.5,7,41,21,51.2,3.05,1.56,0.17,0.33,14.7,0,0,0,6.5,6.5,0.17,0.5,0.5,Matches
Ramón Terrats,es ESP,MF,21.0,9.1,1,15,6,40.0,1.65,0.66,0.07,0.17,24.3,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
Francis Coquelin,fr FRA,MF,31.0,8.3,1,7,1,14.3,0.84,0.12,0.14,1.0,15.5,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
Manu Trigueros,es ESP,MF,30.0,9.2,0,8,2,25.0,0.87,0.22,0.0,0.0,24.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Arnaut Danjuma,nl NED,FW,25.0,5.3,2,11,4,36.4,2.07,0.75,0.09,0.25,16.7,0,1,1,2.7,1.9,0.17,-0.7,-0.9,Matches
Johan Mojica,co COL,DF,29.0,7.1,0,2,1,50.0,0.28,0.14,0.0,0.0,27.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jorge Cuenca,es ESP,DF,22.0,5.6,0,4,0,0.0,0.71,0.0,0.0,,10.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Filip Jørgensen,dk DEN,GK,20.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Manu Morlanes,es ESP,MF,23.0,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Haissem Hassan,fr FRA,"FW,MF",20.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mamadou Fall,sn SEN,DF,19.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fernando Niño,es ESP,"MF,FW",21.0,0.2,0,1,0,0.0,4.09,0.0,0.0,,11.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Pascu,es ESP,"DF,FW",19.0,0.1,1,1,1,100.0,9.0,9.0,1.0,1.0,18.0,0,0,0,0.1,0.1,0.14,0.9,0.9,Matches
Diego Collado,es ESP,FW,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alberto Del Moral,es ESP,MF,22.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.4,38.0,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.6,56.1,0.12,-4.6,-3.1,
Opponent Total,,,27.2,38.0,39,470,145,30.9,12.37,3.82,0.07,0.24,17.8,14,4,4,49.9,46.7,0.1,-10.9,-11.7,
