Player,Age,Current club,Market value,Nat.,Season,Contract
"['Sergio Asenjo', 'Goalkeeper']",32,Villarreal CF,€9.00m,Spain,2020,"Jul 1, 2014"
"['Gerónimo Rulli', 'Goalkeeper']",29,Villarreal CF,€4.00m,Argentina,2020,"Sep 4, 2020"
"['Filip Jørgensen', 'Goalkeeper']",19,Villarreal CF,€250k,Denmark,2020,"Jan 5, 2023"
"['Iker Álvarez', 'Goalkeeper']",19,Villarreal CF,€50k,Andorra,2020,
"['Pau Torres', 'Centre-Back']",24,Villarreal CF,€50.00m,Spain,2020,"Jul 1, 2018"
"['Mario Gaspar', 'Centre-Back']",30,Villarreal CF,€5.00m,Spain,2020,"Jan 1, 2011"
"['Raúl Albiol', 'Centre-Back']",35,Villarreal CF,€2.50m,Spain,2020,"Jul 4, 2019"
"['Ramiro Funes Mori', 'Centre-Back']",30,Villarreal CF,€2.00m,Argentina,2020,"Jul 1, 2018"
"['Soufiane Chakla', 'Centre-Back']",27,Villarreal CF,€800k,Morocco,2020,"Jan 27, 2020"
"['Alfonso Pedraza', 'Left-Back']",25,Villarreal CF,€20.00m,Spain,2020,"Jul 1, 2016"
"['Pervis Estupiñán', 'Left-Back']",23,Villarreal CF,€12.00m,Ecuador,2020,"Sep 16, 2020"
"['Alberto Moreno', 'Left-Back']",28,Villarreal CF,€2.50m,Spain,2020,"Jul 9, 2019"
"['Jaume Costa', 'Left-Back']",33,Villarreal CF,€2.00m,Spain,2020,"Jul 1, 2012"
"['Juan Foyth', 'Right-Back']",23,Villarreal CF,€12.00m,Argentina,2020,"Jul 1, 2021"
"['Rubén Peña', 'Right-Back']",29,Villarreal CF,€4.00m,Spain,2020,"Jul 4, 2019"
"['Andrei Rațiu', 'Right-Back']",23,Villarreal CF,€300k,Romania,2020,
"['Lanchi', 'Right-Back']",20,Villarreal CF,€200k,Spain,2020,
"['Francis Coquelin', 'Defensive Midfield']",30,Villarreal CF,€5.00m,France,2020,"Aug 12, 2020"
"['Vicente Iborra', 'Defensive Midfield']",33,Villarreal CF,€3.00m,Spain,2020,"Jan 7, 2019"
"['Étienne Capoue', 'Defensive Midfield']",32,Villarreal CF,€2.00m,France,2020,"Jan 4, 2021"
"['Manu Trigueros', 'Central Midfield']",29,Villarreal CF,€12.00m,Spain,2020,"Jul 1, 2012"
"['Dani Parejo', 'Central Midfield']",32,Villarreal CF,€10.00m,Spain,2020,"Aug 12, 2020"
"['Carlo García', 'Central Midfield']",20,Villarreal CF,€300k,Spain,2020,
"['Sergio Lozano', 'Central Midfield']",22,Villarreal CF,€200k,Spain,2020,
"['Moi Gómez', 'Left Winger']",27,Villarreal CF,€8.00m,Spain,2020,"Jul 18, 2019"
"['Javi Ontiveros', 'Left Winger']",23,Villarreal CF,€5.00m,Spain,2020,"Aug 20, 2019"
"['Álex Baena', 'Left Winger']",19,Villarreal CF,€2.50m,Spain,2020,"Aug 1, 2020"
"['Samuel Chukwueze', 'Right Winger']",22,Villarreal CF,€20.00m,Nigeria,2020,"Nov 1, 2018"
"['Takefusa Kubo', 'Right Winger']",20,Villarreal CF,€15.00m,Japan,2020,"Aug 10, 2020"
"['Yéremy Pino', 'Right Winger']",18,Villarreal CF,€15.00m,Spain,2020,"Aug 1, 2020"
"['Dani Raba', 'Right Winger']",25,Villarreal CF,€900k,Spain,2020,"Jul 1, 2018"
"['Gerard Moreno', 'Centre-Forward']",29,Villarreal CF,€40.00m,Spain,2020,"Jul 1, 2018"
"['Paco Alcácer', 'Centre-Forward']",27,Villarreal CF,€22.00m,Spain,2020,"Jan 30, 2020"
"['Fer Niño', 'Centre-Forward']",20,Villarreal CF,€3.00m,Spain,2020,"Aug 1, 2020"
"['Carlos Bacca', 'Centre-Forward']",34,Villarreal CF,€1.80m,Colombia,2020,"Aug 17, 2018"
"['Álex Millán', 'Centre-Forward']",21,Villarreal CF,€300k,Spain,2020,"Jul 1, 2021"
"['Gerónimo Rulli', 'Goalkeeper']",31,Villarreal CF,€10.00m,Argentina,2022,"Sep 4, 2020"
"['Filip Jørgensen', 'Goalkeeper']",21,Villarreal CF,€1.50m,Denmark,2022,"Jan 5, 2023"
"['Pepe Reina', 'Goalkeeper']",40,Villarreal CF,€700k,Spain,2022,"Jul 8, 2022"
"['Iker Álvarez', 'Goalkeeper']",21,Villarreal CF,€500k,Andorra,2022,
"['Gianni Cassaro', 'Goalkeeper']",31,Villarreal CF,€100k,Spain,2022,
"['Pau Torres', 'Centre-Back']",26,Villarreal CF,€45.00m,Spain,2022,"Jul 1, 2018"
"['Jorge Cuenca', 'Centre-Back']",23,Villarreal CF,€5.00m,Spain,2022,"Sep 21, 2020"
"['Aïssa Mandi', 'Centre-Back']",31,Villarreal CF,€3.00m,Algeria,2022,"Jul 1, 2021"
"['Mamadou Mbacke', 'Centre-Back']",20,Villarreal CF,€2.80m,Senegal,2022,
"['Raúl Albiol', 'Centre-Back']",37,Villarreal CF,€2.50m,Spain,2022,"Jul 4, 2019"
"['Adrián de la Fuente', 'Centre-Back']",24,Villarreal CF,€800k,Spain,2022,
"['Pervis Estupiñán', 'Left-Back']",25,Villarreal CF,€32.00m,Ecuador,2022,"Sep 16, 2020"
"['Alfonso Pedraza', 'Left-Back']",27,Villarreal CF,€15.00m,Spain,2022,"Jul 1, 2016"
