#,Player,Age,Current club,Market value,Nat.,Season,Contract
25,"['Giorgi Mamardashvili', 'Goalkeeper']",22,Valencia CF,€25.00m,Georgia,2022,
23,"['Jaume Doménech', 'Goalkeeper']",32,Valencia CF,€1.00m,Spain,2022,
1,"['Iago Herrerín', 'Goalkeeper']",35,Sestao River,€500k,Spain,2022,
42,"['Emilio Bernad', 'Goalkeeper']",23,Racing Ferrol,€300k,Spain,2022,
13,"['Cristian Rivero', 'Goalkeeper']",25,Albacete Balompié,€200k,Spain,2022,
26,"['Charlie Pérez', 'Goalkeeper']",21,Real Unión Club,€25k,Spain,2022,
12,"['Mouctar Diakhaby', 'Centre-Back']",26,Valencia CF,€6.00m,"['Guinea', 'France']",2022,
15,"['Cenk Özkacar', 'Centre-Back']",22,Real Valladolid CF,€5.00m,Türkiye,2022,
24,"['Eray Cömert', 'Centre-Back']",25,Real Valladolid CF,€3.50m,"['Switzerland', 'Türkiye']",2022,
5,"['Gabriel Paulista', 'Centre-Back']",32,Besiktas JK,€2.50m,"['Brazil', 'Spain']",2022,
33,"['Cristhian Mosquera', 'Centre-Back']",19,Valencia CF,€1.00m,"['Spain', 'Colombia']",2022,
34,"['Rubén Iranzo', 'Centre-Back']",20,Valencia Mestalla,€200k,Spain,2022,
14,"['José Gayà', 'Left-Back']",28,Valencia CF,€30.00m,Spain,2022,
21,"['Jesús Vázquez', 'Left-Back']",20,Valencia CF,€3.00m,Spain,2022,
3,"['Toni Lato', 'Left-Back']",25,RCD Mallorca,€2.50m,Spain,2022,
2,"['Thierry Correia', 'Right-Back']",24,Valencia CF,€8.00m,"['Portugal', 'Cape Verde']",2022,
20,"['Dimitri Foulquier', 'Right-Back']",30,Valencia CF,€2.50m,"['Guadeloupe', 'France']",2022,
6,"['Hugo Guillamón', 'Defensive Midfield']",23,Valencia CF,€14.00m,Spain,2022,
8,"['Uroš Račić', 'Defensive Midfield']",25,SC Braga,€6.50m,Serbia,2022,
10,"['Carlos Soler', 'Central Midfield']",26,West Ham United,€25.00m,Spain,2022,
4,"['Yunus Musah', 'Central Midfield']",20,AC Milan,€18.00m,"['United States', 'England']",2022,
17,"['Nico González', 'Central Midfield']",21,Manchester City,€10.00m,Spain,2022,
8,"['Ilaix Moriba', 'Central Midfield']",20,Celta de Vigo,€4.00m,"['Guinea', 'Spain']",2022,
36,"['Javi Guerra', 'Central Midfield']",20,Valencia CF,€2.00m,Spain,2022,
18,"['Koba Koindredi', 'Central Midfield']",21,FC Lausanne-Sport,€1.00m,"['France', 'Neukaledonien']",2022,
41,"['Tiago Ribeiro', 'Central Midfield']",21,CD Feirense,€200k,Portugal,2022,
35,"['Yellu Santiago', 'Central Midfield']",19,Getafe CF,€100k,Spain,2022,
18,"['André Almeida', 'Attacking Midfield']",23,Valencia CF,€20.00m,Portugal,2022,
9,"['Justin Kluivert', 'Attacking Midfield']",24,AFC Bournemouth,€14.00m,"['Netherlands', 'Suriname']",2022,
16,"['Samuel Lino', 'Left Winger']",23,Atlético de Madrid,€16.00m,Brazil,2022,
11,"['Samu Castillejo', 'Right Winger']",28,Johor Darul Ta'zim,€6.00m,Spain,2022,
40,"['Diego López', 'Right Winger']",21,Valencia CF,€1.50m,Spain,2022,
29,"['Fran Pérez', 'Right Winger']",20,Valencia CF,€500k,Spain,2022,
21,"['Manu Vallejo', 'Second Striker']",26,Racing Ferrol,€2.40m,Spain,2022,
9,"['Maxi Gómez', 'Centre-Forward']",26,Defensor Sporting Club,€7.00m,Uruguay,2022,
19,"['Hugo Duro', 'Centre-Forward']",23,Valencia CF,€4.00m,Spain,2022,
7,"['Edinson Cavani', 'Centre-Forward']",36,CA Boca Juniors,€3.00m,"['Uruguay', 'Italy']",2022,
22,"['Marcos André', 'Centre-Forward']",26,Real Valladolid CF,€2.50m,"['Brazil', 'Spain']",2022,
46,"['Alberto Marí', 'Centre-Forward']",21,Real Zaragoza,€800k,Spain,2022,
43,"['Mario Dominguez', 'Centre-Forward']",19,Valencia Mestalla,€50k,Spain,2022,
25,"['Giorgi Mamardashvili', 'Goalkeeper']",23,Valencia CF,€35.00m,Georgia,2023,
1,"['Jaume Doménech', 'Goalkeeper']",33,Valencia CF,€800k,Spain,2023,
13,"['Cristian Rivero', 'Goalkeeper']",26,Albacete Balompié,€200k,Spain,2023,
,"['Vicent Abril', 'Goalkeeper']",19,Valencia Mestalla,,Spain,2023,
3,"['Cristhian Mosquera', 'Centre-Back']",20,Valencia CF,€30.00m,"['Spain', 'Colombia']",2023,
34,"['Yarek Gasiorowski', 'Centre-Back']",19,Valencia CF,€15.00m,"['Spain', 'Poland']",2023,
15,"['Cenk Özkacar', 'Centre-Back']",23,Real Valladolid CF,€4.00m,Türkiye,2023,
4,"['Mouctar Diakhaby', 'Centre-Back']",27,Valencia CF,€2.00m,"['Guinea', 'France']",2023,
5,"['Gabriel Paulista', 'Centre-Back']",33,Besiktas JK,€2.00m,"['Brazil', 'Spain']",2023,
,"['César Tárrega', 'Centre-Back']",22,Valencia CF,€1.50m,Spain,2023,
,"['Rubén Iranzo', 'Centre-Back']",21,Valencia Mestalla,€300k,Spain,2023,
14,"['José Gayà', 'Left-Back']",29,Valencia CF,€25.00m,Spain,2023,
21,"['Jesús Vázquez', 'Left-Back']",21,Valencia CF,€3.00m,Spain,2023,
12,"['Thierry Correia', 'Right-Back']",25,Valencia CF,€6.00m,"['Portugal', 'Cape Verde']",2023,
20,"['Dimitri Foulquier', 'Right-Back']",31,Valencia CF,€2.50m,"['Guadeloupe', 'France']",2023,
18,"['Pepelu', 'Defensive Midfield']",25,Valencia CF,€22.00m,Spain,2023,
6,"['Hugo Guillamón', 'Defensive Midfield']",24,Valencia CF,€8.00m,Spain,2023,
8,"['Javi Guerra', 'Central Midfield']",21,Valencia CF,€20.00m,Spain,2023,
,"['Ali Fadal', 'Central Midfield']",20,Colorado Rapids,€100k,Ghana,2023,
,"['Javi Navarro', 'Central Midfield']",20,Valencia Mestalla,€25k,Spain,2023,
10,"['André Almeida', 'Attacking Midfield']",24,Valencia CF,€15.00m,Portugal,2023,
19,"['Selim Amallah', 'Attacking Midfield']",27,Real Valladolid CF,€1.50m,"['Morocco', 'Belgium']",2023,
27,"['Pablo Gozálbez', 'Attacking Midfield']",23,FC Arouca,€800k,Spain,2023,
,"['Martín Tejón', 'Attacking Midfield']",20,Valencia Mestalla,€100k,Spain,2023,
7,"['Sergi Canós', 'Left Winger']",27,Valencia CF,€2.50m,Spain,2023,
,"['Marco Camus', 'Left Winger']",22,Valencia Mestalla,€300k,Spain,2023,
16,"['Diego López', 'Right Winger']",22,Valencia CF,€14.00m,Spain,2023,
23,"['Fran Pérez', 'Right Winger']",21,Valencia CF,€8.00m,Spain,2023,
11,"['Peter Federico', 'Right Winger']",21,Getafe CF,€3.00m,"['Dominican Republic', 'Spain']",2023,
,"['David Otorbi', 'Right Winger']",16,Valencia Mestalla,€500k,"['Spain', 'Nigeria']",2023,
,"['Hugo González', 'Right Winger']",21,RC Celta Fortuna,€300k,Spain,2023,
9,"['Hugo Duro', 'Centre-Forward']",24,Valencia CF,€16.00m,Spain,2023,
17,"['Roman Yaremchuk', 'Centre-Forward']",28,Olympiacos Piraeus,€3.50m,Ukraine,2023,
22,"['Alberto Marí', 'Centre-Forward']",22,Real Zaragoza,€1.50m,Spain,2023,
,"['Mario Dominguez', 'Centre-Forward']",20,Valencia Mestalla,€200k,Spain,2023,
,"['Joselu Pérez', 'Centre-Forward']",20,Valencia Mestalla,€100k,Spain,2023,
25,"['Giorgi Mamardashvili', 'Goalkeeper']",24,,€30.00m,Georgia,2024,"Jun 30, 2025"
13,"['Stole Dimitrievski', 'Goalkeeper']",31,,€2.50m,"['North Macedonia', 'Spain']",2024,"Jun 30, 2026"
1,"['Jaume Doménech', 'Goalkeeper']",34,,€400k,Spain,2024,"Jun 30, 2025"
3,"['Cristhian Mosquera', 'Centre-Back']",20,,€30.00m,"['Spain', 'Colombia']",2024,"Jun 30, 2026"
15,"['César Tárrega', 'Centre-Back']",23,,€10.00m,Spain,2024,"Jun 30, 2028"
24,"['Yarek Gasiorowski', 'Centre-Back']",20,,€7.50m,"['Spain', 'Poland']",2024,"Jun 30, 2027"
4,"['Mouctar Diakhaby', 'Centre-Back']",28,,€2.00m,"['Guinea', 'France']",2024,"Jun 30, 2027"
14,"['José Gayà', 'Left-Back']",30,,€9.00m,Spain,2024,"Jun 30, 2027"
21,"['Jesús Vázquez', 'Left-Back']",22,,€3.00m,Spain,2024,"Jun 30, 2026"
19,"['Max Aarons', 'Right-Back']",25,,€6.00m,"['England', 'Jamaica']",2024,"Jun 30, 2025"
,"['Thierry Correia', 'Right-Back']",26,,€3.00m,"['Portugal', 'Cape Verde']",2024,"Jun 30, 2026"
20,"['Dimitri Foulquier', 'Right-Back']",32,,€1.50m,"['Guadeloupe', 'France']",2024,"Jun 30, 2027"
5,"['Enzo Barrenechea', 'Defensive Midfield']",24,,€10.00m,Argentina,2024,"Jun 30, 2025"
18,"['Pepelu', 'Defensive Midfield']",26,,€9.00m,Spain,2024,"Jun 30, 2028"
6,"['Hugo Guillamón', 'Defensive Midfield']",25,,€2.50m,Spain,2024,"Jun 30, 2026"
8,"['Javi Guerra', 'Central Midfield']",22,,€25.00m,Spain,2024,"Jun 30, 2027"
10,"['André Almeida', 'Attacking Midfield']",25,,€10.00m,Portugal,2024,"Jun 30, 2028"
17,"['Iván Jaime', 'Attacking Midfield']",24,,€5.00m,Spain,2024,"Jun 30, 2025"
32,"['Martín Tejón', 'Attacking Midfield']",21,,€500k,Spain,2024,"Jun 30, 2026"
22,"['Luis Rioja', 'Left Winger']",31,,€2.00m,Spain,2024,"Jun 30, 2026"
7,"['Sergi Canós', 'Left Winger']",28,,€1.00m,Spain,2024,"Jun 30, 2027"
16,"['Diego López', 'Right Winger']",23,,€15.00m,Spain,2024,"Jun 30, 2027"
23,"['Fran Pérez', 'Right Winger']",22,,€3.00m,Spain,2024,"Jun 30, 2026"
9,"['Hugo Duro', 'Centre-Forward']",25,,€14.00m,Spain,2024,"Jun 30, 2028"
12,"['Umar Sadiq', 'Centre-Forward']",28,,€5.00m,Nigeria,2024,"Jun 30, 2025"
11,"['Rafa Mir', 'Centre-Forward']",27,,€800k,Spain,2024,"Jun 30, 2025"
