Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Giorgi Mamardashvili,ge GEO,GK,21.0,38.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,4,Matches
Samuel Lino,br BRA,"FW,MF",22.0,32.1,66,43,17,37,12,26,72,36.1,46,34,0,34,18,84,16,0,Matches
José Luis Gayà,es ESP,DF,27.0,30.1,80,46,61,16,3,43,74,58.1,31,28,9,19,23,103,48,0,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22.0,28.2,66,42,23,32,11,26,57,45.6,31,26,0,26,20,86,16,1,Matches
Mouctar Diakhaby,gn GUI,DF,25.0,27.2,30,16,19,11,0,13,20,65.0,7,30,17,13,20,50,111,2,Matches
Yunus Musah,us USA,MF,19.0,23.4,48,35,17,23,8,20,30,66.7,10,20,1,19,11,59,16,2,Matches
Thierry Correia,pt POR,DF,23.0,22.3,71,52,46,22,3,31,54,57.4,23,25,2,23,24,95,54,2,Matches
Edinson Cavani,uy URU,FW,35.0,16.1,7,4,3,3,1,3,15,20.0,12,10,3,7,2,9,11,0,Matches
Eray Cömert,ch SUI,DF,24.0,18.6,35,23,24,10,1,17,33,51.5,16,23,8,15,29,64,76,1,Matches
Hugo Guillamón,es ESP,MF,22.0,18.1,20,12,10,8,2,8,24,33.3,16,14,2,12,19,39,30,2,Matches
Gabriel Paulista,br BRA,DF,31.0,16.7,17,9,13,4,0,13,19,68.4,6,22,14,8,32,49,79,2,Matches
Nicolás González,es ESP,MF,20.0,15.6,27,15,11,13,3,9,25,36.0,16,21,7,14,19,46,16,0,Matches
Dimitri Foulquier,fr FRA,DF,29.0,19.3,31,19,17,8,6,20,28,71.4,8,19,3,16,14,45,40,0,Matches
Samu Castillejo,es ESP,"FW,MF",27.0,15.1,21,12,8,9,4,8,40,20.0,32,21,2,19,9,30,2,0,Matches
Justin Kluivert,nl NED,"FW,MF",23.0,16.1,17,14,7,4,6,6,12,50.0,6,4,0,4,7,24,4,0,Matches
Cenk Özkacar,tr TUR,DF,21.0,15.2,27,20,17,10,0,14,19,73.7,5,14,2,12,12,39,47,4,Matches
Hugo Duro,es ESP,FW,22.0,15.4,15,12,2,6,7,7,17,41.2,10,11,1,10,2,17,7,1,Matches
Ilaix Moriba,gn GUI,MF,19.0,11.2,35,16,14,17,4,14,24,58.3,10,11,1,10,4,39,12,0,Matches
Toni Lato,es ESP,"DF,MF",24.0,10.2,23,11,9,12,2,9,21,42.9,12,10,1,9,6,29,14,0,Matches
Javier Guerra,es ESP,MF,19.0,6.7,16,13,7,4,5,9,20,45.0,11,8,1,7,11,27,9,0,Matches
Diego López,es ESP,"FW,MF",20.0,5.0,2,2,1,1,0,2,15,13.3,13,9,0,9,3,5,5,0,Matches
Marcos André,br BRA,"FW,MF",25.0,5.0,4,1,1,1,2,1,2,50.0,1,4,1,3,0,4,0,0,Matches
Jesus Vazquez,es ESP,"DF,MF",19.0,3.4,13,8,9,1,3,6,11,54.5,5,4,0,4,1,14,8,0,Matches
Carlos Soler,es ESP,MF,25.0,2.7,2,0,0,1,1,2,3,66.7,1,1,0,1,0,2,2,0,Matches
Cristhian Mosquera,es ESP,DF,18.0,1.6,4,2,3,1,0,4,5,80.0,1,1,0,1,1,5,5,0,Matches
Francisco Perez,es ESP,"FW,MF",19.0,1.6,1,1,1,0,0,0,3,0.0,3,0,0,0,0,1,1,0,Matches
Maxi Gómez,uy URU,FW,25.0,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Alberto Marí,es ESP,"FW,MF",21.0,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
Squad Total,,,24.2,38.0,678,428,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21,
Opponent Total,,,27.5,38.0,645,382,354,219,72,307,659,46.6,352,418,133,285,294,939,834,15,
