Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Giorgi Mamardashvili,ge GEO,GK,21.0,38.0,1180,973,1153,30,0,0,1180,0,0,,0,,604,3176,1830,0,0,0,2,1,470,0,Matches
Samuel Lino,br BRA,"FW,MF",22.0,32.1,1611,15,178,582,881,162,1611,121,53,43.8,50,41.3,1073,7128,4026,144,100,60,85,57,1165,260,Matches
José Luis Gayà,es ESP,DF,27.0,30.1,1986,77,570,734,703,49,1985,36,25,69.4,11,30.6,1006,5028,2991,74,69,8,19,12,1132,200,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22.0,28.2,1686,33,244,820,652,24,1686,90,46,51.1,31,34.4,1049,6244,3196,74,71,3,42,49,1114,71,Matches
Mouctar Diakhaby,gn GUI,DF,25.0,27.2,1452,188,711,659,90,52,1452,10,5,50.0,4,40.0,823,4136,2149,19,14,1,14,3,868,11,Matches
Yunus Musah,us USA,MF,19.0,23.4,1030,27,154,487,405,51,1030,70,27,38.6,35,50.0,646,4812,2417,72,62,11,52,22,729,101,Matches
Thierry Correia,pt POR,DF,23.0,22.3,1615,77,491,687,456,23,1615,34,13,38.2,15,44.1,862,4437,2539,60,46,9,36,11,954,122,Matches
Edinson Cavani,uy URU,FW,35.0,16.1,476,13,54,217,208,54,473,10,4,40.0,5,50.0,230,904,316,8,7,3,30,9,356,53,Matches
Eray Cömert,ch SUI,DF,24.0,18.6,1129,162,598,510,33,10,1129,2,2,100.0,0,0.0,680,3720,2119,6,9,1,1,0,691,1,Matches
Hugo Guillamón,es ESP,MF,22.0,18.1,1168,60,270,651,257,6,1167,5,1,20.0,3,60.0,603,2516,1107,11,15,0,9,15,781,20,Matches
Gabriel Paulista,br BRA,DF,31.0,16.7,959,162,475,446,42,20,959,0,0,,0,,454,2724,1916,12,10,0,5,1,516,1,Matches
Nicolás González,es ESP,MF,20.0,15.6,921,30,164,555,209,19,921,39,28,71.8,6,15.4,528,2629,1277,21,26,1,12,15,606,17,Matches
Dimitri Foulquier,fr FRA,DF,29.0,19.3,1116,59,306,491,332,20,1116,42,19,45.2,22,52.4,557,3479,2048,51,34,7,33,9,591,84,Matches
Samu Castillejo,es ESP,"FW,MF",27.0,15.1,840,2,81,345,422,49,840,65,23,35.4,33,50.8,561,3278,1701,54,41,11,43,28,604,115,Matches
Justin Kluivert,nl NED,"FW,MF",23.0,16.1,583,7,48,153,401,65,582,63,30,47.6,30,47.6,358,3045,1553,58,33,22,39,22,392,126,Matches
Cenk Özkacar,tr TUR,DF,21.0,15.2,908,85,409,462,45,16,908,10,10,100.0,0,0.0,522,3193,2132,23,18,0,8,4,549,2,Matches
Hugo Duro,es ESP,FW,22.0,15.4,431,11,29,187,217,73,430,13,2,15.4,8,61.5,229,704,357,9,6,6,31,19,319,67,Matches
Ilaix Moriba,gn GUI,MF,19.0,11.2,654,18,123,339,197,15,654,30,12,40.0,10,33.3,383,1895,883,16,13,2,21,13,445,30,Matches
Toni Lato,es ESP,"DF,MF",24.0,10.2,583,22,149,247,191,18,583,10,7,70.0,2,20.0,280,1402,794,18,15,2,8,2,346,47,Matches
Javier Guerra,es ESP,MF,19.0,6.7,340,12,57,186,103,15,340,28,14,50.0,13,46.4,211,1406,717,17,10,5,8,20,218,16,Matches
Diego López,es ESP,"FW,MF",20.0,5.0,215,4,37,78,104,27,215,19,9,47.4,8,42.1,135,1113,598,21,9,5,13,6,146,46,Matches
Marcos André,br BRA,"FW,MF",25.0,5.0,125,1,8,50,69,23,125,17,9,52.9,4,23.5,78,353,124,2,3,0,21,5,94,20,Matches
Jesus Vazquez,es ESP,"DF,MF",19.0,3.4,231,7,58,94,80,7,231,16,6,37.5,9,56.3,131,667,291,4,9,1,9,4,125,17,Matches
Carlos Soler,es ESP,MF,25.0,2.7,143,2,13,62,68,4,142,2,1,50.0,0,0.0,83,508,223,3,4,0,2,1,98,7,Matches
Cristhian Mosquera,es ESP,DF,18.0,1.6,81,11,46,26,9,2,81,0,0,,0,,38,180,61,0,1,0,2,0,38,1,Matches
Francisco Perez,es ESP,"FW,MF",19.0,1.6,100,1,15,36,50,3,100,9,5,55.6,3,33.3,76,633,209,7,5,3,5,8,75,15,Matches
Maxi Gómez,uy URU,FW,25.0,1.2,27,2,2,9,16,8,27,2,0,0.0,2,100.0,19,93,64,1,0,3,3,1,21,1,Matches
Alberto Marí,es ESP,"FW,MF",21.0,1.0,30,0,3,12,15,7,30,4,1,25.0,3,75.0,21,71,27,1,0,1,2,1,26,6,Matches
Squad Total,,,24.2,38.0,21620,2061,6446,9155,6255,822,21612,747,352,47.1,307,41.1,12240,69474,37665,786,630,165,555,338,13469,1457,
Opponent Total,,,27.5,38.0,20602,2406,7019,9022,4748,680,20597,712,334,46.9,311,43.7,11308,59636,29192,480,378,117,545,367,12455,1209,
